row_id,video_file,camera_file,frame_count,experiment,experiment_id,experiment_chr,experiment_num,ms4_block_flag,ms4_target_experiment,experiment_type,is_control,is_target_species,culture,well,days_from_start,species,site,season,collection_site,toxin_exposure,particle_type,particle_class,size_class,lux_exposure,ntu,cu_ug_l,bw_ug_l,mass_loading_ug_l,mobile_cell_count,stationary_cell_count,total_cells,motility_ratio,tile,tile_count,count_date_yyyy_mm_dd,start_date_yyyy_mm_dd,collection_date,release,year,preparation,comment,species_std,qc_recalc_total_cells,qc_recalc_motility_ratio,flag_missing_response_counts,flag_total_cell_count_le_zero,flag_inconsistent_count_totals,flag_missing_key_predictor,flag_unexpected_frame_count,flag_impossible_date_sequences,flag_negative_mobile_count,flag_negative_stationary_count,flag_negative_ntu,flag_negative_lux,flag_negative_mass_loading,qc_n_flags,qc_any_flag,qc_flag_reason,qc_flag_reason_pretty,exclude_missing_response_counts,exclude_total_cell_count_le_zero,exclude_missing_key_predictor,exclude_negative_mobile_count,exclude_negative_stationary_count,exclude_inconsistent_count_totals,exclude_unexpected_frame_count,exclude_impossible_date_sequences,exclude_negative_ntu,exclude_negative_lux,exclude_negative_mass_loading,exclusion_flag,exclusion_reason,exclusion_reason_pretty
1,C1468,20240911_C1468_clip.mp4,504,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,38,0,0,L. digitata,DV,Summer,Dover,CULTURE,NA,NA,NA,0,0,0,0,NA,144,1270,1414,0.10183875530410184,none,NA,NA,NA,NA,NA,2024,NA,culture,Laminaria digitata,1414,0.10183875530410184,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2,C1469,20240911_C1469_clip.mp4,504,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,38,0,0,L. digitata,DV,Summer,Dover,CULTURE,NA,NA,NA,0,0,0,0,NA,46,1727,1773,0.025944726452340666,none,NA,NA,NA,NA,NA,2024,NA,culture,Laminaria digitata,1773,0.025944726452340666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
3,C1470,20240911_C1470_clip.mp4,504,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,38,0,0,L. digitata,DV,Summer,Dover,CULTURE,NA,NA,NA,0,0,0,0,NA,38406,44136,82542,0.46529039761575924,none,NA,NA,NA,NA,NA,2024,NA,culture,Laminaria digitata,82542,0.46529039761575924,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
4,C1471,20240911_C1471_clip.mp4,504,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,38,0,0,L. digitata,DV,Summer,Dover,CULTURE,NA,NA,NA,0,0,0,0,NA,2626,4036,6662,0.39417592314620237,none,NA,NA,NA,NA,NA,2024,NA,culture,Laminaria digitata,6662,0.39417592314620237,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
5,C1472,20240911_C1472_clip.mp4,504,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,38,0,0,L. digitata,DV,Summer,Dover,CULTURE,NA,NA,NA,0,0,0,0,NA,6042,8388,14430,0.41871101871101873,none,NA,NA,NA,NA,NA,2024,NA,culture,Laminaria digitata,14430,0.41871101871101873,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
6,C1473,20240912_C1473_clip.mp4,504,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,38,0,0,L. digitata,DV,Summer,Dover,CULTURE,NA,NA,NA,0,0,0,0,NA,18685,32294,50979,0.3665234704486161,none,NA,NA,NA,NA,NA,2024,NA,culture,Laminaria digitata,50979,0.3665234704486161,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
7,C1474,20240912_C1474_clip.mp4,504,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,38,0,0,L. digitata,DV,Summer,Dover,CULTURE,NA,NA,NA,0,0,0,0,NA,2066,2945,5011,0.4122929554979046,none,NA,NA,NA,NA,NA,2024,NA,culture,Laminaria digitata,5011,0.4122929554979046,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
8,C1475,20240912_C1475_clip.mp4,504,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,38,0,0,L. digitata,DV,Summer,Dover,CULTURE,NA,NA,NA,0,0,0,0,NA,529,1090,1619,0.32674490426189007,none,NA,NA,NA,NA,NA,2024,NA,culture,Laminaria digitata,1619,0.32674490426189007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
9,C1476,20240912_C1476_clip.mp4,504,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,38,0,0,L. digitata,DV,Summer,Dover,CULTURE,NA,NA,NA,0,0,0,0,NA,2373,4008,6381,0.3718852844381758,none,NA,NA,NA,NA,NA,2024,NA,culture,Laminaria digitata,6381,0.3718852844381758,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
10,C1477,20240918_C1477_clip.mp4,504,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,38,0,7,L. digitata,DV,Summer,Dover,CULTURE,NA,NA,NA,0,0,0,0,NA,3241,4765,8006,0.4048213839620285,none,NA,NA,NA,NA,NA,2024,NA,culture,Laminaria digitata,8006,0.4048213839620285,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
