video_file,camera_file,frame_count,mobile_cell_count,stationary_cell_count,total_cells,motility_ratio,count_date_yyyy_mm_dd,start_date_yyyy_mm_dd,species,site,culture,experiment,well,days_from_start,toxin_exposure,cu_ug_l,ntu,tile,tile_count,lux_exposure,comment,collection_date,year,season,collection_site,preparation,release,non_mobile_count,video_file_name,experiment_chr,experiment_block,experiment_suffix,species_std,spm_material,brake_type,brake_class,log_ntu,lux_f
C1750,20241227_C1750_clip.mp4,504,42021,66316,108337,0.3878730258360486,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24221,4,CONTROL,0,0,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,66316,C1750,10.2,10,2,L. digitata,Control,Control,NA,0,0
C1751,20241227_C1751_clip.mp4,504,47765,71683,119448,0.3998811198178287,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24222,4,CONTROL,0,0,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,71683,C1751,10.2,10,2,L. digitata,Control,Control,NA,0,0
C1752,20241227_C1752_clip.mp4,504,46962,71004,117966,0.398097756980825,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24223,4,CONTROL,0,0,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,71004,C1752,10.2,10,2,L. digitata,Control,Control,NA,0,0
C1755,20241227_C1755_clip.mp4,504,1172,2363,3535,0.33154172560113154,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24224,4,SPM,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,2363,C1755,10.2,10,2,L. digitata,Field SPM,NA,NA,2.0043213737826426,0
C1756,20241227_C1756_clip.mp4,504,16127,25863,41990,0.3840676351512265,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24225,4,SPM,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,25863,C1756,10.2,10,2,L. digitata,Field SPM,NA,NA,2.0043213737826426,0
C1757,20241227_C1757_clip.mp4,504,39678,60662,100340,0.39543551923460235,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24226,4,SPM,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,60662,C1757,10.2,10,2,L. digitata,Field SPM,NA,NA,2.0043213737826426,0
C1758,20241227_C1758_clip.mp4,504,40580,61722,102302,0.396668686829192,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24231,4,PEAT,0,100,none,NA,0,100 NTU / time check 12:40,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,61722,C1758,10.2,10,2,L. digitata,Organic,NA,NA,2.0043213737826426,0
C1759,20241227_C1759_clip.mp4,504,46912,69643,116555,0.40248809574878813,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24232,4,PEAT,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,69643,C1759,10.2,10,2,L. digitata,Organic,NA,NA,2.0043213737826426,0
C1760,20241227_C1760_clip.mp4,504,40402,63627,104029,0.38837247306039663,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24233,4,PEAT,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,63627,C1760,10.2,10,2,L. digitata,Organic,NA,NA,2.0043213737826426,0
C1761,20241227_C1761_clip.mp4,504,37304,57336,94640,0.394167371090448,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24234,4,COIR,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,57336,C1761,10.2,10,2,L. digitata,Organic,NA,NA,2.0043213737826426,0
C1762,20241227_C1762_clip.mp4,504,47454,68718,116172,0.4084805288709844,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24235,4,COIR,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,68718,C1762,10.2,10,2,L. digitata,Organic,NA,NA,2.0043213737826426,0
C1763,20241227_C1763_clip.mp4,504,44318,65187,109505,0.4047121136021186,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24236,4,COIR,0,100,none,NA,0,100 NTU / slight adjustment of focus,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,65187,C1763,10.2,10,2,L. digitata,Organic,NA,NA,2.0043213737826426,0
C1765,20241227_C1765_clip.mp4,504,42997,62952,105949,0.4058273320182352,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24241,4,KAOLINITE,0,100,none,NA,0,100 NTU / time check 12:44,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,62952,C1765,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1766,20241227_C1766_clip.mp4,504,39717,57799,97516,0.4072870093112925,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24242,4,KAOLINITE,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,57799,C1766,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1767,20241227_C1767_clip.mp4,504,28478,43024,71502,0.39828256552264274,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24243,4,KAOLINITE,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,43024,C1767,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1768,20241227_C1768_clip.mp4,504,44088,66444,110532,0.3988709152100749,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24244,4,GRAPHITE,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,66444,C1768,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1770,20241227_C1770_clip.mp4,504,42777,63904,106681,0.40098049324622004,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24245,4,GRAPHITE,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,63904,C1770,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1771,20241227_C1771_clip.mp4,504,43405,66748,110153,0.3940428313345982,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24246,4,GRAPHITE,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,66748,C1771,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1773,20241227_C1773_clip.mp4,504,2852,5174,8026,0.35534512833291804,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24251,4,SAND,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,5174,C1773,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1774,20241227_C1774_clip.mp4,504,1130,2630,3760,0.300531914893617,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24252,4,SAND,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,2630,C1774,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1775,20241227_C1775_clip.mp4,504,33673,54215,87888,0.3831353540870198,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24253,4,SAND,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,54215,C1775,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1776,20241227_C1776_clip.mp4,504,45402,68327,113729,0.3992121622453376,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24254,4,PLASTER OF PARIS,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,68327,C1776,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1777,20241227_C1777_clip.mp4,504,29602,45584,75186,0.39371691538318304,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24255,4,PLASTER OF PARIS,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,45584,C1777,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1778,20241227_C1778_clip.mp4,504,37499,62204,99703,0.37610703790257066,2024-12-27,2024-12-23,L. digitata,BR,52,10.2,24256,4,PLASTER OF PARIS,0,100,none,NA,0,100 NTU,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,62204,C1778,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
