UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,02/06/2023 10:04,0,,,12481533,15.059347,3211894,1.048014,0.0448,2690.399902,2360.99868,,0.618383,,4721.997559,
Sample,02/06/2023 10:04,0,,,12482160,15.052314,3213551,1.048558,0.1757,2698.600098,2367.929976,,0.627091,,4735.859863,
Sample,02/06/2023 10:04,0,,,12490327,14.96072,3212912,1.048348,0.0169,2734.300049,2398.105713,,0.623735,,4796.211426,
Sample,02/06/2023 10:04,0,,,12500296,14.848946,3213235,1.048454,0.0076,2743.5,2405.882063,,0.625432,,4811.76416,
Sample,02/06/2023 10:04,0,,,12508671,14.755069,3212939,1.048357,0.0078,2744.399902,2406.642715,,0.623877,,4813.285645,
Sample,02/06/2023 10:05,0,,,12511358,14.724954,3213287,1.048471,0.0225,2739,2402.078394,,0.625705,,4804.156738,
Sample,02/06/2023 10:05,0,,,12510328,14.736497,3213089,1.048406,0.0143,2734.800049,2398.528343,,0.624665,,4797.056641,
Sample,02/06/2023 10:05,0,,,12512761,14.70923,3213023,1.048385,2.1226,2729.5,2394.048425,,0.624318,,4788.09668,
Sample,02/06/2023 10:05,0,,,12522957,14.59498,3213036,1.048389,1.1859,2719.699951,2385.764836,,0.624387,,4771.529785,
Sample,02/06/2023 10:05,0,,,12527283,14.546514,3212684,1.048273,0.015,2733.699951,2397.598475,,0.622537,,4795.196777,
Sample,02/06/2023 10:05,0,,,12531388,14.500528,3212857,1.04833,0.0044,2738.899902,2401.993785,,0.623446,,4803.987793,
Sample,02/06/2023 10:05,0,,,12535909,14.449888,3212732,1.048289,2.235,2735.800049,2399.373603,,0.62279,,4798.74707,
Sample,02/06/2023 10:05,0,,,12537903,14.427554,3212799,1.048311,1.3799,2736.300049,2399.796233,,0.623142,,4799.592285,
Sample,02/06/2023 10:05,0,,,12539595,14.408604,3212616,1.048251,2.0715,2735.800049,2399.373603,,0.62218,,4798.74707,
Sample,02/06/2023 10:05,0,,,12539499,14.409679,3212358,1.048166,1.1237,2734,2397.852094,,0.620824,,4795.704102,
Sample,02/06/2023 10:05,0,,,12540790,14.39522,3212262,1.048134,1.228,2734.5,2398.274724,,0.620319,,4796.549316,
Sample,02/06/2023 10:05,0,,,12541022,14.392622,3212088,1.048077,1.5996,2734.399902,2398.190116,,0.619404,,4796.380371,
Sample,02/06/2023 10:06,0,,,12540175,14.402108,3212273,1.048138,2.1431,2734.899902,2398.612746,,0.620377,,4797.225586,
Sample,02/06/2023 10:06,0,9408683,5.637803,12539477,14.409925,3212533,1.048224,1.5388,2735.600098,2399.204593,,0.621744,,4798.40918,
Sample,02/06/2023 10:06,0,,,12539808,14.406218,3212416,1.048185,0.6288,2738.600098,2401.740372,,0.621129,,4803.480957,
Sample,02/06/2023 10:06,0,,,12540912,14.393854,3212265,1.048135,1.8208,2736.399902,2399.880635,,0.620335,,4799.76123,
Sample,02/06/2023 10:06,0,,,12545140,14.346505,3212487,1.048208,0.0014,2744.100098,2406.389302,,0.621502,,4812.778809,
