VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
10th July, Triggered Logging, NA, Disabled, 1.000000 Seconds,NA, NA, 1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x20
[LOGGER CHANNEL 3],Disabled


[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 00/00/2023 00:00:00
STOP TIME, 00/00/2023 00:00:00
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,07/07/2023 09:09:05,23,,,11965571,20.934957,3156362,1.029762,0.058300,2514.600098,2212.402154,,0.310340,,4424.804199,
Sample,07/07/2023 09:09:06,23,,,11965183,20.939474,3156450,1.029791,0.057800,2512.500000,2210.627025,,0.310857,,4421.253906,
Sample,07/07/2023 09:09:07,23,,,11964828,20.943607,3156485,1.029802,0.024000,2531.399902,2226.602355,,0.311063,,4453.204590,
Sample,07/07/2023 09:09:08,23,,,11964443,20.948090,3155553,1.029496,0.265900,2517.699951,2215.022335,,0.305581,,4430.044434,
Sample,07/07/2023 09:09:09,23,,,11964192,20.951012,3156370,1.029764,0.119100,2511.199951,2209.528146,,0.310387,,4419.056152,
Sample,07/07/2023 09:09:10,23,,,11963889,20.954540,3158674,1.030521,0.167500,2520.100098,2217.051083,,0.323890,,4434.102051,
Sample,07/07/2023 09:09:11,23,,,11963485,20.959245,3157657,1.030187,0.049300,2512.199951,2210.373406,,0.317939,,4420.746582,
Sample,07/07/2023 09:09:12,23,,,11963196,20.962610,3156335,1.029753,8.848800,2526.899902,2222.798685,,0.310181,,4445.597168,
Sample,07/07/2023 09:09:13,23,,,11962981,20.965114,3158572,1.030488,0.136500,2518.699951,2215.867595,,0.323294,,4431.735352,
Sample,07/07/2023 09:09:14,23,,,11962632,20.969178,3156674,1.029864,0.187700,2510.800049,2209.190125,,0.312173,,4418.380371,
Sample,07/07/2023 09:09:15,23,,,11962377,20.972147,3156280,1.029735,0.088600,2524.399902,2220.685536,,0.309858,,4441.371094,
Sample,07/07/2023 09:09:16,23,,,11962230,20.973859,3156361,1.029761,0.190500,2516.899902,2214.346086,,0.310334,,4428.692383,
