HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,24/05/2023 10:12,0,,,12168915,18.592116,3210781,1.047648,0.0887,3299.600098,2875.931179,,0.61252,,5751.862305,
Sample,24/05/2023 10:12,0,,,12170030,18.57939,3215114,1.049072,0.251,2838.100098,2485.843733,,0.635282,,4971.6875,
Sample,24/05/2023 10:12,0,,,12180198,18.463384,3213366,1.048497,0.1458,2857.699951,2502.410703,,0.62612,,5004.821289,
Sample,24/05/2023 10:12,0,,,12189635,18.355801,3211453,1.047869,0.0387,2857.199951,2501.988073,,0.616061,,5003.976074,
Sample,24/05/2023 10:12,0,,,12455869,15.347332,3364959,1.098337,0.7757,-55.990002,0.626362,,1.348318,,1.252725,
Sample,24/05/2023 10:12,0,,,12488369,14.982678,3446361,1.125108,0.8348,-57.859997,0.674963,,1.697405,,1.349926,
Sample,24/05/2023 10:12,0,,,12497245,14.883151,3572906,1.166738,0.8283,-57.650002,0.669618,,2.21149,,1.339235,
Sample,24/05/2023 10:12,0,,,12504322,14.803815,3686026,1.203964,0.798,-59.68,0.644701,,2.652329,,1.289401,
Sample,24/05/2023 10:12,0,,,12505541,14.790151,3770307,1.231706,0.6887,-60.859997,0.554818,,2.973166,,1.109637,
Sample,24/05/2023 10:12,0,,,12506343,14.781162,3895449,1.272911,0.6914,-61.099998,0.557039,,3.441134,,1.114077,
Sample,24/05/2023 10:12,0,,,12508521,14.75675,4017686,1.313172,0.7704,-60.93,0.622004,,3.891214,,1.244008,
Sample,24/05/2023 10:13,0,,,12507655,14.766456,4125702,1.34876,0.9028,-60.709999,0.730882,,4.284735,,1.461764,
Sample,24/05/2023 10:13,0,,,12510007,14.740095,4291399,1.403373,0.7521,-61.159996,0.606955,,4.882833,,1.21391,
Sample,24/05/2023 10:13,0,,,12509849,14.741866,4434103,1.450425,1.0311,-61.279999,0.836389,,5.393964,,1.672778,
Sample,24/05/2023 10:13,0,,,12511193,14.726803,4556183,1.490692,0.7734,-61.259998,0.624471,,5.829056,,1.248942,
Sample,24/05/2023 10:13,0,,,12512087,14.716784,4691283,1.535267,0.8709,-62.490002,0.70465,,6.308746,,1.409299,
Sample,24/05/2023 10:13,0,,,12514305,14.691927,4881916,1.598191,0.7784,-61.190002,0.628583,,6.983136,,1.257165,
