VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
August_2023, Triggered Logging, NA, Disabled, 1.000000 Seconds,NA, NA, 1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x40
[LOGGER CHANNEL 3],Disabled


[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 10/08/2023 15:39:11
STOP TIME, 24/08/2023 15:20:54
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,24/08/2023 10:22:32,23,,,11996243,20.578493,3171224,1.034646,634.539978,5706.200195,4910.133748,,0.396223,,9820.267578,
Sample,24/08/2023 10:22:33,23,,,11996704,20.573144,3171213,1.034642,606.320007,5162.399902,4450.481165,,0.396160,,8900.961914,
Sample,24/08/2023 10:22:34,23,,,11996628,20.574026,3171345,1.034686,282.750000,4034.399902,3497.027992,,0.396911,,6994.056152,
Sample,24/08/2023 10:22:35,23,,,11995850,20.583052,3172546,1.035081,0.713100,3164.300049,2761.567473,,0.403728,,5523.134766,
Sample,24/08/2023 10:22:36,23,,,11994894,20.594145,3171949,1.034884,0.015400,3186.100098,2779.994180,,0.400341,,5559.988281,
Sample,24/08/2023 10:22:37,23,,,11993025,20.615835,3171084,1.034600,0.105900,2183.199951,1932.282897,,0.395427,,3864.565674,
Sample,24/08/2023 10:22:38,23,,,11993089,20.615093,3169943,1.034225,0.096300,3125.699951,2728.940358,,0.388931,,5457.880859,
Sample,24/08/2023 10:22:39,23,,,11994244,20.601688,3169712,1.034149,0.092800,3115.500000,2720.318748,,0.387614,,5440.637695,
Sample,24/08/2023 10:22:40,23,,,11995524,20.586835,3169359,1.034033,0.085100,3100.399902,2707.555241,,0.385600,,5415.110352,
Sample,24/08/2023 10:22:41,23,,,11996762,20.572471,3169281,1.034007,0.075400,3089.899902,2698.680012,,0.385154,,5397.359863,
Sample,24/08/2023 10:22:42,23,,,11997929,20.558933,3169235,1.033992,0.081600,3094.199951,2702.314671,,0.384892,,5404.629395,
Sample,24/08/2023 10:22:43,23,,,11999042,20.546023,3168885,1.033877,0.083100,3088.699951,2697.665741,,0.382893,,5395.331543,
Sample,24/08/2023 10:22:44,23,,,12000061,20.534204,3169004,1.033916,0.089800,3087.600098,2696.736079,,0.383573,,5393.472168,
Sample,24/08/2023 10:22:45,23,,,12000742,20.526306,3168878,1.033875,0.086700,3087.100098,2696.313449,,0.382853,,5392.626953,
Sample,24/08/2023 10:22:46,23,,,12001400,20.518676,3169018,1.033921,0.101600,3083.300049,2693.101420,,0.383653,,5386.202637,
Sample,24/08/2023 10:22:47,23,,,12001999,20.511730,3169052,1.033932,0.116200,3082.399902,2692.340562,,0.383847,,5384.681152,
Sample,24/08/2023 10:22:48,23,,,12002444,20.506571,3169146,1.033963,0.112100,3082.300049,2692.256160,,0.384384,,5384.512207,
Sample,24/08/2023 10:22:49,23,,,12002947,20.500739,3168949,1.033898,0.198900,3086.199951,2695.552591,,0.383259,,5391.104980,
Sample,24/08/2023 10:22:50,23,,,12003530,20.493980,3169013,1.033919,0.208100,3079.600098,2689.974000,,0.383624,,5379.948242,
