VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
15th July, Triggered Logging, NA, Disabled, 1.000000 Seconds,NA, NA, 1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x20
[LOGGER CHANNEL 3],Disabled


[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 00/00/2023 00:00:00
STOP TIME, 00/00/2023 00:00:00
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,18/07/2023 10:06:03,23,,,12224160,17.962874,3196690,1.043016,0.059500,-537.200012,0.037400,,0.537310,,0.074799,
Sample,18/07/2023 10:06:04,23,,,12222452,17.982289,3196050,1.042806,0.199900,1310.099976,1194.286495,,0.533849,,2388.572998,
Sample,18/07/2023 10:06:05,23,,,12221520,17.992884,3196240,1.042868,1.357000,-132.399994,1.104391,,0.534877,,2.208782,
Sample,18/07/2023 10:06:06,23,,,12221309,17.995283,3196268,1.042877,0.943700,2547.100098,2239.873100,,0.535028,,4479.746094,
Sample,18/07/2023 10:06:07,23,,,12221242,17.996044,3196252,1.042872,1485.400024,5999.799805,5158.301726,,0.534942,,10316.603516,
Sample,18/07/2023 10:06:08,23,,,12221512,17.992975,3196032,1.042800,1481.400024,6017.200195,5173.009579,,0.533751,,10346.019531,
Sample,18/07/2023 10:06:09,23,,,12222152,17.985699,3196120,1.042829,1489.199951,6042.899902,5194.732511,,0.534227,,10389.464844,
Sample,18/07/2023 10:06:10,23,,,12222806,17.978264,3196180,1.042848,1487.599976,6055.399902,5205.298260,,0.534552,,10410.596680,
Sample,18/07/2023 10:06:11,23,,,12223091,17.975025,3196091,1.042819,1484.199951,6051.799805,5202.255241,,0.534070,,10404.510742,
Sample,18/07/2023 10:06:12,23,,,12223188,17.973922,3196176,1.042847,1524.800049,6101.200195,5244.011411,,0.534530,,10488.022461,
Sample,18/07/2023 10:06:13,23,,,12223037,17.975639,3196208,1.042858,1530.300049,6090.299805,5234.797748,,0.534704,,10469.595703,
Sample,18/07/2023 10:06:14,23,,,12222912,17.977060,3196242,1.042869,1536.300049,6111.799805,5252.970836,,0.534887,,10505.941406,
