VERSION,5.2,AQUAtalk:V4.42,OS:V6.2,,,,,,,,,,,,,,,
LOGGER TYPE,AQUAlogger 310TYPT5 max50m ,,,,,,,,,,,,,,,,,
LOGGER,2554-327,,,,,,,,,,,,,,,,,
REGIME,,,,,,,,,,,,,,,,,,
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year,,,,,,,
Calibration_30_09_2024, Instant Start, NA,Enabled, 10.000000 Seconds,5,1.000000 Seconds,1, Disabled, NA, NA, NA, NA,,,,,,
[LOGGER CHANNEL 0],Disabled,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 1],Disabled,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 2],Battery        ,06/03/2023,,,,,,,,,,,,,,,,
COEFFS,-46.089977, 5.4978768e-06,0,0,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 3],Ext Power      ,06/03/2023,,,,,,,,,,,,,,,,
COEFFS,-45.999802, 5.4883012e-06,0,0,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 4],Temperature    ,13/03/2023,,,,,,,,,,,,,,,,
COEFFS,967.58575,-0.000220028, 1.9068084e-11,-7.06E-19, 8.0592888e-27,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 5],Pressure       ,09/03/2023,,,,,,,,,,,,,,,,
COEFFS,-0.002612514, 3.2540086e-07, 5.6441919e-16,-1.06E-23,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 6],Turbidity,09/03/2023,,,,,,,,,,,,,,,,
COEFFS Raw1,-0.011529949,0.82234406,0,0,0,COEFFS Raw2,86.911514,0.8452599,0,0,0,Transition Raw2,1080.2458,,,,,
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1,,,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 8],Depth       ,Not Calibrated,,,,,,,,,,,,,,,,
COEFFS,51.507366,1.0135,1,0,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x5,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd,,,,,,,,,,,,,,,,
COEFFS,0,2,0,0,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1,,,,,,,,,,,,,,,,
START TIME, 30/09/2024 19:05:47,,,,,,,,,,,,,,,,,
STOP TIME, 30/09/2024 20:16:40,,,,,,,,,,,,,,,,,
HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,30/09/2024 19:05,23,9367221,5.40985,8388481,0.038709,12132494,19.008476,3129488,1.02093,19.364,2378.899902,2097.700219,,0.147046,,4195.400391,
Sample,30/09/2024 19:05,23,9367203,5.409751,8388477,0.038687,12132449,19.008991,3129362,1.020888,19.358,2376,2095.249048,,0.146253,,4190.498047,
Sample,30/09/2024 19:05,23,9367168,5.409559,8388476,0.038681,12132403,19.009518,3129413,1.020905,19.362,2376.5,2095.671678,,0.146574,,4191.343262,
Sample,30/09/2024 19:05,23,9367166,5.409548,8388482,0.038714,12132389,19.009678,3129362,1.020888,19.006001,2376.300049,2095.502667,,0.146253,,4191.005371,
Sample,30/09/2024 19:06,23,9369471,5.42222,8388477,0.038687,12130402,19.03243,3128368,1.020562,0.1301,2283.199951,2016.808888,,0.139988,,4033.617676,
Sample,30/09/2024 19:06,23,9369472,5.422226,8388478,0.038692,12129978,19.037286,3128459,1.020592,0.1802,2284.100098,2017.569746,,0.140562,,4035.139404,
Sample,30/09/2024 19:06,23,9369484,5.422292,8388477,0.038687,12129796,19.03937,3128557,1.020624,0.1125,2283.399902,2016.977898,,0.141181,,4033.955811,
Sample,30/09/2024 19:06,23,9369515,5.422462,8388481,0.038709,12129778,19.039576,3128805,1.020705,0.1378,2285.899902,2019.091048,,0.142745,,4038.182129,
Sample,30/09/2024 19:06,23,9369552,5.422666,8388477,0.038687,12129818,19.039118,3129420,1.020907,0.1052,2285.800049,2019.006646,,0.146619,,4038.013184,
Sample,30/09/2024 19:06,23,9366242,5.404468,8388484,0.038725,12127913,19.060936,3128721,1.020678,0.0298,2179.899902,1929.493498,,0.142215,,3858.987061,
Sample,30/09/2024 19:06,23,9367320,5.410394,8388482,0.038714,12126887,19.072689,3128102,1.020474,0.087,2175.600098,1925.859046,,0.138309,,3851.718018,
Sample,30/09/2024 19:06,23,9365248,5.399003,8388479,0.038698,12126460,19.07758,3128039,1.020454,0.0337,2168.899902,1920.195639,,0.137911,,3840.391357,
Sample,30/09/2024 19:06,23,9367028,5.408789,8388482,0.038714,12126480,19.077351,3128128,1.020483,0.0715,2168.199951,1919.603999,,0.138473,,3839.208008,
Sample,30/09/2024 19:06,23,9365048,5.397903,8388479,0.038698,12126686,19.074991,3128557,1.020624,0.0526,2164.899902,1916.8146,,0.141181,,3833.62915,
Sample,30/09/2024 19:06,23,9369978,5.425008,8388480,0.038703,12127623,19.064258,3129384,1.020896,0.3693,2164.699951,1916.645589,,0.146392,,3833.29126,
Sample,30/09/2024 19:06,23,9369916,5.424667,8388482,0.038714,12127391,19.066915,3129151,1.020819,0.082,2152.100098,1905.995438,,0.144925,,3811.990967,
Sample,30/09/2024 19:06,23,9369908,5.424623,8388481,0.038709,12127326,19.06766,3129289,1.020864,0.0768,2150.899902,1904.980961,,0.145794,,3809.961914,
Sample,30/09/2024 19:06,23,9369878,5.424458,8388477,0.038687,12127311,19.067832,3129415,1.020906,0.0718,2150,1904.22031,,0.146587,,3808.440674,
Sample,30/09/2024 19:06,23,9369876,5.424447,8388479,0.038698,12127324,19.067683,3129345,1.020883,0.0758,2149.800049,1904.051299,,0.146146,,3808.102539,
Sample,30/09/2024 19:06,23,9370328,5.426932,8388479,0.038698,12127520,19.065438,3129476,1.020926,0.0649,2145.899902,1900.754662,,0.146971,,3801.509277,
Sample,30/09/2024 19:06,23,9370224,5.42636,8388480,0.038703,12127461,19.066114,3129381,1.020895,0.0987,2145.399902,1900.332032,,0.146373,,3800.664062,
Sample,30/09/2024 19:06,23,9370172,5.426074,8388482,0.038714,12127434,19.066423,3129506,1.020936,0.2234,2145.800049,1900.670259,,0.14716,,3801.340576,
Sample,30/09/2024 19:06,23,9370155,5.425981,8388482,0.038714,12127334,19.067568,3129539,1.020947,0.5431,2146.399902,1901.177292,,0.147367,,3802.354492,
Sample,30/09/2024 19:06,23,9370141,5.425904,8388481,0.038709,12127293,19.068038,3129412,1.020905,0.7841,2149.199951,1903.544061,,0.146568,,3807.088135,
Sample,30/09/2024 19:06,23,9370559,5.428202,8388480,0.038703,12127035,19.070993,3128733,1.020682,0.1976,2144.5,1899.57138,,0.142291,,3799.142822,
Sample,30/09/2024 19:06,23,9370434,5.427515,8388481,0.038709,12126912,19.072402,3128695,1.020669,0.1437,2143.100098,1898.388099,,0.142051,,3796.776123,
Sample,30/09/2024 19:06,23,9370381,5.427223,8388481,0.038709,12126786,19.073846,3128703,1.020672,0.1528,2144.800049,1899.825,,0.142102,,3799.649902,
Sample,30/09/2024 19:06,23,9370346,5.427031,8388476,0.038681,12126739,19.074384,3128406,1.020574,0.1599,2144.100098,1899.233359,,0.140228,,3798.466797,
Sample,30/09/2024 19:06,23,9370303,5.426794,8388481,0.038709,12126717,19.074636,3128782,1.020698,0.158,2142.699951,1898.049871,,0.1426,,3796.099854,
Sample,30/09/2024 19:06,23,9370683,5.428884,8388480,0.038703,12125514,19.088417,3127713,1.020347,0.0921,2137.800049,1893.90818,,0.13585,,3787.816406,
Sample,30/09/2024 19:06,23,9370587,5.428356,8388476,0.038681,12125245,19.091499,3127728,1.020351,0.5089,2142.300049,1897.71185,,0.135945,,3795.423584,
