sensor,site,datetime,temp,turbidity,depth,ssc,turbidity_std
AQL,calibration,30/09/2024 19:08,18.741728,24.139892,0.760431,48.279785,0
AQL,calibration,30/09/2024 19:09,18.742162,24.106176,0.759393,48.212353,0
AQL,calibration,30/09/2024 19:09,18.743019,24.111111,0.759675,48.222221,0
AQL,calibration,30/09/2024 19:09,18.743727,24.147294,0.759685,48.29459,0
AQL,calibration,30/09/2024 19:09,18.744082,24.162098,0.759574,48.324196,0
AQL,calibration,30/09/2024 19:09,18.744333,24.171965,0.760502,48.343929,0
AQL,calibration,30/09/2024 19:09,18.745064,24.168673,0.76156,48.337345,0
AQL,calibration,30/09/2024 19:09,18.746013,24.17032,0.761475,48.340641,0
AQL,calibration,30/09/2024 19:09,18.746527,24.165385,0.761994,48.330769,0
AQL,calibration,30/09/2024 19:09,18.74695,24.151407,0.762528,48.302814,0
AQL,calibration,30/09/2024 19:09,18.747396,24.14236,0.761933,48.284718,0
AQL,calibration,30/09/2024 19:09,18.748013,24.105354,0.760986,48.210709,0
AQL,calibration,30/09/2024 19:09,18.748973,24.102067,0.760966,48.204132,0
AQL,calibration,30/09/2024 19:09,18.749578,24.102067,0.761248,48.204132,0
AQL,calibration,30/09/2024 19:09,18.749944,24.097952,0.761117,48.195904,0
AQL,calibration,30/09/2024 19:09,18.750172,24.097952,0.760809,48.195904,0
AQL,calibration,30/09/2024 19:09,18.750458,24.069172,0.76157,48.138344,0
AQL,calibration,30/09/2024 19:09,18.751361,24.065059,0.762744,48.130119,0
AQL,calibration,30/09/2024 19:09,18.751818,24.06835,0.763041,48.1367,0
AQL,calibration,30/09/2024 19:09,18.751955,24.059305,0.762895,48.11861,0
AQL,calibration,30/09/2024 19:09,18.752104,24.050258,0.763409,48.100513,0
AQL,calibration,30/09/2024 19:09,18.751281,24.03381,0.763807,48.067619,0
AQL,calibration,30/09/2024 19:09,18.751944,24.032987,0.762905,48.065975,0
AQL,calibration,30/09/2024 19:09,18.752218,24.032167,0.762936,48.064335,0
AQL,calibration,30/09/2024 19:09,18.752184,24.024763,0.762971,48.049526,0
AQL,calibration,30/09/2024 19:09,18.752252,24.037923,0.763001,48.075848,0
AQL,calibration,30/09/2024 19:09,18.750298,24.086438,0.763273,48.172874,0
AQL,calibration,30/09/2024 19:09,18.750892,24.080685,0.763953,48.161369,0
AQL,calibration,30/09/2024 19:09,18.750801,24.081507,0.763772,48.163013,0
AQL,calibration,30/09/2024 19:09,18.750869,24.083151,0.764673,48.166302,0
AQL,calibration,30/09/2024 19:09,18.750767,24.077394,0.757799,48.154789,0
AQL,calibration,30/09/2024 19:10,18.748253,24.073283,0.756952,48.146564,0
AQL,calibration,30/09/2024 19:10,18.748595,24.07575,0.756815,48.151501,0
AQL,calibration,30/09/2024 19:10,18.748904,24.07575,0.756477,48.151501,0
AQL,calibration,30/09/2024 19:10,18.748835,24.079863,0.756276,48.159725,0
AQL,calibration,30/09/2024 19:10,18.748344,24.081507,0.756331,48.163013,0
AQL,calibration,30/09/2024 19:10,18.745956,24.092198,0.756477,48.184395,0
AQL,calibration,30/09/2024 19:10,18.746584,24.090552,0.756422,48.181103,0
AQL,calibration,30/09/2024 19:10,18.746641,24.086438,0.756265,48.172874,0
AQL,calibration,30/09/2024 19:10,18.746504,24.087262,0.756472,48.174522,0
AQL,calibration,30/09/2024 19:10,18.746241,24.090552,0.756094,48.181103,0
AQL,calibration,30/09/2024 19:10,18.744082,24.104532,0.755544,48.209064,0
AQL,calibration,30/09/2024 19:10,18.744733,24.122625,0.756139,48.245251,0
AQL,calibration,30/09/2024 19:10,18.744653,24.130849,0.755655,48.261696,0
AQL,calibration,30/09/2024 19:10,18.744619,24.148938,0.755857,48.297874,0
AQL,calibration,30/09/2024 19:10,18.744402,24.152227,0.756175,48.304455,0
AQL,calibration,30/09/2024 19:10,18.742493,24.239396,0.756376,48.478794,0
AQL,calibration,30/09/2024 19:10,18.743122,24.238573,0.756957,48.477146,0
AQL,calibration,30/09/2024 19:10,18.743236,24.249264,0.756316,48.498528,0
AQL,calibration,30/09/2024 19:10,18.743145,24.259131,0.756568,48.518261,0
AQL,calibration,30/09/2024 19:10,18.743042,24.259955,0.756735,48.519909,0
AQL,calibration,30/09/2024 19:10,18.741373,24.303538,0.75733,48.607079,0
AQL,calibration,30/09/2024 19:10,18.741785,24.311762,0.756765,48.623524,0
AQL,calibration,30/09/2024 19:10,18.742105,24.319164,0.755872,48.638329,0
AQL,calibration,30/09/2024 19:10,18.742219,24.31752,0.756397,48.63504,0
AQL,calibration,30/09/2024 19:10,18.741991,24.31752,0.756311,48.63504,0
AQL,calibration,30/09/2024 19:10,18.740117,24.270645,0.75675,48.54129,0
AQL,calibration,30/09/2024 19:10,18.740916,24.257487,0.756699,48.514977,0
AQL,calibration,30/09/2024 19:10,18.740974,24.238573,0.756553,48.477146,0
AQL,calibration,30/09/2024 19:10,18.740951,24.234462,0.756563,48.468925,0
AQL,calibration,30/09/2024 19:10,18.740814,24.220482,0.756583,48.440964,0
AQL,calibration,30/09/2024 19:11,18.739111,24.222951,0.757118,48.4459,0
AQL,calibration,30/09/2024 19:11,18.739797,24.220482,0.757219,48.440964,0
AQL,calibration,30/09/2024 19:11,18.739911,24.217194,0.757391,48.434387,0
AQL,calibration,30/09/2024 19:11,18.739979,24.213904,0.757113,48.427807,0
AQL,calibration,30/09/2024 19:11,18.739922,24.196634,0.757073,48.393269,0
AQL,calibration,30/09/2024 19:11,18.738334,24.178543,0.756503,48.357086,0
AQL,calibration,30/09/2024 19:11,18.738951,24.17772,0.756604,48.355438,0
AQL,calibration,30/09/2024 19:11,18.739077,24.183478,0.756942,48.366955,0
AQL,calibration,30/09/2024 19:11,18.739134,24.190878,0.75731,48.381756,0
AQL,calibration,30/09/2024 19:11,18.73902,24.213904,0.756952,48.427807,0
AQL,calibration,30/09/2024 19:11,18.736437,26.07898,0.755751,52.157959,0
AQL,calibration,30/09/2024 19:11,18.736003,26.2969,0.755544,52.5938,0
AQL,calibration,30/09/2024 19:11,18.735009,26.106118,0.755761,52.212234,0
AQL,calibration,30/09/2024 19:11,18.73494,25.792803,0.755635,51.585606,0
AQL,calibration,30/09/2024 19:11,18.734552,25.471269,0.756482,50.942535,0
AQL,calibration,30/09/2024 19:11,18.732621,24.77721,0.757224,49.55442,0
AQL,calibration,30/09/2024 19:11,18.733146,24.733625,0.756947,49.467251,0
AQL,calibration,30/09/2024 19:11,18.733581,24.699087,0.756937,49.398174,0
AQL,calibration,30/09/2024 19:11,18.733638,24.649745,0.757658,49.299488,0
AQL,calibration,30/09/2024 19:11,18.733855,24.59465,0.756921,49.189301,0
AQL,calibration,30/09/2024 19:11,18.733078,24.441695,0.757542,48.883389,0
AQL,calibration,30/09/2024 19:11,18.733992,24.420313,0.75729,48.840626,0
