VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
SPM_stock_calibration, Instant Start, NA,Disabled, 1.000000 Seconds,NA, NA, 1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 3],Ext Power      ,06/03/2023
COEFFS, -45.999802, 5.4883012e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 16/10/2024 16:17:17
STOP TIME, 16/10/2024 17:01:18
HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,16/10/2024 16:17:22,23,9360405,5.372376,8388489,0.038753,11919929,21.467700,3108661,1.014086,0.019200,2141.300049,1896.866590,,0.011965,,3793.733154,
Sample,16/10/2024 16:17:23,23,9360340,5.372019,8388486,0.038736,11919858,21.468531,3108655,1.014084,0.047500,2143.500000,1898.726120,,0.011925,,3797.452148,
Sample,16/10/2024 16:17:24,23,9360293,5.371761,8388488,0.038747,11919778,21.469467,3108683,1.014093,0.050000,2140.300049,1896.021330,,0.012112,,3792.042725,
Sample,16/10/2024 16:17:25,23,9360279,5.371684,8388479,0.038698,11919734,21.469982,3108700,1.014099,0.047400,2141.600098,1897.120209,,0.012226,,3794.240479,
Sample,16/10/2024 16:17:26,23,9360214,5.371326,8388483,0.038720,11919884,21.468226,3108575,1.014058,0.178600,2143.399902,1898.641512,,0.011389,,3797.282959,
Sample,16/10/2024 16:17:27,23,9360271,5.371640,8388483,0.038720,11920208,21.464434,3108667,1.014088,0.426800,2144.000000,1899.148750,,0.012005,,3798.297607,
Sample,16/10/2024 16:17:28,23,9360248,5.371513,8388476,0.038681,11920477,21.461286,3108610,1.014069,13.008000,2226.699951,1969.051703,,0.011624,,3938.103516,
Sample,16/10/2024 16:17:29,23,9360231,5.371420,8388481,0.038709,11920718,21.458466,3108608,1.014068,12.014000,2225.300049,1967.868422,,0.011610,,3935.736816,
Sample,16/10/2024 16:17:30,23,9360194,5.371216,8388482,0.038714,11920726,21.458372,3108671,1.014089,11.996000,2223.800049,1966.600532,,0.012032,,3933.201172,
Sample,16/10/2024 16:17:31,23,9360163,5.371046,8388479,0.038698,11920698,21.458700,3108607,1.014068,11.934999,2223.300049,1966.177902,,0.011604,,3932.355713,
Sample,16/10/2024 16:17:32,23,9360127,5.370848,8388485,0.038731,11920681,21.458899,3108678,1.014091,11.990000,2223.800049,1966.600532,,0.012079,,3933.201172,
Sample,16/10/2024 16:17:33,23,9360096,5.370678,8388485,0.038731,11920765,21.457916,3108621,1.014073,11.963000,2225.000000,1967.614803,,0.011697,,3935.229492,
Sample,16/10/2024 16:17:34,23,9360077,5.370573,8388479,0.038698,11920852,21.456898,3108538,1.014045,11.988001,2223.100098,1966.008891,,0.011142,,3932.017822,
Sample,16/10/2024 16:17:35,23,9360057,5.370463,8388478,0.038692,11920868,21.456711,3108622,1.014073,11.987000,2224.000000,1966.769543,,0.011704,,3933.539062,
Sample,16/10/2024 16:17:36,23,9360024,5.370282,8388480,0.038703,11920818,21.457296,3108635,1.014077,11.979000,2221.199951,1964.402774,,0.011791,,3928.805664,
Sample,16/10/2024 16:17:37,23,9359991,5.370100,8388482,0.038714,11920824,21.457226,3108684,1.014093,11.958000,2222.500000,1965.501653,,0.012119,,3931.003418,
Sample,16/10/2024 16:17:38,23,9359949,5.369869,8388479,0.038698,11920880,21.456570,3108614,1.014070,11.958000,2220.899902,1964.149154,,0.011650,,3928.298340,
Sample,16/10/2024 16:17:39,23,9359927,5.369748,8388478,0.038692,11920909,21.456231,3108669,1.014088,11.990999,2221.600098,1964.741001,,0.012018,,3929.481934,
Sample,16/10/2024 16:17:40,23,9359904,5.369622,8388484,0.038725,11920996,21.455213,3108598,1.014065,11.958000,2222.600098,1965.586261,,0.011543,,3931.172607,
Sample,16/10/2024 16:17:41,23,9359877,5.369474,8388483,0.038720,11921016,21.454979,3108601,1.014066,12.588000,2225.699951,1968.206443,,0.011563,,3936.412842,
Sample,16/10/2024 16:17:42,23,9359851,5.369331,8388483,0.038720,11921030,21.454815,3108588,1.014062,12.063001,2222.500000,1965.501653,,0.011476,,3931.003418,
Sample,16/10/2024 16:17:43,23,9359812,5.369116,8388483,0.038720,11921027,21.454850,3108650,1.014082,27.279999,2199.300049,1945.891664,,0.011891,,3891.783447,
Sample,16/10/2024 16:17:44,23,9359773,5.368902,8388481,0.038709,11921366,21.450883,3107677,1.013762,0.139100,2146.500000,1901.261900,,0.005369,,3802.523682,
