VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
SPM_stock_calibration, Instant Start, NA,Disabled, 1.000000 Seconds,NA, NA, 1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 3],Ext Power      ,06/03/2023
COEFFS, -45.999802, 5.4883012e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 09/10/2024 10:57:40
STOP TIME, 09/10/2024 11:16:51
HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,09/10/2024 10:57:45,23,9361696,5.379474,8388483,0.038720,12172194,18.554693,3070258,1.001467,0.047500,2145.000000,1899.994010,,-1.000000,,3799.988037,
Sample,09/10/2024 10:57:46,23,9361678,5.379375,8388481,0.038709,12172156,18.555127,3070198,1.001447,0.044200,2146.800049,1901.515519,,-1.000000,,3803.031006,
Sample,09/10/2024 10:57:47,23,9361677,5.379370,8388482,0.038714,12172112,18.555629,3070249,1.001464,0.052100,2146.399902,1901.177292,,-1.000000,,3802.354492,
Sample,09/10/2024 10:57:48,23,9361662,5.379287,8388480,0.038703,12172066,18.556154,3070217,1.001454,0.054700,2145.600098,1900.501249,,-1.000000,,3801.002441,
Sample,09/10/2024 10:57:49,23,9361624,5.379078,8388481,0.038709,12171827,18.558881,3069995,1.001381,0.225500,2157.199951,1910.306140,,-1.000000,,3820.612305,
Sample,09/10/2024 10:57:50,23,9361608,5.378990,8388479,0.038698,12169833,18.581638,3070130,1.001425,0.291900,2156.699951,1909.883510,,-1.000000,,3819.767090,
Sample,09/10/2024 10:57:51,23,9361591,5.378897,8388479,0.038698,12168247,18.599742,3070122,1.001422,9.464100,2240.000000,1980.293701,,-1.000000,,3960.587402,
Sample,09/10/2024 10:57:52,23,9361597,5.378930,8388479,0.038698,12166400,18.620827,3070110,1.001418,6.954900,2241.399902,1981.476982,,-1.000000,,3962.953857,
Sample,09/10/2024 10:57:53,23,9361592,5.378902,8388479,0.038698,12165364,18.632656,3070107,1.001417,6.101400,2228.800049,1970.826832,,-1.000000,,3941.653564,
Sample,09/10/2024 10:57:54,23,9361563,5.378743,8388482,0.038714,12164899,18.637965,3070146,1.001430,5.705000,2225.800049,1968.291052,,-1.000000,,3936.582031,
Sample,09/10/2024 10:57:55,23,9363123,5.387320,8388478,0.038692,12164364,18.644074,3070090,1.001412,4.909900,2210.300049,1955.189523,,-1.000000,,3910.379150,
Sample,09/10/2024 10:57:56,23,9363549,5.389662,8388478,0.038692,12163600,18.652798,3069958,1.001369,13.370000,2299.600098,2030.671274,,-1.000000,,4061.342529,
Sample,09/10/2024 10:57:57,23,9363680,5.390382,8388480,0.038703,12162406,18.666434,3069224,1.001127,200.809998,3528.899902,3069.749110,,-1.000000,,6139.498047,
Sample,09/10/2024 10:57:58,23,9363776,5.390910,8388482,0.038714,12160053,18.693309,3069160,1.001106,186.800003,7476.600098,6406.581802,,-1.000000,,12813.164062,
