VERSION,5.2,AQUAtalk:V4.42,OS:V6.2,,,,,,,,,,,,,,,
LOGGER TYPE,AQUAlogger 310TYPT5 max50m ,,,,,,,,,,,,,,,,,
LOGGER,2554-327,,,,,,,,,,,,,,,,,
REGIME,,,,,,,,,,,,,,,,,,
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year,,,,,,,
SPM_stock_calibration, Instant Start, NA,Disabled, 1.000000 Seconds,NA, NA,1, Disabled, NA, NA, NA, NA,,,,,,
[LOGGER CHANNEL 0],Disabled,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 1],Disabled,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 2],Battery        ,06/03/2023,,,,,,,,,,,,,,,,
COEFFS,-46.089977,5.50E-06,0,0,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 3],Ext Power      ,06/03/2023,,,,,,,,,,,,,,,,
COEFFS,-45.999802,5.49E-06,0,0,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 4],Temperature    ,13/03/2023,,,,,,,,,,,,,,,,
COEFFS,967.58575,-0.000220028,1.91E-11,-7.06E-19,8.06E-27,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 5],Pressure       ,09/03/2023,,,,,,,,,,,,,,,,
COEFFS,-0.002612514,3.25E-07,5.64E-16,-1.06E-23,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 6],Turbidity,09/03/2023,,,,,,,,,,,,,,,,
COEFFS Raw1,-0.011529949,0.82234406,0,0,0,COEFFS Raw2,86.911514,0.8452599,0,0,0,Transition Raw2,1080.2458,,,,,
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1,,,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 8],Depth       ,Not Calibrated,,,,,,,,,,,,,,,,
COEFFS,51.507366,1.0135,1,0,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x5,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd,,,,,,,,,,,,,,,,
COEFFS,0,2,0,0,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1,,,,,,,,,,,,,,,,
START TIME, 09/10/2024 10:57:40,,,,,,,,,,,,,,,,,
STOP TIME, 09/10/2024 11:16:51,,,,,,,,,,,,,,,,,
HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,09/10/2024 10:57,23,9361696,5.379474,8388483,0.03872,12172194,18.554693,3070258,1.001467,0.0475,2145,1899.99401,,-1,,3799.988037,
Sample,09/10/2024 10:57,23,9361678,5.379375,8388481,0.038709,12172156,18.555127,3070198,1.001447,0.0442,2146.800049,1901.515519,,-1,,3803.031006,
Sample,09/10/2024 10:57,23,9361677,5.37937,8388482,0.038714,12172112,18.555629,3070249,1.001464,0.0521,2146.399902,1901.177292,,-1,,3802.354492,
Sample,09/10/2024 10:57,23,9361662,5.379287,8388480,0.038703,12172066,18.556154,3070217,1.001454,0.0547,2145.600098,1900.501249,,-1,,3801.002441,
Sample,09/10/2024 10:57,23,9361624,5.379078,8388481,0.038709,12171827,18.558881,3069995,1.001381,0.2255,2157.199951,1910.30614,,-1,,3820.612305,
Sample,09/10/2024 10:57,23,9361608,5.37899,8388479,0.038698,12169833,18.581638,3070130,1.001425,0.2919,2156.699951,1909.88351,,-1,,3819.76709,
Sample,09/10/2024 10:57,23,9361591,5.378897,8388479,0.038698,12168247,18.599742,3070122,1.001422,9.4641,2240,1980.293701,,-1,,3960.587402,
Sample,09/10/2024 10:57,23,9361597,5.37893,8388479,0.038698,12166400,18.620827,3070110,1.001418,6.9549,2241.399902,1981.476982,,-1,,3962.953857,
Sample,09/10/2024 10:57,23,9361592,5.378902,8388479,0.038698,12165364,18.632656,3070107,1.001417,6.1014,2228.800049,1970.826832,,-1,,3941.653564,
Sample,09/10/2024 10:57,23,9361563,5.378743,8388482,0.038714,12164899,18.637965,3070146,1.00143,5.705,2225.800049,1968.291052,,-1,,3936.582031,
Sample,09/10/2024 10:57,23,9363123,5.38732,8388478,0.038692,12164364,18.644074,3070090,1.001412,4.9099,2210.300049,1955.189523,,-1,,3910.37915,
Sample,09/10/2024 10:57,23,9363549,5.389662,8388478,0.038692,12163600,18.652798,3069958,1.001369,13.37,2299.600098,2030.671274,,-1,,4061.342529,
Sample,09/10/2024 10:57,23,9363680,5.390382,8388480,0.038703,12162406,18.666434,3069224,1.001127,200.809998,3528.899902,3069.74911,,-1,,6139.498047,
Sample,09/10/2024 10:57,23,9363776,5.39091,8388482,0.038714,12160053,18.693309,3069160,1.001106,186.800003,7476.600098,6406.581802,,-1,,12813.16406,
Sample,09/10/2024 10:57,23,9363855,5.391344,8388482,0.038714,12158218,18.714272,3069083,1.001081,147.300003,8471.400391,7247.446603,,-1,,14494.89356,
Sample,09/10/2024 10:58,23,9363898,5.391581,8388483,0.03872,12156354,18.735569,3068956,1.001039,156.730011,8432.799805,7214.819075,,-1,,14429.6377,
Sample,09/10/2024 10:58,23,9363951,5.391872,8388480,0.038703,12154648,18.755064,3068843,1.001002,140.410004,9143.5,7815.545454,,-1,,15631.09082,
Sample,09/10/2024 10:58,23,9363969,5.391971,8388483,0.03872,12152905,18.774984,3068870,1.001011,171.559998,9089.099609,7769.562985,,-1,,15539.12598,
Sample,09/10/2024 10:58,23,9364022,5.392262,8388483,0.03872,12150933,18.797525,3069141,1.0011,72.620003,10191,8700.955205,,-1,,17401.91016,
Sample,09/10/2024 10:58,23,9364045,5.392389,8388476,0.038681,12149381,18.815268,3068565,1.000911,58.595001,10611,9055.964365,,-1,,18111.92969,
Sample,09/10/2024 10:58,23,9364047,5.3924,8388480,0.038703,12147930,18.831858,3068413,1.000861,492.97998,8104.899902,6937.658435,,-1,,13875.31641,
Sample,09/10/2024 10:58,23,9364190,5.393186,8388479,0.038698,12147016,18.84231,3068972,1.001045,85.522003,2576.800049,2264.977278,,-1,,4529.95459,
Sample,09/10/2024 10:58,23,9364162,5.393032,8388482,0.038714,12146561,18.847513,3069407,1.001187,38.510002,2363.399902,2084.598691,,-1,,4169.197266,
Sample,09/10/2024 10:58,23,9364173,5.393092,8388479,0.038698,12146523,18.847947,3069402,1.001186,32.595001,2360.199951,2081.8939,,-1,,4163.787598,
Sample,09/10/2024 10:58,23,9364199,5.393235,8388481,0.038709,12146618,18.846861,3069065,1.001075,33.575001,2363.699951,2084.85231,,-1,,4169.70459,
Sample,09/10/2024 10:58,23,9364239,5.393455,8388480,0.038703,12146841,18.844311,3069125,1.001095,24.02,2324.699951,2051.887174,,-1,,4103.774414,
Sample,09/10/2024 10:58,23,9364234,5.393428,8388481,0.038709,12147096,18.841395,3069590,1.001248,13.407,2276.399902,2011.061079,,-1,,4022.12207,
Sample,09/10/2024 10:58,23,9364260,5.393571,8388482,0.038714,12147446,18.837393,3069593,1.001249,6.491099,2232.399902,1973.869643,,-1,,3947.739258,
Sample,09/10/2024 10:58,23,9364274,5.393648,8388480,0.038703,12147875,18.832487,3069684,1.001278,5.4206,2212,1956.626424,,-1,,3913.25293,
Sample,09/10/2024 10:58,23,9364294,5.393758,8388478,0.038692,12148288,18.827765,3067943,1.000706,231.580002,4924.700195,4249.563133,,-1,,8499.125977,
Sample,09/10/2024 10:58,23,9364315,5.393873,8388478,0.038692,12147559,18.8361,3069670,1.001274,27.126001,2320,2047.914494,,-1,,4095.829102,
Sample,09/10/2024 10:58,23,9364330,5.393956,8388480,0.038703,12145982,18.854134,3069958,1.001369,10.381,2185.699951,1934.396047,,-1,,3868.791992,
Sample,09/10/2024 10:58,23,9364367,5.394159,8388476,0.038681,12145442,18.86031,3069801,1.001317,9.5497,2187.699951,1936.086567,,-1,,3872.173096,
Sample,09/10/2024 10:58,23,9364366,5.394154,8388474,0.03867,12145528,18.859326,3069698,1.001283,9.953099,2184.800049,1933.635396,,-1,,3867.270752,
Sample,09/10/2024 10:58,23,9364377,5.394214,8388478,0.038692,12145833,18.855838,3069871,1.00134,9.0182,2192.800049,1940.397475,,-1,,3880.794922,
Sample,09/10/2024 10:58,23,9364386,5.394264,8388479,0.038698,12146229,18.85131,3069950,1.001366,6.7005,2175.199951,1925.520818,,-1,,3851.041748,
Sample,09/10/2024 10:58,23,9364409,5.39439,8388480,0.038703,12146407,18.849274,3069846,1.001332,1.8073,2155.600098,1908.953848,,-1,,3817.907715,
Sample,09/10/2024 10:58,23,9364413,5.394412,8388482,0.038714,12146140,18.852327,3069986,1.001378,1.6684,2155.600098,1908.953848,,-1,,3817.907715,
Sample,09/10/2024 10:58,23,9364442,5.394571,8388477,0.038687,12145676,18.857634,3069905,1.001351,2.103,2155.399902,1908.784631,,-1,,3817.569336,
Sample,09/10/2024 10:58,23,9364450,5.394615,8388483,0.03872,12145387,18.860939,3067553,1.000578,2.1695,2161.899902,1914.27882,,-1,,3828.557617,
