VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
Pilot 7 April 2023, Triggered Logging, NA, Disabled, 1.000000 Seconds,NA, NA, 1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x10
[LOGGER CHANNEL 3],Disabled


[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 05/04/2023 14:51:06
STOP TIME, 05/04/2023 15:18:11
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,05/04/2023 15:23:06,23,,,12188045,18.373922,3171746,1.034818,0.064400,2494.500000,2195.412347,,0.399189,,4390.824707,
Sample,05/04/2023 15:23:07,23,,,12187837,18.376293,3171593,1.034767,0.074600,2492.800049,2193.975446,,0.398320,,4387.950684,
Sample,05/04/2023 15:23:08,23,,,12187761,18.377159,3171470,1.034727,0.070500,2494.199951,2195.158728,,0.397621,,4390.317383,
Sample,05/04/2023 15:23:09,23,,,12187788,18.376851,3171341,1.034685,0.084700,2493.100098,2194.229066,,0.396888,,4388.458008,
Sample,05/04/2023 15:23:10,23,,,12187914,18.375415,3171354,1.034689,0.069000,2494.800049,2195.665966,,0.396962,,4391.332031,
Sample,05/04/2023 15:23:11,23,,,12187978,18.374685,3171363,1.034692,0.072700,2495.199951,2196.003988,,0.397013,,4392.007812,
Sample,05/04/2023 15:23:12,23,,,12187971,18.374765,3171447,1.034719,0.069000,2494.000000,2194.989717,,0.397490,,4389.979492,
Sample,05/04/2023 15:23:13,23,,,12187836,18.376304,3174007,1.035561,0.066700,2493.800049,2194.820706,,0.411997,,4389.641602,
Sample,05/04/2023 15:23:14,23,9440570,5.813114,12187728,18.377535,3171335,1.034683,0.086700,2494.500000,2195.412347,,0.396854,,4390.824707,
Sample,05/04/2023 15:23:15,23,,,12187703,18.377820,3171453,1.034721,0.060500,2495.600098,2196.342215,,0.397524,,4392.684570,
Sample,05/04/2023 15:23:16,23,,,12187643,18.378504,3172358,1.035019,0.058900,2494.199951,2195.158728,,0.402662,,4390.317383,
Sample,05/04/2023 15:23:17,23,,,12187492,18.380225,3171441,1.034717,0.139700,2493.800049,2194.820706,,0.397456,,4389.641602,
Sample,05/04/2023 15:23:18,23,,,12187449,18.380715,3171324,1.034679,1.232600,2504.500000,2203.864946,,0.396791,,4407.729980,
Sample,05/04/2023 15:23:19,23,,,12187356,18.381775,3171189,1.034635,0.698400,2492.300049,2193.552816,,0.396024,,4387.105469,
Sample,05/04/2023 15:23:20,23,,,12187370,18.381615,3171292,1.034668,0.316500,2492.100098,2193.383806,,0.396609,,4386.767578,
Sample,05/04/2023 15:23:21,23,,,12187442,18.380795,3171271,1.034662,0.149400,2493.000000,2194.144457,,0.396490,,4388.289062,
Sample,05/04/2023 15:23:22,23,,,12187540,18.379678,3171472,1.034728,0.406700,2494.000000,2194.989717,,0.397632,,4389.979492,
Sample,05/04/2023 15:23:23,23,,,12187146,18.384168,3171667,1.034792,0.376900,2494.199951,2195.158728,,0.398740,,4390.317383,
Sample,05/04/2023 15:23:24,23,9440475,5.812591,12186797,18.388146,3172264,1.034988,0.461700,2494.800049,2195.665966,,0.402128,,4391.332031,
Sample,05/04/2023 15:23:25,23,,,12186544,18.391030,3171520,1.034743,0.555800,2495.899902,2196.595628,,0.397905,,4393.191406,
Sample,05/04/2023 15:23:26,23,,,12186147,18.395556,3171428,1.034713,0.358800,2495.600098,2196.342215,,0.397382,,4392.684570,
Sample,05/04/2023 15:23:27,23,,,12186374,18.392968,3171476,1.034729,0.070000,2491.899902,2193.214589,,0.397655,,4386.429199,
Sample,05/04/2023 15:23:28,23,,,12187566,18.379381,3171519,1.034743,0.073400,2493.399902,2194.482479,,0.397899,,4388.964844,
Sample,05/04/2023 15:23:29,23,,,12188533,18.368360,3170464,1.034396,0.077300,2491.800049,2193.130186,,0.391899,,4386.260254,
Sample,05/04/2023 15:23:30,23,,,12189644,18.355699,3171594,1.034768,0.068500,2493.199951,2194.313468,,0.398325,,4388.626953,
Sample,05/04/2023 15:23:31,23,,,12190338,18.347790,3171416,1.034709,0.462600,2494.300049,2195.243336,,0.397314,,4390.486816,
Sample,05/04/2023 15:23:32,23,,,12190584,18.344987,3171362,1.034691,0.173400,2495.600098,2196.342215,,0.397007,,4392.684570,
Sample,05/04/2023 15:23:33,23,,,12191039,18.339802,3171538,1.034749,0.251600,2501.399902,2201.244558,,0.398007,,4402.489258,
Sample,05/04/2023 15:23:34,23,9440421,5.812295,12191264,18.337239,3171476,1.034729,0.606300,2510.600098,2209.021114,,0.397655,,4418.041992,
Sample,05/04/2023 15:23:35,23,,,12191187,18.338116,3171667,1.034792,0.383500,2503.300049,2202.850675,,0.398740,,4405.701172,
Sample,05/04/2023 15:23:36,23,,,12190953,18.340782,3171618,1.034776,0.384700,2503.699951,2203.188697,,0.398462,,4406.377441,
Sample,05/04/2023 15:23:37,23,,,12190564,18.345215,3171593,1.034767,0.486700,2504.199951,2203.611327,,0.398320,,4407.222656,
Sample,05/04/2023 15:23:38,23,,,12189446,18.357955,3169535,1.034091,0.153100,2498.000000,2198.370757,,0.386604,,4396.741699,
