VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
Pilot 25 April 2023 site 2, Triggered Logging, NA, Enabled, 20.000000 Seconds, 5,1.000000 Seconds,1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x5
[LOGGER CHANNEL 3],Disabled


[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 25/04/2023 11:43:36
STOP TIME, 25/04/2023 12:03:43
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,25/04/2023 11:56:33,23,,,12437258,15.556333,3200508,1.044271,0.129500,2838.899902,2486.519776,,0.557875,,4973.039551,
Sample,25/04/2023 11:56:34,23,,,12440449,15.520488,3200306,1.044205,0.183600,2314.899902,2043.603586,,0.556790,,4087.207275,
Sample,25/04/2023 11:56:35,23,,,12442156,15.501315,3200332,1.044213,0.163500,2374.199951,2093.727539,,0.556930,,4187.455078,
Sample,25/04/2023 11:56:36,23,9431333,5.762330,12443019,15.491622,3200191,1.044167,0.178300,2351.399902,2074.455572,,0.556173,,4148.911133,
Sample,25/04/2023 11:56:52,23,,,12457702,15.326755,3200479,1.044261,0.003700,3908.199951,3390.356233,,0.557719,,6780.712402,
Sample,25/04/2023 11:56:53,23,,,12458877,15.313566,3200269,1.044192,0.008800,3905.800049,3388.327692,,0.556591,,6776.655273,
Sample,25/04/2023 11:56:54,23,,,12459817,15.303014,3200283,1.044197,0.004100,3912.100098,3393.652871,,0.556667,,6787.305664,
Sample,25/04/2023 11:56:55,23,,,12460200,15.298715,3200438,1.044248,0.014000,3906.899902,3389.257354,,0.557499,,6778.514648,
Sample,25/04/2023 11:56:56,23,9430997,5.760483,12460432,15.296111,3200382,1.044230,0.000600,3908.300049,3390.440842,,0.557198,,6780.881836,
Sample,25/04/2023 11:57:12,23,,,12481223,15.062824,3200211,1.044173,0.039400,3901.100098,3384.355012,,0.556280,,6768.709961,
Sample,25/04/2023 11:57:13,23,,,12485040,15.020012,3199705,1.044007,0.272500,3890.199951,3375.141555,,0.553561,,6750.283203,
Sample,25/04/2023 11:57:14,23,,,12487626,14.991010,3199742,1.044019,0.202000,3888.899902,3374.042676,,0.553760,,6748.085449,
Sample,25/04/2023 11:57:15,23,,,12490217,14.961954,3200521,1.044275,0.061800,3906.000000,3388.496703,,0.557944,,6776.993164,
Sample,25/04/2023 11:57:16,23,9426820,5.737518,12494495,14.913984,3199945,1.044086,0.104400,4701.600098,4060.985566,,0.554851,,8121.971191,
Sample,25/04/2023 11:57:32,23,,,12801618,11.476858,3197804,1.043382,0.390800,3894.300049,3378.607203,,0.543325,,6757.214355,
Sample,25/04/2023 11:57:33,23,,,12812790,11.351734,3196921,1.043092,0.144200,3319.800049,2893.005388,,0.538558,,5786.010742,
Sample,25/04/2023 11:57:34,23,,,12817104,11.303410,3198076,1.043472,0.081900,3604.399902,3133.566233,,0.544792,,6267.132324,
Sample,25/04/2023 11:57:35,23,,,12816242,11.313066,3270570,1.067302,3.659600,-51.420002,2.997920,,0.913814,,5.995841,
