VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
Pilot 25 April 2023 site 5, Triggered Logging, NA, Disabled, 1.000000 Seconds,NA, NA, 1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x20
[LOGGER CHANNEL 3],Disabled


[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 25/04/2023 13:25:26
STOP TIME, 25/04/2023 13:58:51
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,25/04/2023 13:51:55,23,,,12411035,15.851069,3197834,1.043392,0.111400,3066.699951,2679.070023,,0.543487,,5358.140137,
Sample,25/04/2023 13:51:56,23,,,12411104,15.850293,3197900,1.043414,0.407400,3073.399902,2684.733223,,0.543843,,5369.466309,
Sample,25/04/2023 13:51:57,23,,,12410090,15.861696,3198039,1.043459,0.030400,3075.600098,2686.592960,,0.544592,,5373.186035,
Sample,25/04/2023 13:51:58,23,,,12409109,15.872729,3197945,1.043429,0.009100,3087.399902,2696.566862,,0.544085,,5393.133789,
Sample,25/04/2023 13:51:59,23,,,12409345,15.870074,3197727,1.043357,0.087600,3058.399902,2672.054325,,0.542910,,5344.108887,
Sample,25/04/2023 13:52:00,23,,,12410042,15.862236,3196971,1.043108,0.039700,3045.500000,2661.150555,,0.538828,,5322.301270,
Sample,25/04/2023 13:52:01,23,,,12411624,15.844445,3197076,1.043143,0.032000,3042.600098,2658.699383,,0.539395,,5317.398926,
Sample,25/04/2023 13:52:02,23,,,12414004,15.817683,3196551,1.042970,0.033300,3042.300049,2658.445764,,0.536559,,5316.891602,
Sample,25/04/2023 13:52:03,23,,,12417729,15.775801,3197002,1.043119,0.052200,3065.500000,2678.055753,,0.538996,,5356.111328,
Sample,25/04/2023 13:52:04,23,,,12421218,15.736579,3197723,1.043356,0.131000,3087.500000,2696.651471,,0.542888,,5393.302734,
Sample,25/04/2023 13:52:05,23,,,12424063,15.704601,3197664,1.043336,0.347500,3610.899902,3139.060422,,0.542570,,6278.120605,
Sample,25/04/2023 13:52:06,23,,,12428618,15.653409,3197602,1.043316,0.423000,2543.199951,2236.576463,,0.542235,,4473.152832,
Sample,25/04/2023 13:52:07,23,,,12433666,15.596687,3197366,1.043238,0.270500,3595.000000,3125.620872,,0.540961,,6251.241699,
Sample,25/04/2023 13:52:08,23,,,12436590,15.563837,3197571,1.043306,0.398700,3634.800049,3159.262258,,0.542068,,6318.524414,
Sample,25/04/2023 13:52:09,23,,,12439461,15.531586,3197125,1.043159,0.507200,-502.899994,0.405563,,0.539660,,0.811126,
Sample,25/04/2023 13:52:10,23,,,12441291,15.511030,3197522,1.043290,0.250300,-536.700012,0.194303,,0.541803,,0.388606,
Sample,25/04/2023 13:52:11,23,,,12439396,15.532316,3197385,1.043245,0.192200,-536.700012,0.146525,,0.541064,,0.293049,
Sample,25/04/2023 13:52:12,23,,,12437568,15.552850,3197439,1.043262,0.258300,-536.700012,0.200882,,0.541355,,0.401763,
Sample,25/04/2023 13:52:13,23,9424908,5.727006,12434396,15.588486,3197506,1.043284,0.227300,-536.700012,0.175389,,0.541717,,0.350778,
Sample,25/04/2023 13:52:14,23,,,12431832,15.617294,3197425,1.043258,0.232800,-536.700012,0.179912,,0.541280,,0.359823,
Sample,25/04/2023 13:52:15,23,,,12432395,15.610968,3197414,1.043254,0.271200,-536.700012,0.211490,,0.541221,,0.422980,
Sample,25/04/2023 13:52:16,23,,,12435960,15.570915,3197538,1.043295,0.274500,-536.700012,0.214204,,0.541890,,0.428407,
Sample,25/04/2023 13:52:17,23,,,12442243,15.500337,3197367,1.043239,0.325900,-536.700012,0.256472,,0.540967,,0.512944,
Sample,25/04/2023 13:52:18,23,,,12449257,15.421568,3197356,1.043235,0.329300,-536.700012,0.259268,,0.540907,,0.518536,
Sample,25/04/2023 13:52:19,23,,,12457626,15.327608,3197134,1.043162,0.255800,-536.700012,0.198826,,0.539709,,0.397651,
Sample,25/04/2023 13:52:20,23,,,12467088,15.221410,3197054,1.043136,1.649600,-536.700012,1.345009,,0.539277,,2.690017,
Sample,25/04/2023 13:52:21,23,,,12476925,15.111038,3197248,1.043199,1.684700,-536.700012,1.373873,,0.540324,,2.747746,
Sample,25/04/2023 13:52:22,23,,,12488231,14.984225,3197368,1.043239,0.326800,-536.700012,0.257212,,0.540972,,0.514424,
Sample,25/04/2023 13:52:23,23,,,12497902,14.875785,3196834,1.043063,1.672200,-536.700012,1.363594,,0.538088,,2.727188,
Sample,25/04/2023 13:52:24,23,,,12507596,14.767117,3197084,1.043146,1.876500,-536.700012,1.531599,,0.539439,,3.063197,
Sample,25/04/2023 13:52:25,23,,,12518157,14.648762,3196840,1.043065,0.923400,3712.600098,3225.023520,,0.538121,,6450.046875,
Sample,25/04/2023 13:52:26,23,,,12526958,14.550155,3196613,1.042991,0.943200,3712.199951,3224.685292,,0.536894,,6449.370605,
Sample,25/04/2023 13:52:27,23,,,12535907,14.449910,3196731,1.043030,1.155600,3702.000000,3216.063682,,0.537531,,6432.127441,
Sample,25/04/2023 13:52:28,23,,,12545943,14.337513,3196977,1.043110,0.803200,3660.000000,3180.562766,,0.538861,,6361.125488,
Sample,25/04/2023 13:52:29,23,,,12555873,14.226325,3196780,1.043046,0.833200,3598.300049,3128.410271,,0.537796,,6256.820312,
Sample,25/04/2023 13:52:30,23,,,12565120,14.122803,3196997,1.043117,1.583600,4156.000000,3599.811679,,0.538969,,7199.623535,
Sample,25/04/2023 13:52:31,23,,,12569162,14.077558,3197064,1.043139,1.744600,4091.600098,3545.377024,,0.539331,,7090.753906,
Sample,25/04/2023 13:52:32,23,,,12576121,13.999667,3197084,1.043146,0.697900,3606.300049,3135.172350,,0.539439,,6270.344727,
Sample,25/04/2023 13:52:33,23,9424593,5.725274,12582130,13.932416,3197121,1.043158,1.926500,-724.500000,1.572716,,0.539639,,3.145432,
Sample,25/04/2023 13:52:34,23,,,12586912,13.878902,3196640,1.043000,1.659900,-537.200012,1.353479,,0.537040,,2.706958,
Sample,25/04/2023 13:52:35,23,,,12588058,13.866078,3196907,1.043087,1.874400,-537.200012,1.529872,,0.538483,,3.059743,
Sample,25/04/2023 13:52:36,23,,,12587249,13.875131,3197047,1.043133,1.044200,3501.100098,3046.251050,,0.539239,,6092.501953,
Sample,25/04/2023 13:52:37,23,,,12585707,13.892386,3196874,1.043077,0.592400,3590.000000,3121.394573,,0.538304,,6242.789062,
Sample,25/04/2023 13:52:38,23,,,12584748,13.903118,3197043,1.043132,0.593600,3656.399902,3177.519748,,0.539217,,6355.039551,
