VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
2nd June, Triggered Logging, NA, Disabled, 5.000000 Seconds,NA, NA, 1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x20
[LOGGER CHANNEL 3],Disabled


[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 02/06/2023 10:01:35
STOP TIME, 02/06/2023 14:24:58
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,02/06/2023 10:04:36,0,,,12481533,15.059347,3211894,1.048014,0.044800,2690.399902,2360.998680,,0.618383,,4721.997559,
Sample,02/06/2023 10:04:41,0,,,12482160,15.052314,3213551,1.048558,0.175700,2698.600098,2367.929976,,0.627091,,4735.859863,
Sample,02/06/2023 10:04:46,0,,,12490327,14.960720,3212912,1.048348,0.016900,2734.300049,2398.105713,,0.623735,,4796.211426,
Sample,02/06/2023 10:04:51,0,,,12500296,14.848946,3213235,1.048454,0.007600,2743.500000,2405.882063,,0.625432,,4811.764160,
Sample,02/06/2023 10:04:56,0,,,12508671,14.755069,3212939,1.048357,0.007800,2744.399902,2406.642715,,0.623877,,4813.285645,
Sample,02/06/2023 10:05:01,0,,,12511358,14.724954,3213287,1.048471,0.022500,2739.000000,2402.078394,,0.625705,,4804.156738,
Sample,02/06/2023 10:05:06,0,,,12510328,14.736497,3213089,1.048406,0.014300,2734.800049,2398.528343,,0.624665,,4797.056641,
Sample,02/06/2023 10:05:11,0,,,12512761,14.709230,3213023,1.048385,2.122600,2729.500000,2394.048425,,0.624318,,4788.096680,
Sample,02/06/2023 10:05:16,0,,,12522957,14.594980,3213036,1.048389,1.185900,2719.699951,2385.764836,,0.624387,,4771.529785,
Sample,02/06/2023 10:05:21,0,,,12527283,14.546514,3212684,1.048273,0.015000,2733.699951,2397.598475,,0.622537,,4795.196777,
Sample,02/06/2023 10:05:26,0,,,12531388,14.500528,3212857,1.048330,0.004400,2738.899902,2401.993785,,0.623446,,4803.987793,
Sample,02/06/2023 10:05:31,0,,,12535909,14.449888,3212732,1.048289,2.235000,2735.800049,2399.373603,,0.622790,,4798.747070,
