VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
10th July, Triggered Logging, NA, Disabled, 1.000000 Seconds,NA, NA, 1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x20
[LOGGER CHANNEL 3],Disabled


[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 07/07/2023 09:16:34
STOP TIME, 10/07/2023 14:48:15
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,10/07/2023 10:46:53,23,,,11622845,25.014798,3187705,1.040063,0.336200,2479.699951,2182.902459,,0.488336,,4365.804688,
Sample,10/07/2023 10:46:54,23,,,11625983,24.976509,3185064,1.039195,0.068900,2434.500000,2144.696753,,0.473780,,4289.393555,
Sample,10/07/2023 10:46:55,23,,,11627393,24.959311,3186425,1.039642,0.116500,1595.800049,1435.777312,,0.481290,,2871.554688,
Sample,10/07/2023 10:46:56,23,,,11625784,24.978937,3186918,1.039804,0.149200,1547.599976,1395.035722,,0.484006,,2790.071533,
Sample,10/07/2023 10:46:57,23,,,11622757,25.015872,3186307,1.039603,0.080600,1826.300049,1630.609720,,0.480640,,3261.219482,
Sample,10/07/2023 10:46:58,23,,,11619835,25.051543,3184655,1.039060,0.036200,2522.100098,2218.741603,,0.471519,,4437.483398,
Sample,10/07/2023 10:46:59,23,,,11619661,25.053668,3184518,1.039015,0.947600,2525.100098,2221.277383,,0.470761,,4442.554688,
Sample,10/07/2023 10:47:00,23,,,11621375,25.032741,3184609,1.039045,0.182200,2448.100098,2156.192370,,0.471264,,4312.384766,
Sample,10/07/2023 10:47:01,23,,,11622547,25.018435,3184726,1.039084,0.102600,2542.100098,2235.646801,,0.471911,,4471.293457,
Sample,10/07/2023 10:47:02,23,,,11623630,25.005218,3184656,1.039061,0.198100,2509.199951,2207.837626,,0.471524,,4415.675293,
Sample,10/07/2023 10:47:03,23,,,11625496,24.982450,3184641,1.039056,0.151300,2521.500000,2218.234364,,0.471441,,4436.468750,
Sample,10/07/2023 10:47:04,23,,,11626942,24.964812,3184667,1.039064,0.289500,2453.500000,2160.756691,,0.471585,,4321.513184,
Sample,10/07/2023 10:47:05,23,,,11628245,24.948921,3184799,1.039108,0.202400,2043.400024,1814.115625,,0.472315,,3628.231201,
Sample,10/07/2023 10:47:06,23,,,11628319,24.948019,3184518,1.039015,0.155000,1657.900024,1488.267931,,0.470761,,2976.535889,
Sample,10/07/2023 10:47:07,23,,,11629351,24.935435,3184786,1.039103,1.070700,2435.399902,2145.457404,,0.472243,,4290.915039,
Sample,10/07/2023 10:47:08,23,,,11629121,24.938240,3184645,1.039057,0.062100,2528.300049,2223.982173,,0.471463,,4447.964355,
Sample,10/07/2023 10:47:09,23,,,11628646,24.944031,3184755,1.039093,0.198200,2467.600098,2172.674938,,0.472072,,4345.350098,
Sample,10/07/2023 10:47:10,23,,,11627461,24.958482,3184751,1.039092,0.165900,2438.100098,2147.739771,,0.472049,,4295.479492,
Sample,10/07/2023 10:47:11,23,9375092,5.453124,11626789,24.966678,3184730,1.039085,0.119100,2422.100098,2134.215612,,0.471933,,4268.431152,
Sample,10/07/2023 10:47:12,23,,,11625497,24.982438,3184652,1.039059,0.142300,2445.800049,2154.248231,,0.471502,,4308.496582,
Sample,10/07/2023 10:47:13,23,,,11624042,25.000190,3184654,1.039060,0.239300,2461.399902,2167.434162,,0.471513,,4334.868164,
Sample,10/07/2023 10:47:14,23,,,11622787,25.015506,3184996,1.039172,0.137300,1225.000000,1122.354898,,0.473404,,2244.709717,
Sample,10/07/2023 10:47:15,23,,,11621686,25.028945,3184662,1.039063,0.172800,1543.699951,1391.739188,,0.471557,,2783.478271,
Sample,10/07/2023 10:47:16,23,,,11620273,25.046195,3184763,1.039096,0.184400,2022.199951,1796.196053,,0.472116,,3592.392090,
Sample,10/07/2023 10:47:17,23,,,11619193,25.059383,3184852,1.039125,0.127000,1704.300049,1527.488011,,0.472608,,3054.976074,
Sample,10/07/2023 10:47:18,23,,,11619329,25.057722,3184715,1.039080,0.117400,1733.900024,1552.507684,,0.471850,,3105.015381,
Sample,10/07/2023 10:47:19,23,,,11619597,25.054450,3184706,1.039077,0.106400,1559.000000,1404.671706,,0.471801,,2809.343506,
Sample,10/07/2023 10:47:20,23,,,11620053,25.048882,3184594,1.039040,0.122600,1835.699951,1638.555080,,0.471181,,3277.110107,
Sample,10/07/2023 10:47:21,23,,,11620426,25.044327,3184449,1.038993,0.130500,1543.400024,1391.485672,,0.470379,,2782.971436,
Sample,10/07/2023 10:47:22,23,,,11620714,25.040811,3184621,1.039049,0.101500,1769.800049,1582.852535,,0.471331,,3165.705078,
Sample,10/07/2023 10:47:23,23,,,11622260,25.021938,3185865,1.039458,0.161400,1431.699951,1297.070079,,0.478202,,2594.140137,
Sample,10/07/2023 10:47:24,23,,,11624774,24.991259,3184729,1.039085,0.125400,1581.199951,1423.436435,,0.471928,,2846.872803,
Sample,10/07/2023 10:47:25,23,,,11628161,24.949945,3184678,1.039068,0.181300,2170.000000,1921.125508,,0.471646,,3842.250977,
Sample,10/07/2023 10:47:26,23,,,11631202,24.912871,3184646,1.039057,0.118200,1645.099976,1477.448563,,0.471469,,2954.897217,
Sample,10/07/2023 10:47:27,23,,,11633516,24.884673,3184622,1.039050,0.138800,1399.800049,1270.106370,,0.471336,,2540.212646,
Sample,10/07/2023 10:47:28,23,,,11634800,24.869031,3184644,1.039057,0.113900,1631.599976,1466.037554,,0.471458,,2932.075195,
Sample,10/07/2023 10:47:29,23,,,11635631,24.858909,3184628,1.039052,0.149700,1458.500000,1319.723086,,0.471369,,2639.446289,
Sample,10/07/2023 10:47:30,23,,,11635623,24.859006,3184662,1.039063,0.152600,1375.500000,1249.566513,,0.471557,,2499.133057,
Sample,10/07/2023 10:47:31,23,9376559,5.461189,11635691,24.858178,3184023,1.038853,0.093100,1842.000000,1643.880259,,0.468021,,3287.760498,
Sample,10/07/2023 10:47:32,23,,,11637394,24.837439,3184598,1.039042,0.219900,2511.699951,2209.950776,,0.471203,,4419.901367,
Sample,10/07/2023 10:47:33,23,,,11642146,24.779600,3184684,1.039070,0.101700,1639.800049,1472.968748,,0.471679,,2945.937500,
Sample,10/07/2023 10:47:34,23,,,11648473,24.702658,3184582,1.039036,0.003100,2552.699951,2244.606432,,0.471115,,4489.212891,
Sample,10/07/2023 10:47:35,23,,,11652461,24.654200,3184315,1.038949,0.196700,2547.500000,2240.211122,,0.469638,,4480.422363,
Sample,10/07/2023 10:47:36,23,,,11653561,24.640840,3184536,1.039021,0.233700,2475.300049,2179.183398,,0.470860,,4358.366699,
Sample,10/07/2023 10:47:37,23,,,11654071,24.634646,3184601,1.039043,0.601400,2424.899902,2136.582175,,0.471220,,4273.164551,
Sample,10/07/2023 10:47:38,23,,,11655264,24.620160,3184007,1.038847,0.225800,2520.899902,2217.727126,,0.467933,,4435.454102,
Sample,10/07/2023 10:47:39,23,,,11656736,24.602289,3184486,1.039005,0.237000,2490.399902,2191.946699,,0.470584,,4383.893555,
Sample,10/07/2023 10:47:40,23,,,11657208,24.596560,3184469,1.038999,0.239300,2433.399902,2143.766884,,0.470490,,4287.533691,
Sample,10/07/2023 10:47:41,23,,,11657572,24.592142,3184581,1.039036,0.205600,1969.800049,1751.904516,,0.471109,,3503.809082,
Sample,10/07/2023 10:47:42,23,,,11657987,24.587105,3184446,1.038992,0.921500,2434.800049,2144.950372,,0.470362,,4289.900879,
Sample,10/07/2023 10:47:43,23,,,11658951,24.575406,3184437,1.038989,0.133300,1260.900024,1152.699749,,0.470313,,2305.399414,
Sample,10/07/2023 10:47:44,23,,,11659873,24.564219,3184562,1.039030,0.172700,1671.000000,1499.340815,,0.471004,,2998.681641,
Sample,10/07/2023 10:47:45,23,,,11661078,24.549600,3184703,1.039076,0.172600,1351.199951,1229.026656,,0.471784,,2458.053223,
Sample,10/07/2023 10:47:46,23,,,11662205,24.535931,3184520,1.039016,0.174100,1373.199951,1247.622374,,0.470772,,2495.244629,
