VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
21st July, Triggered Logging, NA, Disabled, 1.000000 Seconds,NA, NA, 1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x20
[LOGGER CHANNEL 3],Disabled


[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 18/07/2023 14:44:44
STOP TIME, 20/07/2023 16:38:11
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,21/07/2023 09:57:49,23,,,12059098,19.851621,3178291,1.036969,0.011000,3280.899902,2860.124654,,0.436100,,5720.249512,
Sample,21/07/2023 09:57:50,23,,,12058466,19.858907,3178173,1.036930,0.032200,3288.000000,2866.126081,,0.435439,,5732.251953,
Sample,21/07/2023 09:57:51,23,,,12057479,19.870285,3177663,1.036762,0.545200,2777.800049,2434.874519,,0.432580,,4869.749023,
Sample,21/07/2023 09:57:52,23,,,12056591,19.880524,3177642,1.036755,0.124500,2780.300049,2436.987669,,0.432462,,4873.975098,
Sample,21/07/2023 09:57:53,23,,,12056195,19.885090,3177771,1.036798,0.127100,2779.500000,2436.311420,,0.433185,,4872.623047,
Sample,21/07/2023 09:57:54,23,,,12056070,19.886531,3177750,1.036791,0.124200,2776.800049,2434.029259,,0.433068,,4868.058594,
Sample,21/07/2023 09:57:55,23,,,12055971,19.887673,3177826,1.036816,0.120800,2779.800049,2436.565039,,0.433494,,4873.129883,
Sample,21/07/2023 09:57:56,23,,,12056099,19.886197,3177767,1.036797,0.129300,2780.199951,2436.903061,,0.433163,,4873.806152,
Sample,21/07/2023 09:57:57,23,,,12056407,19.882645,3177668,1.036764,0.125700,2780.500000,2437.156680,,0.432608,,4874.313477,
Sample,21/07/2023 09:57:58,23,,,12056589,19.880547,3177729,1.036784,0.119600,2778.800049,2435.719779,,0.432950,,4871.439453,
Sample,21/07/2023 09:57:59,23,,,12056670,19.879613,3177654,1.036759,0.129800,2780.699951,2437.325690,,0.432529,,4874.651367,
Sample,21/07/2023 09:58:00,23,,,12056733,19.878887,3177631,1.036752,0.131800,2781.100098,2437.663918,,0.432400,,4875.327637,
Sample,21/07/2023 09:58:01,23,,,12056699,19.879279,3177622,1.036749,0.133400,2778.899902,2435.804181,,0.432350,,4871.608398,
Sample,21/07/2023 09:58:02,23,,,12056697,19.879302,3177671,1.036765,0.115200,2780.600098,2437.241288,,0.432625,,4874.482422,
Sample,21/07/2023 09:58:03,23,,,12056590,19.880535,3177598,1.036741,0.131400,2778.300049,2435.297149,,0.432215,,4870.594238,
Sample,21/07/2023 09:58:04,23,,,12056404,19.882680,3177652,1.036759,0.135400,2778.800049,2435.719779,,0.432518,,4871.439453,
Sample,21/07/2023 09:58:05,23,,,12056287,19.884029,3177818,1.036813,0.132500,2777.300049,2434.451889,,0.433449,,4868.903809,
Sample,21/07/2023 09:58:06,23,,,12056202,19.885009,3177650,1.036758,0.136600,2778.899902,2435.804181,,0.432507,,4871.608398,
Sample,21/07/2023 09:58:07,23,9346444,5.295621,12056090,19.886301,3177626,1.036750,0.139000,2777.899902,2434.958921,,0.432372,,4869.917969,
Sample,21/07/2023 09:58:08,23,,,12055960,19.887800,3177729,1.036784,0.133400,2779.100098,2435.973398,,0.432950,,4871.946777,
Sample,21/07/2023 09:58:09,23,,,12055959,19.887811,3177572,1.036732,0.139800,2778.000000,2435.043530,,0.432069,,4870.086914,
Sample,21/07/2023 09:58:10,23,,,12055895,19.888549,3177686,1.036770,0.121900,2780.199951,2436.903061,,0.432709,,4873.806152,
Sample,21/07/2023 09:58:11,23,,,12055769,19.890002,3177703,1.036775,0.127200,2777.800049,2434.874519,,0.432804,,4869.749023,
