VERSION,5.2,AQUAtalk:V4.42,OS:V6.2,,,,,,,,,,,,,,,
LOGGER TYPE,AQUAlogger 310TYPT5 max50m ,,,,,,,,,,,,,,,,,
LOGGER,2554-327,,,,,,,,,,,,,,,,,
REGIME,,,,,,,,,,,,,,,,,,
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year,,,,,,,
Pilot 7 April 2023, Triggered Logging, NA, Disabled, 10.000000 Seconds,NA, NA,1, Disabled, NA, NA, NA, NA,,,,,,
[LOGGER CHANNEL 0],Disabled,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 1],Disabled,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 2],Battery        ,06/03/2023,,,,,,,,,,,,,,,,
COEFFS,-46.089977,5.50E-06,0,0,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 3],Ext Power      ,06/03/2023,,,,,,,,,,,,,,,,
COEFFS,-45.999802,5.49E-06,0,0,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 4],Temperature    ,13/03/2023,,,,,,,,,,,,,,,,
COEFFS,967.58575,-0.000220028,1.91E-11,-7.06E-19,8.06E-27,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 5],Pressure       ,09/03/2023,,,,,,,,,,,,,,,,
COEFFS,-0.002612514,3.25E-07,5.64E-16,-1.06E-23,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 6],Turbidity,09/03/2023,,,,,,,,,,,,,,,,
COEFFS Raw1,-0.011529949,0.82234406,0,0,0,COEFFS Raw2,86.911514,0.8452599,0,0,0,Transition Raw2,1080.2458,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 8],Depth       ,Not Calibrated,,,,,,,,,,,,,,,,
COEFFS,51.507366,1.0135,1,0,0,,,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x5,,,,,,,,,,,,,,,,
