VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
Pilot 25 April 2023, Triggered Logging, NA, Enabled, 20.000000 Seconds, 5,1.000000 Seconds,1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x5
[LOGGER CHANNEL 3],Disabled


[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 25/04/2023 11:10:08
STOP TIME, 25/04/2023 11:41:09
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,25/04/2023 11:19:10,23,,,12417657,15.776611,3195939,1.042769,0.527900,2759.600098,2419.490830,,0.533248,,4838.981445,
Sample,25/04/2023 11:19:11,23,,,12416591,15.788595,3197909,1.043417,1.425700,2768.500000,2427.013561,,0.543891,,4854.027344,
Sample,25/04/2023 11:19:12,23,,,12415524,15.800592,3197897,1.043413,0.140300,2719.399902,2385.511217,,0.543827,,4771.022461,
Sample,25/04/2023 11:19:13,23,9427116,5.739145,12414967,15.806855,3197852,1.043398,0.088600,2715.100098,2381.876765,,0.543584,,4763.753418,
Sample,25/04/2023 11:19:29,23,,,12499516,14.857691,3197536,1.043294,0.062300,2735.100098,2398.781963,,0.541879,,4797.563965,
Sample,25/04/2023 11:19:30,23,,,12498155,14.872949,3197372,1.043240,0.102400,2718.800049,2385.004185,,0.540994,,4770.008301,
Sample,25/04/2023 11:19:31,23,,,12496085,14.896157,3197457,1.043268,0.132500,2713.000000,2380.101636,,0.541453,,4760.203125,
Sample,25/04/2023 11:19:32,23,,,12493654,14.923414,3197534,1.043293,0.103600,2708.500000,2376.297967,,0.541868,,4752.595703,
Sample,25/04/2023 11:19:33,23,9431970,5.765832,12491065,14.952445,3197585,1.043310,0.108100,2719.399902,2385.511217,,0.542143,,4771.022461,
Sample,25/04/2023 11:19:49,23,,,12470431,15.183897,3197561,1.043302,0.109000,2716.500000,2383.060046,,0.542014,,4766.120117,
Sample,25/04/2023 11:19:50,23,,,12470604,15.181956,3197579,1.043308,0.105500,2718.699951,2384.919576,,0.542111,,4769.839355,
Sample,25/04/2023 11:19:51,23,,,12469984,15.188913,3197355,1.043235,0.110300,2720.800049,2386.694705,,0.540902,,4773.389648,
