VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
Pilot 25 April 2023 site 3, Triggered Logging, NA, Enabled, 10.000000 Seconds, 5,1.000000 Seconds,1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x5
[LOGGER CHANNEL 3],Disabled


[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 25/04/2023 12:04:56
STOP TIME, 25/04/2023 12:58:19
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,25/04/2023 12:39:45,23,,,12316930,16.911691,3195999,1.042789,0.000700,3066.000000,2678.478383,,0.533573,,5356.956543,
Sample,25/04/2023 12:39:46,23,,,12317455,16.905759,3194599,1.042329,0.179800,1490.000000,1346.348773,,0.525986,,2692.697510,
Sample,25/04/2023 12:39:47,23,,,12318261,16.896653,3194841,1.042408,0.166000,1479.800049,1337.727163,,0.527299,,2675.454346,
Sample,25/04/2023 12:39:48,23,9429621,5.752918,12319047,16.887774,3196261,1.042875,0.007300,3077.500000,2688.198871,,0.534990,,5376.397949,
Sample,25/04/2023 12:39:54,23,,,12325733,16.812256,3195705,1.042692,0.005500,3068.399902,2680.506924,,0.531981,,5361.013672,
Sample,25/04/2023 12:39:55,23,,,12325810,16.811387,3195816,1.042729,0.006600,3066.600098,2678.985621,,0.532582,,5357.971191,
Sample,25/04/2023 12:39:56,23,,,12325923,16.810111,3194907,1.042430,0.002100,3067.899902,2680.084294,,0.527657,,5360.168457,
Sample,25/04/2023 12:39:57,23,,,12326503,16.803561,3194790,1.042392,0.013500,3073.000000,2684.395202,,0.527022,,5368.790527,
Sample,25/04/2023 12:39:58,23,9428931,5.749124,12326945,16.798570,3194405,1.042265,0.002900,3064.399902,2677.125884,,0.524933,,5354.251953,
Sample,25/04/2023 12:40:04,23,,,12348036,16.560548,3194553,1.042314,0.109500,3693.800049,3209.132592,,0.525737,,6418.265137,
Sample,25/04/2023 12:40:05,23,,,12352758,16.507294,3194397,1.042262,0.110000,3741.600098,3249.536057,,0.524890,,6499.072266,
Sample,25/04/2023 12:40:06,23,,,12357919,16.449105,3194316,1.042236,0.082400,3647.000000,3169.574387,,0.524450,,6339.148926,
Sample,25/04/2023 12:40:07,23,,,12362001,16.403092,3194455,1.042281,0.003900,-536.700012,-0.008323,,0.525205,,-0.016646,
Sample,25/04/2023 12:40:08,23,9429365,5.751510,12364882,16.370622,3193631,1.042011,0.081100,3106.600098,2712.796017,,0.520729,,5425.591797,
Sample,25/04/2023 12:40:14,23,,,12686727,12.762401,3277715,1.069651,2.469800,-50.920002,2.019496,,0.948219,,4.038991,
Sample,25/04/2023 12:40:15,23,,,12730164,12.276557,3222304,1.051435,1.885300,-52.849998,1.538835,,0.672696,,3.077671,
Sample,25/04/2023 12:40:16,23,,,12752495,12.026719,3345568,1.091960,2.120800,-50.439999,1.732497,,1.262145,,3.464995,
Sample,25/04/2023 12:40:17,23,,,12767239,11.861726,3382176,1.103999,6.203900,-53.809998,5.090211,,1.423749,,10.180421,
Sample,25/04/2023 12:40:18,23,9429276,5.751021,12773991,11.786156,3380246,1.103364,2.193700,-53.709999,1.792446,,1.415341,,3.584893,
Sample,25/04/2023 12:40:24,23,,,12791969,11.584901,3486231,1.138223,2.455700,-55.959999,2.007900,,1.862462,,4.015800,
Sample,25/04/2023 12:40:25,23,,,12795465,11.545757,3490076,1.139487,1.973200,-56.029999,1.611119,,1.878211,,3.222239,
Sample,25/04/2023 12:40:26,23,,,12796601,11.533037,3508220,1.145456,1.340600,-56.809998,1.090905,,1.952167,,2.181809,
Sample,25/04/2023 12:40:27,23,,,12797573,11.522154,3506733,1.144967,1.367400,-53.930000,1.112943,,1.946128,,2.225887,
Sample,25/04/2023 12:40:28,23,9429196,5.750581,12796946,11.529174,3501303,1.143181,1.608600,-56.140003,1.311293,,1.924042,,2.622586,
Sample,25/04/2023 12:40:34,23,,,12804257,11.447304,3702361,1.209340,1.886400,-56.370003,1.539740,,2.714946,,3.079480,
Sample,25/04/2023 12:40:35,23,,,12804116,11.448883,3675155,1.200386,2.573600,-56.670002,2.104855,,2.610528,,4.209710,
Sample,25/04/2023 12:40:36,23,,,12803787,11.452568,3694680,1.206812,1.985500,-56.240002,1.621234,,2.685531,,3.242468,
Sample,25/04/2023 12:40:37,23,,,12803520,11.455558,3693907,1.206557,2.560300,-57.309998,2.093918,,2.682568,,4.187835,
Sample,25/04/2023 12:40:38,23,9429129,5.750213,12804393,11.445781,3688298,1.204711,2.805000,-55.240002,2.295145,,2.661052,,4.590290,
Sample,25/04/2023 12:40:44,23,,,12807280,11.413448,3722900,1.216101,2.775200,-56.599998,2.270639,,2.793367,,4.541278,
Sample,25/04/2023 12:40:45,23,,,12809034,11.393804,3768268,1.231035,2.330000,-58.099998,1.904532,,2.965465,,3.809063,
Sample,25/04/2023 12:40:46,23,,,12810616,11.376085,3724441,1.216608,2.764400,-57.379997,2.261758,,2.799238,,4.523516,
Sample,25/04/2023 12:40:47,23,,,12811800,11.362823,3897014,1.273426,3.981500,-57.629997,3.262633,,3.446935,,6.525266,
Sample,25/04/2023 12:40:48,23,9429078,5.749932,12813660,11.341989,3956569,1.293040,2.553400,-57.870003,2.088243,,3.666904,,4.176487,
Sample,25/04/2023 12:40:54,23,,,12813251,11.346570,3964621,1.295692,2.881500,-57.829998,2.358054,,3.696534,,4.716109,
Sample,25/04/2023 12:40:55,23,,,12813391,11.345002,4026984,1.316235,1.061900,-58.849998,0.861717,,3.925226,,1.723434,
Sample,25/04/2023 12:40:56,23,,,12814552,11.331997,4148578,1.356299,2.381200,-59.549999,1.946636,,4.367668,,3.893272,
Sample,25/04/2023 12:40:57,23,,,12815631,11.319911,4159805,1.359999,2.412800,-58.870003,1.972622,,4.408323,,3.945244,
Sample,25/04/2023 12:40:58,23,9428995,5.749476,12816020,11.315553,4217614,1.379051,1.653000,-57.809998,1.347805,,4.617210,,2.695610,
Sample,25/04/2023 12:41:04,23,,,12817259,11.301674,4255238,1.391452,1.421900,-58.909996,1.157761,,4.752784,,2.315522,
