VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
Pilot 7 April 2023, Triggered Logging, NA, Disabled, 10.000000 Seconds,NA, NA, 1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 3],Ext Power      ,06/03/2023
COEFFS, -45.999802, 5.4883012e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 05/04/2023 14:51:06
STOP TIME, 05/04/2023 15:18:11
HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,05/04/2023 14:59:23,0,9447935,5.853606,8388485,0.038731,12202768,18.206215,3171882,1.034862,0.168700,2476.899902,2180.535690,,0.399961,,4361.071289,
Sample,05/04/2023 14:59:33,0,9447866,5.853226,8388479,0.038698,12202332,18.211179,3171869,1.034858,0.120700,2479.000000,2182.310818,,0.399887,,4364.621582,
Sample,05/04/2023 14:59:43,0,9447820,5.852973,8388482,0.038714,12202317,18.211349,3171898,1.034868,0.116700,2477.699951,2181.211939,,0.400052,,4362.423828,
Sample,05/04/2023 14:59:53,0,9447781,5.852759,8388477,0.038687,12202019,18.214742,3171885,1.034863,0.118500,2478.000000,2181.465559,,0.399978,,4362.931152,
Sample,05/04/2023 15:00:03,0,9447742,5.852545,8388484,0.038725,12202373,18.210712,3171897,1.034867,0.121800,2476.899902,2180.535690,,0.400046,,4361.071289,
Sample,05/04/2023 15:00:13,0,9447710,5.852369,8388479,0.038698,12201777,18.217497,3171911,1.034872,0.121500,2477.800049,2181.296548,,0.400125,,4362.593262,
Sample,05/04/2023 15:00:23,0,9447694,5.852281,8388478,0.038692,12201790,18.217349,3171908,1.034871,0.115300,2478.000000,2181.465559,,0.400108,,4362.931152,
Sample,05/04/2023 15:00:33,0,9447674,5.852171,8388482,0.038714,12201475,18.220936,3171861,1.034855,0.119900,2477.500000,2181.042929,,0.399842,,4362.085938,
Sample,05/04/2023 15:00:43,0,9447656,5.852072,8388480,0.038703,12201381,18.222006,3171923,1.034876,0.119600,2478.500000,2181.888188,,0.400194,,4363.776367,
Sample,05/04/2023 15:00:53,0,9447634,5.851951,8388477,0.038687,12201610,18.219399,3171745,1.034817,0.116900,2477.300049,2180.873918,,0.399183,,4361.748047,
Sample,05/04/2023 15:01:03,0,9447609,5.851813,8388478,0.038692,12202316,18.211361,3171768,1.034825,0.117900,2477.000000,2180.620299,,0.399314,,4361.240723,
Sample,05/04/2023 15:01:13,0,9447588,5.851698,8388483,0.038720,12202113,18.213672,3171897,1.034867,0.115600,2477.699951,2181.211939,,0.400046,,4362.423828,
Sample,05/04/2023 15:01:23,0,9447567,5.851582,8388480,0.038703,12201618,18.219308,3171843,1.034850,0.119000,2478.399902,2181.803580,,0.399739,,4363.606934,
Sample,05/04/2023 15:01:33,0,9447567,5.851582,8388482,0.038714,12201194,18.224135,3171810,1.034839,0.115900,2476.899902,2180.535690,,0.399552,,4361.071289,
Sample,05/04/2023 15:01:43,0,9447543,5.851450,8388473,0.038665,12201246,18.223543,3171747,1.034818,0.115700,2478.600098,2181.972797,,0.399194,,4363.945801,
Sample,05/04/2023 15:01:53,0,9447533,5.851395,8388481,0.038709,12201429,18.221460,3171862,1.034856,0.115000,2477.899902,2181.380950,,0.399847,,4362.761719,
Sample,05/04/2023 15:02:03,0,9447513,5.851286,8388481,0.038709,12201212,18.223930,3171841,1.034849,0.111700,2479.600098,2182.818057,,0.399728,,4365.636230,
Sample,05/04/2023 15:02:13,0,9447499,5.851209,8388482,0.038714,12201015,18.226173,3171828,1.034845,0.118200,2477.600098,2181.127537,,0.399654,,4362.254883,
Sample,05/04/2023 15:02:23,0,9447478,5.851093,8388483,0.038720,12200874,18.227779,3171888,1.034864,0.119500,2476.300049,2180.028658,,0.399995,,4360.057129,
Sample,05/04/2023 15:02:33,0,9447475,5.851077,8388483,0.038720,12200773,18.228929,3171842,1.034849,0.111000,2476.699951,2180.366679,,0.399734,,4360.733398,
Sample,05/04/2023 15:02:43,0,9447456,5.850972,8388481,0.038709,12201043,18.225854,3171756,1.034821,0.118500,2476.300049,2180.028658,,0.399245,,4360.057129,
Sample,05/04/2023 15:02:53,0,9447440,5.850884,8388479,0.038698,12201273,18.223236,3171869,1.034858,0.115700,2478.600098,2181.972797,,0.399887,,4363.945801,
Sample,05/04/2023 15:03:03,0,9447423,5.850791,8388478,0.038692,12201173,18.224374,3171768,1.034825,0.117400,2478.000000,2181.465559,,0.399314,,4362.931152,
Sample,05/04/2023 15:03:13,0,9447417,5.850758,8388479,0.038698,12201425,18.221505,3171881,1.034862,0.113400,2476.899902,2180.535690,,0.399955,,4361.071289,
Sample,05/04/2023 15:03:23,0,9447400,5.850664,8388478,0.038692,12201752,18.217782,3171893,1.034866,0.113100,2478.399902,2181.803580,,0.400023,,4363.606934,
Sample,05/04/2023 15:03:33,0,9447386,5.850587,8388481,0.038709,12202330,18.211201,3171894,1.034866,0.119900,2478.000000,2181.465559,,0.400029,,4362.931152,
Sample,05/04/2023 15:03:43,0,9447362,5.850455,8388478,0.038692,12202009,18.214856,3171824,1.034843,0.118900,2478.699951,2182.057199,,0.399632,,4364.114258,
Sample,05/04/2023 15:03:53,0,9447359,5.850439,8388478,0.038692,12201546,18.220127,3171776,1.034827,0.122100,2478.000000,2181.465559,,0.399359,,4362.931152,
Sample,05/04/2023 15:04:03,0,9447353,5.850406,8388481,0.038709,12206644,18.162096,3171678,1.034795,0.100300,2480.500000,2183.578708,,0.398803,,4367.157227,
Sample,05/04/2023 15:04:13,0,9447368,5.850488,8388480,0.038703,12206397,18.164907,3171401,1.034704,0.040400,2483.500000,2186.114488,,0.397229,,4372.229004,
Sample,05/04/2023 15:04:23,0,9447324,5.850246,8388479,0.038698,12205085,18.179840,3171789,1.034832,0.143800,2478.399902,2181.803580,,0.399433,,4363.606934,
Sample,05/04/2023 15:04:33,0,9447314,5.850191,8388479,0.038698,12203997,18.192224,3171793,1.034833,0.141900,2477.100098,2180.704907,,0.399456,,4361.409668,
Sample,05/04/2023 15:04:43,0,9447296,5.850092,8388479,0.038698,12205510,18.175002,3171842,1.034849,0.145400,2478.199951,2181.634569,,0.399734,,4363.269043,
Sample,05/04/2023 15:04:53,0,9447278,5.849994,8388486,0.038736,12205198,18.178553,3171780,1.034829,0.148000,2477.199951,2180.789309,,0.399382,,4361.578613,
Sample,05/04/2023 15:05:03,0,9447270,5.849950,8388481,0.038709,12204996,18.180853,3171823,1.034843,0.165700,2478.699951,2182.057199,,0.399626,,4364.114258,
Sample,05/04/2023 15:05:13,0,9447254,5.849862,8388482,0.038714,12205286,18.177552,3171739,1.034815,0.149400,2478.600098,2181.972797,,0.399149,,4363.945801,
Sample,05/04/2023 15:05:23,0,9447250,5.849840,8388477,0.038687,12204550,18.185929,3171777,1.034828,0.154300,2477.000000,2180.620299,,0.399365,,4361.240723,
Sample,05/04/2023 15:05:33,0,9447239,5.849779,8388483,0.038720,12203805,18.194410,3171725,1.034811,0.149500,2476.899902,2180.535690,,0.399069,,4361.071289,
Sample,05/04/2023 15:05:43,0,9447224,5.849697,8388479,0.038698,12203723,18.195343,3171691,1.034800,0.149700,2477.000000,2180.620299,,0.398876,,4361.240723,
Sample,05/04/2023 15:05:53,0,9447219,5.849669,8388477,0.038687,12205609,18.173875,3171724,1.034810,0.153700,2477.800049,2181.296548,,0.399064,,4362.593262,
Sample,05/04/2023 15:06:03,0,9447193,5.849526,8388480,0.038703,12204375,18.187921,3171865,1.034857,0.153400,2476.600098,2180.282277,,0.399864,,4360.564453,
Sample,05/04/2023 15:06:13,0,9447189,5.849504,8388491,0.038764,12204297,18.188809,3171737,1.034815,0.153500,2478.300049,2181.719178,,0.399138,,4363.438477,
Sample,05/04/2023 15:06:23,0,9447183,5.849471,8388480,0.038703,12204099,18.191063,3171704,1.034804,0.149800,2476.899902,2180.535690,,0.398950,,4361.071289,
Sample,05/04/2023 15:06:33,0,9447163,5.849361,8388480,0.038703,12204025,18.191905,3171793,1.034833,0.150700,2479.199951,2182.479829,,0.399456,,4364.959473,
Sample,05/04/2023 15:06:43,0,9447152,5.849301,8388481,0.038709,12204355,18.188149,3171782,1.034829,0.149200,2478.699951,2182.057199,,0.399393,,4364.114258,
Sample,05/04/2023 15:06:53,0,9447149,5.849284,8388478,0.038692,12206947,18.158647,3171668,1.034792,0.150200,2476.000000,2179.775039,,0.398746,,4359.550293,
Sample,05/04/2023 15:07:03,0,9447131,5.849185,8388484,0.038725,12207152,18.156314,3171692,1.034800,0.149800,2476.000000,2179.775039,,0.398882,,4359.550293,
Sample,05/04/2023 15:07:13,0,9447114,5.849092,8388481,0.038709,12205731,18.172487,3171677,1.034795,0.150300,2478.300049,2181.719178,,0.398797,,4363.438477,
