VERSION,5.2,AQUAtalk:V4.42,OS:V6.2,,,,,,,,,,,,,
LOGGER TYPE,AQUAlogger 310TYPT5 max50m ,,,,,,,,,,,,,,,
LOGGER,2554-327,,,,,,,,,,,,,,,
REGIME,,,,,,,,,,,,,,,,
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year,,,,,
Pilot 25 April 2023 site 5, Triggered Logging, NA, Disabled, 1.000000 Seconds,NA, NA,1, Disabled, NA, NA, NA, NA,,,,
[LOGGER CHANNEL 0],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 1],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 2],Battery        ,06/03/2023,,,,,,,,,,,,,,
COEFFS,-46.089977,5.50E-06,0,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x20,,,,,,,,,,,,,
[LOGGER CHANNEL 3],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 4],Temperature    ,13/03/2023,,,,,,,,,,,,,,
COEFFS,967.58575,-0.000220028,1.91E-11,-7.06E-19,8.06E-27,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,
[LOGGER CHANNEL 5],Pressure       ,09/03/2023,,,,,,,,,,,,,,
COEFFS,-0.002612514,3.25E-07,5.64E-16,-1.06E-23,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,
[LOGGER CHANNEL 6],Turbidity,09/03/2023,,,,,,,,,,,,,,
COEFFS Raw1,-0.011529949,0.82234406,0,0,0,COEFFS Raw2,86.911514,0.8452599,0,0,0,Transition Raw2,1080.2458,,,
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 8],Depth       ,Not Calibrated,,,,,,,,,,,,,,
COEFFS,51.507366,1.0135,1,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x5,,,,,,,,,,,,,,
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd,,,,,,,,,,,,,,
COEFFS,0,2,0,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1,,,,,,,,,,,,,,
START TIME, 25/04/2023 13:25:26,,,,,,,,,,,,,,,
STOP TIME, 25/04/2023 13:58:51,,,,,,,,,,,,,,,
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,25/04/2023 13:51,23,,,12411035,15.851069,3197834,1.043392,0.1114,3066.699951,2679.070023,,0.543487,,5358.140137,
Sample,25/04/2023 13:51,23,,,12411104,15.850293,3197900,1.043414,0.4074,3073.399902,2684.733223,,0.543843,,5369.466309,
Sample,25/04/2023 13:51,23,,,12410090,15.861696,3198039,1.043459,0.0304,3075.600098,2686.59296,,0.544592,,5373.186035,
Sample,25/04/2023 13:51,23,,,12409109,15.872729,3197945,1.043429,0.0091,3087.399902,2696.566862,,0.544085,,5393.133789,
Sample,25/04/2023 13:51,23,,,12409345,15.870074,3197727,1.043357,0.0876,3058.399902,2672.054325,,0.54291,,5344.108887,
Sample,25/04/2023 13:52,23,,,12410042,15.862236,3196971,1.043108,0.0397,3045.5,2661.150555,,0.538828,,5322.30127,
Sample,25/04/2023 13:52,23,,,12411624,15.844445,3197076,1.043143,0.032,3042.600098,2658.699383,,0.539395,,5317.398926,
Sample,25/04/2023 13:52,23,,,12414004,15.817683,3196551,1.04297,0.0333,3042.300049,2658.445764,,0.536559,,5316.891602,
Sample,25/04/2023 13:52,23,,,12417729,15.775801,3197002,1.043119,0.0522,3065.5,2678.055753,,0.538996,,5356.111328,
Sample,25/04/2023 13:52,23,,,12421218,15.736579,3197723,1.043356,0.131,3087.5,2696.651471,,0.542888,,5393.302734,
Sample,25/04/2023 13:52,23,,,12424063,15.704601,3197664,1.043336,0.3475,3610.899902,3139.060422,,0.54257,,6278.120605,
Sample,25/04/2023 13:52,23,,,12428618,15.653409,3197602,1.043316,0.423,2543.199951,2236.576463,,0.542235,,4473.152832,
Sample,25/04/2023 13:52,23,,,12433666,15.596687,3197366,1.043238,0.2705,3595,3125.620872,,0.540961,,6251.241699,
Sample,25/04/2023 13:52,23,,,12436590,15.563837,3197571,1.043306,0.3987,3634.800049,3159.262258,,0.542068,,6318.524414,
Sample,25/04/2023 13:52,23,,,12439461,15.531586,3197125,1.043159,0.5072,-502.899994,0.405563,,0.53966,,0.811126,
Sample,25/04/2023 13:52,23,,,12441291,15.51103,3197522,1.04329,0.2503,-536.700012,0.194303,,0.541803,,0.388606,
Sample,25/04/2023 13:52,23,,,12439396,15.532316,3197385,1.043245,0.1922,-536.700012,0.146525,,0.541064,,0.293049,
Sample,25/04/2023 13:52,23,,,12437568,15.55285,3197439,1.043262,0.2583,-536.700012,0.200882,,0.541355,,0.401763,
Sample,25/04/2023 13:52,23,9424908,5.727006,12434396,15.588486,3197506,1.043284,0.2273,-536.700012,0.175389,,0.541717,,0.350778,
Sample,25/04/2023 13:52,23,,,12431832,15.617294,3197425,1.043258,0.2328,-536.700012,0.179912,,0.54128,,0.359823,
Sample,25/04/2023 13:52,23,,,12432395,15.610968,3197414,1.043254,0.2712,-536.700012,0.21149,,0.541221,,0.42298,
Sample,25/04/2023 13:52,23,,,12435960,15.570915,3197538,1.043295,0.2745,-536.700012,0.214204,,0.54189,,0.428407,
Sample,25/04/2023 13:52,23,,,12442243,15.500337,3197367,1.043239,0.3259,-536.700012,0.256472,,0.540967,,0.512944,
Sample,25/04/2023 13:52,23,,,12449257,15.421568,3197356,1.043235,0.3293,-536.700012,0.259268,,0.540907,,0.518536,
Sample,25/04/2023 13:52,23,,,12457626,15.327608,3197134,1.043162,0.2558,-536.700012,0.198826,,0.539709,,0.397651,
Sample,25/04/2023 13:52,23,,,12467088,15.22141,3197054,1.043136,1.6496,-536.700012,1.345009,,0.539277,,2.690017,
Sample,25/04/2023 13:52,23,,,12476925,15.111038,3197248,1.043199,1.6847,-536.700012,1.373873,,0.540324,,2.747746,
Sample,25/04/2023 13:52,23,,,12488231,14.984225,3197368,1.043239,0.3268,-536.700012,0.257212,,0.540972,,0.514424,
Sample,25/04/2023 13:52,23,,,12497902,14.875785,3196834,1.043063,1.6722,-536.700012,1.363594,,0.538088,,2.727188,
Sample,25/04/2023 13:52,23,,,12507596,14.767117,3197084,1.043146,1.8765,-536.700012,1.531599,,0.539439,,3.063197,
