VERSION,5.2,AQUAtalk:V4.42,OS:V6.2,,,,,,,,,,,,,
LOGGER TYPE,AQUAlogger 310TYPT5 max50m ,,,,,,,,,,,,,,,
LOGGER,2554-327,,,,,,,,,,,,,,,
REGIME,,,,,,,,,,,,,,,,
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year,,,,,
Pilot 7 April 2023, Instant Start, NA,Enabled, 1.000000 Minutes,10,5.000000 Seconds,1, Disabled, NA, NA, NA, NA,,,,
[LOGGER CHANNEL 0],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 1],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 2],Battery        ,06/03/2023,,,,,,,,,,,,,,
COEFFS,-46.089977,5.50E-06,0,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x10,,,,,,,,,,,,,
[LOGGER CHANNEL 3],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 4],Temperature    ,13/03/2023,,,,,,,,,,,,,,
COEFFS,967.58575,-0.000220028,1.91E-11,-7.06E-19,8.06E-27,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,
[LOGGER CHANNEL 5],Pressure       ,09/03/2023,,,,,,,,,,,,,,
COEFFS,-0.002612514,3.25E-07,5.64E-16,-1.06E-23,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,
[LOGGER CHANNEL 6],Turbidity,09/03/2023,,,,,,,,,,,,,,
COEFFS Raw1,-0.011529949,0.82234406,0,0,0,COEFFS Raw2,86.911514,0.8452599,0,0,0,Transition Raw2,1080.2458,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 8],Depth       ,Not Calibrated,,,,,,,,,,,,,,
COEFFS,51.507366,1.0135,1,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x5,,,,,,,,,,,,,,
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd,,,,,,,,,,,,,,
COEFFS,0,2,0,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1,,,,,,,,,,,,,,
START TIME, 07/04/2023 10:35:20,,,,,,,,,,,,,,,
STOP TIME, 07/04/2023 17:19:09,,,,,,,,,,,,,,,
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,07/04/2023 10:35,0,,,12470169,15.186837,3205223,1.045821,0.2249,2836.100098,2484.153213,,0.583077,,4968.306641,
Sample,07/04/2023 10:35,0,,,12470194,15.186556,3205336,1.045858,0.2329,2837.199951,2485.082875,,0.583679,,4970.165527,
Sample,07/04/2023 10:35,0,,,12470104,15.187566,3205163,1.045801,0.2415,2837.600098,2485.421103,,0.582758,,4970.842285,
Sample,07/04/2023 10:35,0,,,12468952,15.200493,3205719,1.045984,0.0947,2838.300049,2486.012744,,0.585716,,4972.025391,
Sample,07/04/2023 10:35,0,,,12467966,15.211557,3205658,1.045964,0.0708,2833.699951,2482.124465,,0.585392,,4964.249023,
Sample,07/04/2023 10:35,0,,,12485935,15.009974,3205359,1.045865,1.8254,-6257.799805,1.489577,,0.583801,,2.979154,
Sample,07/04/2023 10:36,0,,,12501756,14.832579,3205609,1.045948,0.0386,2849.100098,2495.141592,,0.585131,,4990.283203,
Sample,07/04/2023 10:36,0,,,12524469,14.57804,3205382,1.045873,0.5029,-492.399994,0.402027,,0.583923,,0.804054,
Sample,07/04/2023 10:36,0,9444090,5.832466,12540293,14.400787,3205147,1.045796,0.0633,3509.899902,3053.689172,,0.582673,,6107.378418,
Sample,07/04/2023 10:36,0,,,12539588,14.408682,3205201,1.045814,0.1062,2178.899902,1928.648238,,0.58296,,3857.296387,
Sample,07/04/2023 10:36,0,,,12541011,14.392745,3205180,1.045807,0.011,2849.899902,2495.817635,,0.582848,,4991.635254,
Sample,07/04/2023 10:36,0,,,12539980,14.404292,3205174,1.045805,0.0754,2925.800049,2559.972985,,0.582816,,5119.945801,
Sample,07/04/2023 10:36,0,,,12539863,14.405602,3205167,1.045802,0.0792,2880.199951,2521.429051,,0.582779,,5042.85791,
Sample,07/04/2023 10:36,0,,,12539359,14.411247,3205250,1.04583,0.9402,2849.5,2495.479613,,0.583221,,4990.958984,
Sample,07/04/2023 10:36,0,,,12526533,14.554916,3205241,1.045827,0.1066,2058.100098,1826.541007,,0.583173,,3653.082031,
Sample,07/04/2023 10:36,0,,,12510536,14.734166,3205174,1.045805,0.1109,1945.300049,1731.195648,,0.582816,,3462.391357,
Sample,07/04/2023 10:37,0,,,12494154,14.917808,3205326,1.045855,0.1363,1749.099976,1565.355593,,0.583625,,3130.711182,
Sample,07/04/2023 10:37,0,,,12477950,15.099539,3205456,1.045897,0.1531,1528.699951,1379.06029,,0.584317,,2758.120605,
Sample,07/04/2023 10:37,0,9444624,5.835402,12473558,15.148812,3205242,1.045827,0.2411,2816.100098,2467.248015,,0.583178,,4934.496094,
Sample,07/04/2023 10:37,0,,,12492890,14.931981,3204597,1.045615,0.8233,1498.199951,1353.279862,,0.579743,,2706.559814,
Sample,07/04/2023 10:37,0,,,12502408,14.82527,3204448,1.045566,0.0947,3540.199951,3079.300588,,0.578949,,6158.601074,
Sample,07/04/2023 10:37,0,,,12523325,14.590857,3204571,1.045606,0.0885,2932.5,2565.636185,,0.579605,,5131.272461,
Sample,07/04/2023 10:37,0,,,12527415,14.545035,3204814,1.045686,0.0652,2926.399902,2560.480017,,0.580899,,5120.959961,
Sample,07/04/2023 10:37,0,,,12532886,14.483748,3204382,1.045544,0.0941,3574.399902,3108.208436,,0.578597,,6216.416992,
Sample,07/04/2023 10:37,0,,,12532609,14.486851,3204867,1.045704,152.080002,3389.300049,2951.750951,,0.581182,,5903.501953,
Sample,07/04/2023 10:37,0,,,12531922,14.494547,3203921,1.045393,14.445999,2875.800049,2517.70999,,0.576139,,5035.419922,
Sample,07/04/2023 10:38,0,,,12529661,14.519874,3204163,1.045472,19.548,2929.399902,2563.015797,,0.57743,,5126.031738,
Sample,07/04/2023 10:38,0,,,12525448,14.567072,3203824,1.045361,57.276001,3095.399902,2703.328941,,0.575621,,5406.657715,
Sample,07/04/2023 10:38,0,9444581,5.835166,12522123,14.604324,3204608,1.045619,0.0857,2844.399902,2491.168705,,0.579802,,4982.337402,
Sample,07/04/2023 10:38,0,,,12508175,14.760628,3204338,1.04553,23.159,3020.5,2640.019057,,0.578363,,5280.038086,
Sample,07/04/2023 10:38,0,,,12524624,14.576303,3204838,1.045694,0.0454,3335.600098,2906.360535,,0.581027,,5812.721191,
Sample,07/04/2023 10:38,0,,,12525552,14.565906,3204130,1.045462,0.0712,2864.5,2508.158512,,0.577254,,5016.316895,
Sample,07/04/2023 10:38,0,,,12524729,14.575127,3204656,1.045634,4.3587,6813,5845.667246,,0.580058,,11691.33496,
Sample,07/04/2023 10:38,0,,,12518243,14.647799,3204610,1.045619,341.519989,8932.599609,7637.27981,,0.579812,,15274.55957,
Sample,07/04/2023 10:38,0,,,12511735,14.720729,3204279,1.04551,0.0638,3457.699951,3009.566646,,0.578048,,6019.133301,
Sample,07/04/2023 10:38,0,,,12518551,14.644347,3204259,1.045504,0.0783,3226.600098,2814.227206,,0.577941,,5628.45459,
Sample,07/04/2023 10:39,0,,,12520365,14.624022,3204184,1.045479,0.7847,2828.399902,2477.644547,,0.577542,,4955.289062,
Sample,07/04/2023 10:39,0,,,12525562,14.565794,3204555,1.045601,1.6085,3852.5,3343.275298,,0.579519,,6686.550781,
Sample,07/04/2023 10:39,0,9444753,5.836111,12532483,14.488263,3204299,1.045517,0.0657,2904.100098,2541.630887,,0.578155,,5083.261719,
Sample,07/04/2023 10:39,0,,,12537489,14.432191,3203758,1.045339,0.016,2829.699951,2478.743426,,0.575269,,4957.486816,
Sample,07/04/2023 10:39,0,,,12541855,14.383293,3203713,1.045324,0.2082,2300.300049,2031.262915,,0.575029,,4062.525879,
Sample,07/04/2023 10:39,0,,,12541179,14.390864,3205418,1.045885,0.2552,3539.399902,3078.624339,,0.584115,,6157.248535,
Sample,07/04/2023 10:39,0,,,12534769,14.462657,3205663,1.045965,0.1949,3513.899902,3057.070211,,0.585418,,6114.140625,
