VERSION,5.2,AQUAtalk:V4.42,OS:V6.2,,,,,,,,,,,,,
LOGGER TYPE,AQUAlogger 310TYPT5 max50m ,,,,,,,,,,,,,,,
LOGGER,2554-327,,,,,,,,,,,,,,,
REGIME,,,,,,,,,,,,,,,,
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year,,,,,
August_2023, Triggered Logging, NA, Disabled, 1.000000 Seconds,NA, NA,1, Disabled, NA, NA, NA, NA,,,,
[LOGGER CHANNEL 0],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 1],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 2],Battery        ,06/03/2023,,,,,,,,,,,,,,
COEFFS,-46.089977, 5.4978768e-06,0,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x40,,,,,,,,,,,,,
[LOGGER CHANNEL 3],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 4],Temperature    ,13/03/2023,,,,,,,,,,,,,,
COEFFS,967.58575,-0.000220028, 1.9068084e-11,-7.06E-19, 8.0592888e-27,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,
[LOGGER CHANNEL 5],Pressure       ,09/03/2023,,,,,,,,,,,,,,
COEFFS,-0.002612514, 3.2540086e-07, 5.6441919e-16,-1.06E-23,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,
[LOGGER CHANNEL 6],Turbidity,09/03/2023,,,,,,,,,,,,,,
COEFFS Raw1,-0.011529949,0.82234406,0,0,0,COEFFS Raw2,86.911514,0.8452599,0,0,0,Transition Raw2,1080.2458,,,
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 8],Depth       ,Not Calibrated,,,,,,,,,,,,,,
COEFFS,51.507366,1.0135,1,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x5,,,,,,,,,,,,,,
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd,,,,,,,,,,,,,,
COEFFS,0,2,0,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1,,,,,,,,,,,,,,
START TIME, 24/08/2023 15:21:37,,,,,,,,,,,,,,,
STOP TIME, 28/08/2023 17:15:04,,,,,,,,,,,,,,,
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,28/08/2023 11:03,23,,,12173575,18.538934,3181530,1.038033,0.2265,3092.399902,2700.793162,,0.454183,,5401.586426,
Sample,28/08/2023 11:03,23,,,12172596,18.550105,3182182,1.038248,0.1321,3041.199951,2657.515896,,0.457809,,5315.031738,
Sample,28/08/2023 11:03,23,,,12171801,18.559178,3182450,1.038336,0.0084,3115,2719.896118,,0.459298,,5439.791992,
Sample,28/08/2023 11:03,23,,,12170837,18.570179,3186942,1.039812,0.1124,3493,3039.404362,,0.484138,,6078.808594,
Sample,28/08/2023 11:03,23,,,12170100,18.578591,3175161,1.03594,0.1008,2595.199951,2280.529978,,0.418511,,4561.060059,
Sample,28/08/2023 11:03,23,,,12169360,18.587037,3175417,1.036024,0.0783,3314.300049,2888.356458,,0.419954,,5776.712891,
Sample,28/08/2023 11:03,23,,,12168707,18.594491,3183041,1.03853,0.1078,4058.600098,3517.483447,,0.462578,,7034.966797,
Sample,28/08/2023 11:03,23,,,12167865,18.604102,3179242,1.037281,0.0912,3890.399902,3375.310566,,0.441421,,6750.621094,
Sample,28/08/2023 11:03,23,,,12167182,18.611899,3182760,1.038438,0.122,2091.100098,1854.434584,,0.461019,,3708.869141,
Sample,28/08/2023 11:03,23,,,12166182,18.623316,3183008,1.038519,0.1297,3598.699951,3128.748293,,0.462395,,6257.496582,
Sample,28/08/2023 11:03,23,,,12164964,18.637223,3181070,1.037882,0.1137,4143.700195,3589.415147,,0.451622,,7178.830078,
Sample,28/08/2023 11:03,23,,,12164886,18.638113,3179605,1.037401,0.0009,3193.199951,2785.995401,,0.44345,,5571.990723,
Sample,28/08/2023 11:03,23,,,12166204,18.623065,3179724,1.03744,0.1273,3100.600098,2707.724458,,0.444115,,5415.44873,
Sample,28/08/2023 11:03,23,,,12166606,18.618475,3179956,1.037516,0.0231,3095.899902,2703.751571,,0.44541,,5407.50293,
Sample,28/08/2023 11:03,23,,,12165823,18.627415,3179877,1.03749,0.033,3106,2712.288779,,0.444969,,5424.577637,
Sample,28/08/2023 11:03,23,,,12167474,18.608566,3180127,1.037572,0.0116,3132.600098,2734.772775,,0.446365,,5469.54541,
Sample,28/08/2023 11:03,23,,,12170160,18.577906,3179722,1.037439,0.0264,3099.800049,2707.048209,,0.444103,,5414.096191,
Sample,28/08/2023 11:03,23,,,12171352,18.564302,3179688,1.037428,0.0713,3098.800049,2706.202949,,0.443914,,5412.405762,
Sample,28/08/2023 11:03,23,,,12171352,18.564302,3180023,1.037538,0.0337,3101.5,2708.485109,,0.445784,,5416.970215,
Sample,28/08/2023 11:03,23,,,12170672,18.572062,3180132,1.037574,0.0441,3100.600098,2707.724458,,0.446392,,5415.44873,
Sample,28/08/2023 11:03,23,,,12170511,18.5739,3179983,1.037525,0.0755,3101.300049,2708.316099,,0.445561,,5416.632324,
Sample,28/08/2023 11:03,23,,,12170607,18.572804,3180230,1.037606,0.1383,3113.300049,2718.459217,,0.446939,,5436.918457,
Sample,28/08/2023 11:03,23,,,12170584,18.573067,3180076,1.037555,0.0668,3117.100098,2721.671246,,0.44608,,5443.342285,
Sample,28/08/2023 11:03,23,,,12170000,18.579732,3180205,1.037598,0.3179,3101.899902,2708.823131,,0.4468,,5417.646484,
Sample,28/08/2023 11:03,23,,,12169004,18.591101,3180359,1.037648,0.0198,3102.699951,2709.49938,,0.447659,,5418.998535,
Sample,28/08/2023 11:03,23,,,12167735,18.605586,3180112,1.037567,0.0309,3113.100098,2718.290207,,0.446281,,5436.580566,
Sample,28/08/2023 11:03,23,,,12167215,18.611523,3180099,1.037563,0.0333,3121.399902,2725.305699,,0.446208,,5450.611328,
Sample,28/08/2023 11:03,23,,,12167489,18.608395,3180236,1.037608,0.0203,3133.699951,2735.702437,,0.446973,,5471.404785,
Sample,28/08/2023 11:03,23,,,12168619,18.595495,3180447,1.037677,0.0202,3130.399902,2732.913038,,0.44815,,5465.826172,
Sample,28/08/2023 11:03,23,,,12169493,18.585519,3180196,1.037595,0.0063,3128.300049,2731.138116,,0.44675,,5462.276367,
Sample,28/08/2023 11:03,23,,,12169972,18.580052,3180195,1.037595,0.0138,3126.699951,2729.785618,,0.446744,,5459.571289,
Sample,28/08/2023 11:03,23,,,12170588,18.573021,3180109,1.037566,0.0729,3119.899902,2724.037809,,0.446264,,5448.075684,
Sample,28/08/2023 11:03,23,,,12171004,18.568273,3180251,1.037613,0.066,3119.5,2723.699787,,0.447056,,5447.399414,
Sample,28/08/2023 11:03,23,,,12170863,18.569883,3180311,1.037633,0.0587,3114.199951,2719.219869,,0.447391,,5438.439941,
Sample,28/08/2023 11:03,23,,,12170550,18.573455,3180262,1.037617,0.0568,3118.899902,2723.192549,,0.447118,,5446.385254,
Sample,28/08/2023 11:03,23,,,12170345,18.575794,3180361,1.037649,0.0695,3114.399902,2719.388879,,0.44767,,5438.777832,
Sample,28/08/2023 11:03,23,,,12170381,18.575384,3180278,1.037622,0.07,3114.399902,2719.388879,,0.447207,,5438.777832,
Sample,28/08/2023 11:03,23,,,12170252,18.576856,3180287,1.037625,0.0644,3118.600098,2722.939136,,0.447257,,5445.878418,
Sample,28/08/2023 11:03,23,9310027,5.095404,12170324,18.576034,3180261,1.037616,0.0524,3119.600098,2723.784396,,0.447112,,5447.568848,
Sample,28/08/2023 11:03,23,,,12170100,18.578591,3180306,1.037631,0.0491,3120,2724.122417,,0.447363,,5448.244629,
Sample,28/08/2023 11:04,23,,,12169628,18.583978,3180496,1.037693,0.0713,3118,2722.431898,,0.448423,,5444.86377,
Sample,28/08/2023 11:04,23,,,12169093,18.590085,3180256,1.037615,0.07,3117.899902,2722.347289,,0.447084,,5444.694336,
Sample,28/08/2023 11:04,23,,,12168872,18.592607,3180231,1.037606,0.0756,3120.899902,2724.883069,,0.446945,,5449.766113,
Sample,28/08/2023 11:04,23,,,12169216,18.588681,3180380,1.037655,0.0703,3120,2724.122417,,0.447776,,5448.244629,
Sample,28/08/2023 11:04,23,,,12169478,18.58569,3180367,1.037651,0.0804,3123.800049,2727.334446,,0.447704,,5454.668945,
Sample,28/08/2023 11:04,23,,,12169692,18.583248,3180456,1.03768,0.0533,3118.800049,2723.108147,,0.4482,,5446.216309,
Sample,28/08/2023 11:04,23,,,12170042,18.579253,3180290,1.037626,0.0428,3116.300049,2720.994997,,0.447274,,5441.990234,
Sample,28/08/2023 11:04,23,,,12170459,18.574493,3179894,1.037496,0.0531,3118.100098,2722.516506,,0.445064,,5445.033203,
Sample,28/08/2023 11:04,23,,,12171001,18.568308,3180593,1.037725,0.0294,3123.100098,2726.742806,,0.448964,,5453.48584,
Sample,28/08/2023 11:04,23,,,12171447,18.563218,3180387,1.037658,0.0298,3118,2722.431898,,0.447815,,5444.86377,
Sample,28/08/2023 11:04,23,,,12171317,18.564701,3180209,1.037599,0.0418,3122,2725.812937,,0.446822,,5451.625977,
Sample,28/08/2023 11:04,23,,,12171413,18.563606,3180086,1.037559,0.0328,3114.199951,2719.219869,,0.446136,,5438.439941,
Sample,28/08/2023 11:04,23,,,12171446,18.563229,3180030,1.03754,0.0281,3124.600098,2728.010696,,0.445823,,5456.021484,
Sample,28/08/2023 11:04,23,,,12171425,18.563469,3180087,1.037559,0.0252,3122.199951,2725.981948,,0.446141,,5451.963867,
Sample,28/08/2023 11:04,23,,,12171484,18.562795,3180171,1.037587,0.0218,3127.5,2730.461867,,0.44661,,5460.923828,
Sample,28/08/2023 11:04,23,,,12171462,18.563046,3180135,1.037575,0.0334,3115.100098,2719.980726,,0.446409,,5439.961426,
Sample,28/08/2023 11:04,23,,,12171303,18.564861,3179950,1.037514,0.0272,3119.899902,2724.037809,,0.445377,,5448.075684,
Sample,28/08/2023 11:04,23,,,12171301,18.564884,3180277,1.037621,0.0391,3118.300049,2722.685517,,0.447201,,5445.371094,
Sample,28/08/2023 11:04,23,,,12171784,18.559372,3180251,1.037613,0.127,3127.699951,2730.630877,,0.447056,,5461.261719,
Sample,28/08/2023 11:04,23,,,12172376,18.552616,3180236,1.037608,0.0267,3124.600098,2728.010696,,0.446973,,5456.021484,
Sample,28/08/2023 11:04,23,,,12172563,18.550482,3180049,1.037547,0.0205,3135.5,2737.223946,,0.445929,,5474.447754,
Sample,28/08/2023 11:04,23,,,12172754,18.548303,3180125,1.037572,0.0282,3129.600098,2732.236995,,0.446353,,5464.474121,
Sample,28/08/2023 11:04,23,,,12173062,18.544788,3180014,1.037535,0.0268,3127.199951,2730.208247,,0.445734,,5460.416504,
Sample,28/08/2023 11:04,23,,,12173358,18.54141,3180299,1.037629,0.0222,3144.899902,2745.169307,,0.447324,,5490.338379,
Sample,28/08/2023 11:04,23,,,12174157,18.532294,3180038,1.037543,0.0665,3126.800049,2729.870226,,0.445868,,5459.740234,
Sample,28/08/2023 11:04,23,,,12174976,18.522949,3180284,1.037624,0.0291,3120.399902,2724.460439,,0.447241,,5448.920898,
Sample,28/08/2023 11:04,23,,,12175681,18.514906,3179958,1.037517,0.0453,3127.300049,2730.292856,,0.445421,,5460.585938,
Sample,28/08/2023 11:04,23,,,12176440,18.506248,3180191,1.037593,0.007,3138.100098,2739.421704,,0.446722,,5478.843262,
Sample,28/08/2023 11:04,23,,,12176140,18.50967,3179985,1.037526,0.0543,3126.300049,2729.447596,,0.445572,,5458.89502,
Sample,28/08/2023 11:04,23,,,12175895,18.512465,3180186,1.037592,0.0453,3132.399902,2734.603558,,0.446694,,5469.207031,
Sample,28/08/2023 11:04,23,,,12176272,18.508164,3180399,1.037662,0.0131,3141.100098,2741.957484,,0.447882,,5483.915039,
Sample,28/08/2023 11:04,23,,,12176908,18.500909,3180177,1.037589,0.0934,3139.100098,2740.266964,,0.446644,,5480.533691,
Sample,28/08/2023 11:04,23,,,12177767,18.49111,3180119,1.03757,1.3034,3140.699951,2741.619256,,0.44632,,5483.238281,
Sample,28/08/2023 11:04,23,,,12178617,18.481415,3180020,1.037537,0.023,3155,2753.706514,,0.445767,,5507.413086,
Sample,28/08/2023 11:04,23,,,12179183,18.47496,3180011,1.037534,0.0149,3169,2765.540153,,0.445717,,5531.080078,
Sample,28/08/2023 11:04,23,,,12179424,18.472211,3180147,1.037579,0.0485,3189.100098,2782.529959,,0.446476,,5565.060059,
Sample,28/08/2023 11:04,23,,,12179531,18.470991,3180026,1.037539,0.0361,3143.300049,2743.817015,,0.445801,,5487.633789,
Sample,28/08/2023 11:04,23,,,12179709,18.468961,3179775,1.037456,0.0002,3145.100098,2745.338524,,0.444399,,5490.677246,
Sample,28/08/2023 11:04,23,9311226,5.101996,12180557,18.45929,3179663,1.03742,0.0004,3166.899902,2763.765024,,0.443774,,5527.530273,
Sample,28/08/2023 11:04,23,,,12182091,18.441797,3180026,1.037539,0.0272,3159.899902,2757.848205,,0.445801,,5515.696289,
Sample,28/08/2023 11:04,23,,,12183492,18.425823,3180320,1.037636,0.0178,3165.300049,2762.412732,,0.447441,,5524.825684,
Sample,28/08/2023 11:04,23,,,12183837,18.421889,3180456,1.03768,0.0139,3166.600098,2763.511612,,0.4482,,5527.023438,
Sample,28/08/2023 11:04,23,,,12183631,18.424238,3180303,1.03763,0.024,3153.300049,2752.269614,,0.447347,,5504.539062,
Sample,28/08/2023 11:04,23,,,12183168,18.429517,3180297,1.037628,0.0375,3164.600098,2761.821092,,0.447313,,5523.64209,
Sample,28/08/2023 11:04,23,,,12182829,18.433382,3180412,1.037666,0.0115,3151.699951,2750.917115,,0.447954,,5501.834473,
Sample,28/08/2023 11:04,23,,,12182895,18.43263,3180203,1.037597,0.0015,3140.699951,2741.619256,,0.446789,,5483.238281,
Sample,28/08/2023 11:04,23,,,12182771,18.434043,3180414,1.037667,0.0193,3123.100098,2726.742806,,0.447966,,5453.48584,
Sample,28/08/2023 11:04,23,,,12184003,18.419997,3180543,1.037709,0.0762,3116.600098,2721.248616,,0.448685,,5442.49707,
Sample,28/08/2023 11:04,23,,,12186130,18.395749,3190026,1.040826,586.910034,1519.5,1371.28394,,0.501066,,2742.567871,
Sample,28/08/2023 11:04,23,,,12180575,18.459084,3195898,1.042756,1.0199,-77.099998,0.827179,,0.533026,,1.654358,
Sample,28/08/2023 11:04,23,,,12178358,18.484369,3180892,1.037824,0.9276,3173,2768.921192,,0.45063,,5537.842285,
Sample,28/08/2023 11:04,23,,,12181171,18.452288,3179962,1.037518,1.9806,-58.959999,1.617205,,0.445444,,3.234409,
Sample,28/08/2023 11:04,23,,,12183278,18.428263,3181970,1.038178,1084.099976,3018.5,2638.328537,,0.45663,,5276.657227,
Sample,28/08/2023 11:04,23,,,12184337,18.416189,3182651,1.038402,634.089966,2127.199951,1884.948343,,0.460414,,3769.896729,
Sample,28/08/2023 11:04,23,,,12184900,18.409771,3182489,1.038348,1.3703,3044.199951,2660.051675,,0.459514,,5320.103516,
Sample,28/08/2023 11:04,23,,,12188998,18.363061,3182868,1.038473,1.2926,3031.300049,2649.147905,,0.461619,,5298.295898,
Sample,28/08/2023 11:04,23,,,12197679,18.264161,3182852,1.038468,1.3664,3024.899902,2643.738118,,0.46153,,5287.476074,
Sample,28/08/2023 11:04,23,,,12211099,18.111401,3183268,1.038605,1.1166,3017.899902,2637.821299,,0.463838,,5275.642578,
Sample,28/08/2023 11:04,23,,,12222531,17.981391,3205133,1.045791,1.5321,-9.272,1.248383,,0.582598,,2.496767,
Sample,28/08/2023 11:04,23,,,12202826,18.205555,3241281,1.057673,0.6466,-78.120003,0.520198,,0.769457,,1.040395,
Sample,28/08/2023 11:05,23,,,12186996,18.385878,3267520,1.066299,0.7401,-78.459999,0.597087,,0.899036,,1.194174,
Sample,28/08/2023 11:05,23,,,12179473,18.471652,3281661,1.070948,0.5918,-80.139999,0.475133,,0.967095,,0.950267,
Sample,28/08/2023 11:05,23,,,12176025,18.510982,3289393,1.07349,0.6769,-78.199997,0.545115,,1.003834,,1.09023,
Sample,28/08/2023 11:05,23,,,12174476,18.528654,3307982,1.079602,0.7805,-78.970001,0.63031,,1.0909,,1.260619,
Sample,28/08/2023 11:05,23,,,12173705,18.537451,3297576,1.076181,0.8153,-79.659996,0.658927,,1.042373,,1.317854,
Sample,28/08/2023 11:05,23,,,12173287,18.542221,3318523,1.083068,0.6914,-78.590004,0.557039,,1.139537,,1.114077,
Sample,28/08/2023 11:05,23,,,12173021,18.545256,3316638,1.082448,1.1824,-77.870003,0.96081,,1.130876,,1.921619,
Sample,28/08/2023 11:05,23,,,12172846,18.547253,3310949,1.080577,0.674,-78.580002,0.54273,,1.104642,,1.08546,
