VERSION,5.2,AQUAtalk:V4.42,OS:V6.2,,,,,,,,,,,,,
LOGGER TYPE,AQUAlogger 310TYPT5 max50m ,,,,,,,,,,,,,,,
LOGGER,2554-327,,,,,,,,,,,,,,,
REGIME,,,,,,,,,,,,,,,,
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year,,,,,
12 October_2023, Triggered Logging, NA, Disabled, 1.000000 Seconds,NA, NA,1, Disabled, NA, NA, NA, NA,,,,
[LOGGER CHANNEL 0],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 1],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 2],Battery        ,06/03/2023,,,,,,,,,,,,,,
COEFFS,-46.089977,5.50E-06,0,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x40,,,,,,,,,,,,,
[LOGGER CHANNEL 3],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 4],Temperature    ,13/03/2023,,,,,,,,,,,,,,
COEFFS,967.58575,-0.000220028,1.91E-11,-7.06E-19,8.06E-27,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,
[LOGGER CHANNEL 5],Pressure       ,09/03/2023,,,,,,,,,,,,,,
COEFFS,-0.002612514,3.25E-07,5.64E-16,-1.06E-23,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1,,,,,,,,,,,,,
[LOGGER CHANNEL 6],Turbidity,09/03/2023,,,,,,,,,,,,,,
COEFFS Raw1,-0.011529949,0.82234406,0,0,0,COEFFS Raw2,86.911514,0.8452599,0,0,0,Transition Raw2,1080.2458,,,
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[LOGGER CHANNEL 8],Depth       ,Not Calibrated,,,,,,,,,,,,,,
COEFFS,51.507366,1.0135,1,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x5,,,,,,,,,,,,,,
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd,,,,,,,,,,,,,,
COEFFS,0,2,0,0,0,,,,,,,,,,,
Channel Setup, Not Averaged, Gain x1,,,,,,,,,,,,,,
START TIME, 12/10/2023 07:52:47,,,,,,,,,,,,,,,
STOP TIME, 12/10/2023 14:23:14,,,,,,,,,,,,,,,
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,12/10/2023 08:24,23,,,12210762,18.115235,3173612,1.035431,0.9513,3182,2776.528532,,0.409764,,5553.057129,
Sample,12/10/2023 08:24,23,,,12210428,18.119036,3172222,1.034974,0.8145,3184.800049,2778.895301,,0.40189,,5557.790527,
Sample,12/10/2023 08:24,23,,,12210611,18.116953,3163704,1.032175,0.1135,3174.600098,2770.273691,,0.353123,,5540.547363,
Sample,12/10/2023 08:25,23,,,12211125,18.111105,3173487,1.03539,0.3152,3161.899902,2759.538725,,0.409057,,5519.077637,
Sample,12/10/2023 08:25,23,,,12211856,18.102789,3173997,1.035557,0.3131,3149.600098,2749.142193,,0.41194,,5498.28418,
Sample,12/10/2023 08:25,23,,,12212323,18.097476,3172022,1.034908,0.3116,3141.100098,2741.957484,,0.400755,,5483.915039,
Sample,12/10/2023 08:25,23,,,12212467,18.095838,3172236,1.034979,0.3199,3140.600098,2741.534854,,0.40197,,5483.069824,
Sample,12/10/2023 08:25,23,,,12212404,18.096555,3172690,1.035128,0.5873,3149.899902,2749.395606,,0.404544,,5498.791016,
Sample,12/10/2023 08:25,23,,,12211618,18.105496,3173409,1.035364,519,4566.299805,3946.621653,,0.408615,,7893.243164,
Sample,12/10/2023 08:25,23,,,12210604,18.117033,3173332,1.035339,570.470032,4790.200195,4135.875676,,0.40818,,8271.750977,
Sample,12/10/2023 08:25,23,,,12210488,18.118353,3173282,1.035322,1390,9393.900391,8027.198865,,0.407897,,16054.39746,
Sample,12/10/2023 08:25,23,,,12210200,18.12163,3173196,1.035294,1398,9369.900391,8006.912627,,0.40741,,16013.8252,
Sample,12/10/2023 08:25,23,,,12209856,18.125544,3173261,1.035316,1397.400024,9625.700195,8223.129946,,0.407778,,16446.25977,
Sample,12/10/2023 08:25,23,,,12209412,18.130596,3171966,1.03489,0.4263,5379.200195,4633.73376,,0.400438,,9267.467773,
Sample,12/10/2023 08:25,23,,,12209284,18.132052,3172374,1.035024,0.3265,5211.899902,4492.32153,,0.402752,,8984.642578,
Sample,12/10/2023 08:25,23,,,12209178,18.133259,3172583,1.035093,0.3308,5081.399902,4382.015112,,0.403937,,8764.030273,
Sample,12/10/2023 08:25,23,,,12208996,18.13533,3172829,1.035174,0.332,4970.700195,4288.445088,,0.405331,,8576.890625,
Sample,12/10/2023 08:25,23,,,12208444,18.141611,3172542,1.035079,0.3592,4889.600098,4219.894428,,0.403705,,8439.789062,
Sample,12/10/2023 08:25,23,,,12207999,18.146675,3171913,1.034873,0.345,4732.5,4087.104014,,0.400137,,8174.208008,
Sample,12/10/2023 08:25,23,,,12208110,18.145412,3171950,1.034885,0.3528,4368.899902,3779.76743,,0.400347,,7559.534668,
Sample,12/10/2023 08:25,23,,,12209415,18.130562,3172277,1.034992,0.3432,3988.699951,3458.399656,,0.402202,,6916.799316,
Sample,12/10/2023 08:25,23,,,12211124,18.111117,3172257,1.034986,0.3251,3676.300049,3194.340544,,0.402089,,6388.681152,
Sample,12/10/2023 08:25,23,,,12212509,18.09536,3172033,1.034912,0.3127,3451.100098,3003.988054,,0.400818,,6007.976074,
Sample,12/10/2023 08:25,23,,,12213443,18.084735,3171942,1.034882,0.3218,3353.699951,2921.659616,,0.400301,,5843.319336,
Sample,12/10/2023 08:25,23,,,12213952,18.078945,3171636,1.034781,0.3503,3323.800049,2896.386427,,0.398564,,5792.772949,
Sample,12/10/2023 08:25,23,,,12213991,18.078502,3171903,1.034869,0.3697,3273.600098,2853.954421,,0.40008,,5707.908691,
Sample,12/10/2023 08:25,23,,,12214210,18.07601,3172249,1.034983,0.558,3242.300049,2827.497745,,0.402043,,5654.995605,
Sample,12/10/2023 08:25,23,,,12214525,18.072427,3171678,1.034795,0.5001,3209.800049,2800.026798,,0.398803,,5600.053711,
Sample,12/10/2023 08:25,23,,,12214779,18.069538,3172036,1.034913,0.5371,3183.800049,2778.050041,,0.400835,,5556.100098,
Sample,12/10/2023 08:25,23,,,12215023,18.066763,3172269,1.03499,0.4886,3166.399902,2763.342394,,0.402157,,5526.68457,
Sample,12/10/2023 08:25,23,,,12215264,18.064022,3172635,1.03511,0.3922,3142.300049,2742.971755,,0.404232,,5485.943359,
Sample,12/10/2023 08:25,23,,,12215531,18.060985,3172178,1.03496,0.3737,3120.699951,2724.714058,,0.401641,,5449.428223,
Sample,12/10/2023 08:25,23,,,12216049,18.055094,3171586,1.034765,0.3275,3098.199951,2705.69571,,0.39828,,5411.391602,
Sample,12/10/2023 08:25,23,,,12216953,18.044813,3172268,1.034989,0.2998,3089.199951,2698.088371,,0.402151,,5396.176758,
Sample,12/10/2023 08:25,23,,,12217747,18.035783,3172759,1.035151,0.6596,2503.899902,2203.357708,,0.404935,,4406.715332,
Sample,12/10/2023 08:25,23,,,12236361,17.824252,3228301,1.053407,12.453001,-80.32,10.229122,,0.703576,,20.458242,
Sample,12/10/2023 08:25,23,,,12255853,17.603039,3257922,1.063144,14.174001,-78.470001,11.644375,,0.85216,,23.288752,
Sample,12/10/2023 08:25,23,,,12265599,17.492542,3304034,1.078304,14.026999,-80.220001,11.523489,,1.072551,,23.046978,
Sample,12/10/2023 08:25,23,9226643,4.636969,12270171,17.440731,3345808,1.092039,17.591999,-77.159996,14.455146,,1.263219,,28.910292,
Sample,12/10/2023 08:25,23,,,12272161,17.418184,3389607,1.106442,14.848001,-77.449997,12.198636,,1.456016,,24.397272,
Sample,12/10/2023 08:25,23,,,12273523,17.402754,3440435,1.123159,17.986,-77.650002,14.77915,,1.672579,,29.5583,
Sample,12/10/2023 08:25,23,,,12274292,17.394043,3381570,1.103799,15.433001,-78.729996,12.679706,,1.42111,,25.359413,
Sample,12/10/2023 08:25,23,,,12274541,17.391222,3302685,1.07786,12.325999,-81.199997,10.124682,,1.066264,,20.249365,
Sample,12/10/2023 08:25,23,,,12275265,17.383022,3329994,1.086839,13.693001,-77,11.248828,,1.191907,,22.497656,
Sample,12/10/2023 08:25,23,,,12276331,17.370947,3358271,1.096138,14.985001,-77.959999,12.311296,,1.318748,,24.622593,
Sample,12/10/2023 08:25,23,,,12276749,17.366213,3363500,1.097857,14.075999,-77.729996,11.563784,,1.34188,,23.127569,
Sample,12/10/2023 08:25,23,,,12276877,17.364763,3355012,1.095066,18.254002,-76.220001,14.99954,,1.304283,,29.999081,
Sample,12/10/2023 08:25,23,,,12276762,17.366066,3352309,1.094177,14.358,-77.57,11.795686,,1.292256,,23.591372,
Sample,12/10/2023 08:25,23,,,12276845,17.365126,3365849,1.098629,16.83,-76.590004,13.828521,,1.352241,,27.657042,
Sample,12/10/2023 08:25,23,,,12277143,17.361751,3373027,1.10099,18.116001,-77.860001,14.886056,,1.383786,,29.772112,
Sample,12/10/2023 08:25,23,,,12277391,17.358942,3367864,1.099292,16.825001,-75.639999,13.82441,,1.361114,,27.648819,
Sample,12/10/2023 08:25,23,,,12277180,17.361332,3334563,1.088342,15.545,-78.870003,12.771809,,1.212613,,25.543617,
Sample,12/10/2023 08:25,23,,,12276830,17.365296,3340226,1.090204,14.634,-77.159996,12.022653,,1.23816,,24.045305,
Sample,12/10/2023 08:25,23,,,12276865,17.364899,3352622,1.09428,13.518001,-77.940002,11.104918,,1.29365,,22.209835,
Sample,12/10/2023 08:25,23,,,12277137,17.361819,3334178,1.088215,15.128,-79.759995,12.428891,,1.210872,,24.857782,
Sample,12/10/2023 08:25,23,,,12277548,17.357164,3353341,1.094516,14.314,-78.68,11.759503,,1.296851,,23.519007,
Sample,12/10/2023 08:25,23,,,12277842,17.353834,3353543,1.094583,13.061999,-80.490005,10.729928,,1.29775,,21.459856,
Sample,12/10/2023 08:25,23,,,12278125,17.350629,3352460,1.094227,14.912,-80.529999,12.251264,,1.292928,,24.502529,
Sample,12/10/2023 08:25,23,,,12278073,17.351218,3352789,1.094335,13.870999,-81.190002,11.395204,,1.294393,,22.790407,
Sample,12/10/2023 08:25,23,,,12278234,17.349395,3372386,1.100779,12.801999,-79.650002,10.516118,,1.380976,,21.032236,
Sample,12/10/2023 08:25,23,,,12278493,17.346462,3361338,1.097146,13.879001,-76.840004,11.401784,,1.332328,,22.803568,
Sample,12/10/2023 08:25,23,,,12278680,17.344344,3361070,1.097058,14.085001,-76.370003,11.571187,,1.331143,,23.142374,
Sample,12/10/2023 08:25,23,,,12278896,17.341898,3356315,1.095494,13.580999,-79.509995,11.156724,,1.310071,,22.313448,
Sample,12/10/2023 08:26,23,,,12279279,17.337561,3379426,1.103094,13.094,-78.849998,10.756243,,1.411765,,21.512486,
Sample,12/10/2023 08:26,23,,,12279492,17.335149,3373233,1.101058,13.914999,-80.459999,11.431387,,1.384689,,22.862774,
Sample,12/10/2023 08:26,23,,,12279330,17.336983,3367774,1.099262,13.93,-76.050003,11.443723,,1.360718,,22.887445,
Sample,12/10/2023 08:26,23,,,12279216,17.338274,3370567,1.100181,14.282,-78.699997,11.733188,,1.372994,,23.466375,
Sample,12/10/2023 08:26,23,,,12279142,17.339112,3369485,1.099825,14.867,-79.779999,12.214259,,1.368242,,24.428518,
Sample,12/10/2023 08:26,23,,,12278933,17.341479,3360646,1.096918,18.675999,-77.709999,15.346567,,1.329267,,30.693134,
Sample,12/10/2023 08:26,23,,,12278698,17.34414,3356533,1.095566,15.689,-77.449997,12.890226,,1.311039,,25.780453,
Sample,12/10/2023 08:26,23,,,12278628,17.344933,3358433,1.096191,14.544001,-78.07,11.948643,,1.319467,,23.897285,
Sample,12/10/2023 08:26,23,,,12278612,17.345114,3363175,1.09775,14.500999,-76.940002,11.913281,,1.340446,,23.826561,
Sample,12/10/2023 08:26,23,,,12278730,17.343778,3368089,1.099366,14.311,-79.409996,11.757036,,1.362104,,23.514072,
Sample,12/10/2023 08:26,23,,,12278907,17.341774,3367766,1.09926,15.106,-78.279999,12.410799,,1.360683,,24.821598,
Sample,12/10/2023 08:26,23,,,12278791,17.343087,3354296,1.09483,13.808001,-79.970001,11.343397,,1.301099,,22.686794,
Sample,12/10/2023 08:26,23,,,12278670,17.344457,3354497,1.094896,14.872,-78.349998,12.218371,,1.301993,,24.436741,
