Time,Temp,IR,Vis,Lux,VBAT,turbidity_std
26/09/2024 13:51,27.5,3804,5385,75,3.72,0
26/09/2024 13:51,27.47,3803,5384,75,3.72,0
26/09/2024 13:51,27.39,3804,5386,75,3.72,0
26/09/2024 13:52,27.33,3804,5387,75,3.72,0
26/09/2024 13:52,27.19,3804,5388,75,3.72,0
26/09/2024 13:52,27.06,3804,5389,75,3.72,0
26/09/2024 13:52,26.96,3805,5390,75,3.72,0
26/09/2024 13:52,26.86,3804,5390,75,3.72,0
26/09/2024 13:53,26.73,3805,5392,75,3.72,0
26/09/2024 13:53,26.64,3805,5392,75,3.72,0
26/09/2024 13:53,26.51,3805,5393,75,3.72,0
26/09/2024 13:53,26.39,3805,5393,75,3.72,0
26/09/2024 13:54,26.34,3805,5393,76,3.72,0
26/09/2024 13:54,26.23,3805,5393,76,3.72,0
26/09/2024 13:54,26.14,3805,5394,76,3.72,0
26/09/2024 13:54,26.02,3804,5394,76,3.72,0
26/09/2024 13:55,25.97,3804,5393,76,3.72,0
26/09/2024 13:55,25.89,3804,5393,76,3.72,0
26/09/2024 13:55,25.77,3805,5395,76,3.72,0
26/09/2024 13:55,25.72,3805,5394,76,3.72,0
26/09/2024 13:56,25.64,3802,5390,75,3.72,0
26/09/2024 13:56,25.59,3806,5397,76,3.72,0
26/09/2024 13:56,25.53,3804,5394,76,3.72,0
26/09/2024 13:56,25.46,3804,5394,76,3.72,0
26/09/2024 13:57,25.4,3804,5394,76,3.72,0
26/09/2024 13:57,25.35,3804,5394,76,3.72,0
26/09/2024 13:57,25.31,3804,5395,76,3.72,0
26/09/2024 13:57,25.25,3804,5396,76,3.72,0
26/09/2024 16:24,21.97,3406,4941,77,3.71,20
26/09/2024 16:25,21.98,3405,4936,77,3.7,20
26/09/2024 16:25,21.99,3405,4935,77,3.7,20
26/09/2024 16:25,21.94,3406,4936,77,3.7,20
26/09/2024 16:25,21.96,3408,4938,76,3.71,20
26/09/2024 16:26,21.96,3410,4940,77,3.71,20
26/09/2024 16:26,21.99,3411,4943,77,3.71,20
26/09/2024 16:26,21.98,3413,4945,77,3.7,20
26/09/2024 16:26,21.98,3415,4948,77,3.7,20
26/09/2024 16:27,21.98,3416,4949,77,3.71,20
26/09/2024 16:27,22,3417,4950,77,3.7,20
26/09/2024 16:27,21.99,3419,4953,77,3.71,20
26/09/2024 16:27,21.97,3422,4958,77,3.7,20
26/09/2024 16:28,21.98,3425,4963,77,3.71,20
26/09/2024 16:28,21.99,3417,4942,76,3.7,20
26/09/2024 16:28,21.97,3403,4888,73,3.71,20
26/09/2024 16:28,22,3340,4740,67,3.7,20
26/09/2024 16:29,21.98,3452,5014,78,3.7,20
26/09/2024 16:29,22,3459,5023,79,3.7,20
26/09/2024 16:29,21.98,3460,5017,78,3.7,20
26/09/2024 16:29,22,3468,5041,79,3.7,20
26/09/2024 16:29,22,3478,5063,80,3.7,20
26/09/2024 16:30,22,3483,5073,81,3.7,20
26/09/2024 16:30,22,3489,5085,81,3.7,20
26/09/2024 16:30,22,3491,5089,81,3.7,20
26/09/2024 16:30,22,3497,5099,81,3.7,20
26/09/2024 16:31,22,3504,5115,82,3.7,20
26/09/2024 16:31,22,3512,5130,83,3.7,20
26/09/2024 16:31,21.98,3518,5142,83,3.7,20
26/09/2024 16:31,22,3526,5159,84,3.7,20
26/09/2024 16:32,22,3534,5176,84,3.7,20
26/09/2024 16:32,22,3541,5190,85,3.7,20
26/09/2024 16:32,21.99,3546,5201,85,3.7,20
26/09/2024 16:32,21.99,3550,5211,86,3.7,20
26/09/2024 16:33,22,3554,5218,86,3.7,20
26/09/2024 16:33,22,3556,5222,86,3.7,20
26/09/2024 16:33,22,3557,5225,86,3.7,20
26/09/2024 16:33,21.98,3557,5227,86,3.7,20
26/09/2024 16:34,21.98,3556,5224,86,3.71,20
26/09/2024 16:34,22,3551,5216,86,3.7,20
26/09/2024 16:34,22,3544,5204,85,3.7,20
26/09/2024 16:34,22,3540,5194,85,3.71,20
26/09/2024 16:35,22,3533,5180,85,3.71,20
26/09/2024 16:35,21.98,3520,5157,84,3.7,20
26/09/2024 16:35,21.98,3515,5148,84,3.71,20
26/09/2024 16:35,21.98,3513,5140,83,3.7,20
26/09/2024 16:36,22,3505,5125,83,3.7,20
26/09/2024 16:36,21.99,3499,5113,82,3.7,20
26/09/2024 16:36,21.97,3493,5101,82,3.7,20
26/09/2024 16:36,21.98,3488,5091,82,3.7,20
26/09/2024 16:37,21.96,3488,5091,81,3.7,20
26/09/2024 16:37,21.97,3492,5095,82,3.7,20
26/09/2024 16:37,21.96,3497,5102,82,3.7,20
26/09/2024 16:37,21.96,3499,5106,82,3.7,20
26/09/2024 16:38,21.96,3500,5107,82,3.7,20
26/09/2024 16:38,21.96,3495,5101,82,3.7,20
26/09/2024 16:38,21.94,3490,5093,82,3.7,20
26/09/2024 16:38,21.96,3486,5089,81,3.7,20
26/09/2024 16:38,21.94,3486,5088,82,3.7,20
26/09/2024 16:39,21.96,3486,5089,82,3.7,20
26/09/2024 16:39,21.94,3488,5094,82,3.7,20
26/09/2024 16:39,21.98,3491,5102,82,3.7,20
26/09/2024 16:39,21.96,3493,5108,82,3.7,20
26/09/2024 16:40,21.96,3495,5111,83,3.7,20
26/09/2024 16:40,21.94,3493,5109,82,3.7,20
26/09/2024 16:40,21.94,3488,5099,82,3.7,20
26/09/2024 16:40,21.96,3480,5084,82,3.7,20
26/09/2024 16:41,21.94,3473,5068,81,3.7,20
26/09/2024 16:41,21.94,3463,5050,80,3.7,20
26/09/2024 16:41,21.94,3456,5034,80,3.7,20
26/09/2024 16:41,21.94,3448,5018,79,3.7,20
26/09/2024 16:42,21.94,3440,5003,79,3.7,20
26/09/2024 16:42,21.94,3434,4992,78,3.7,20
26/09/2024 16:42,21.94,3432,4985,78,3.7,20
26/09/2024 16:42,21.94,3429,4980,78,3.7,20
26/09/2024 16:43,21.94,3411,4893,72,3.7,20
26/09/2024 16:43,21.94,3434,4972,77,3.7,20
26/09/2024 16:43,21.94,3433,4970,77,3.7,20
26/09/2024 16:43,21.96,3433,4969,77,3.7,20
26/09/2024 16:44,21.94,3433,4970,77,3.7,20
26/09/2024 16:44,21.94,3433,4969,77,3.7,20
26/09/2024 16:44,21.94,3433,4970,77,3.7,20
