Time,Temp,IR,Vis,Lux,VBAT,turbidity_std,,
26/09/2024 14:20,22.69,3353,5219,108,3.59,0,,3399.765625
26/09/2024 14:20,22.74,3359,5230,109,3.59,0,,3254
26/09/2024 14:20,22.72,3369,5250,109,3.59,0,,3564
26/09/2024 14:20,22.71,3381,5274,110,3.59,0,,
26/09/2024 14:21,22.71,3394,5297,111,3.59,0,,
26/09/2024 14:21,22.71,3407,5321,112,3.59,0,,
26/09/2024 14:21,22.71,3421,5349,113,3.59,0,,
26/09/2024 14:21,22.74,3456,5437,117,3.59,0,,
26/09/2024 14:21,22.72,3467,5470,119,3.59,0,,
26/09/2024 14:22,22.75,3524,5594,124,3.59,0,,
26/09/2024 14:22,22.73,3563,5667,126,3.59,0,,
26/09/2024 14:22,22.75,3525,5604,125,3.59,0,,
26/09/2024 14:22,22.75,3521,5586,124,3.59,0,,
26/09/2024 14:23,22.75,3519,5562,122,3.59,0,,
26/09/2024 14:23,22.75,3438,5392,115,3.59,0,,
26/09/2024 14:23,22.75,3402,5321,112,3.59,0,,
26/09/2024 14:23,22.75,3433,5405,116,3.59,0,,
26/09/2024 14:24,22.75,3439,5415,117,3.59,0,,
26/09/2024 14:24,22.75,3419,5356,113,3.59,0,,
26/09/2024 14:24,22.75,3417,5349,113,3.59,0,,
26/09/2024 14:24,22.75,3467,5456,117,3.59,0,,
26/09/2024 14:25,22.75,3434,5390,115,3.59,0,,
26/09/2024 14:25,22.75,3449,5428,117,3.59,0,,
26/09/2024 14:25,22.75,3517,5605,126,3.59,0,,
26/09/2024 14:25,22.75,3539,5653,128,3.59,0,,
26/09/2024 14:26,22.75,3497,5542,122,3.59,0,,
26/09/2024 14:26,22.75,3479,5504,121,3.59,0,,
26/09/2024 14:26,22.75,3487,5518,121,3.59,0,,
26/09/2024 14:26,22.75,3539,5642,127,3.59,0,,
26/09/2024 14:27,22.75,3528,5615,126,3.59,0,,
26/09/2024 14:27,22.75,3513,5595,125,3.59,0,,
26/09/2024 14:27,22.75,3376,5260,109,3.59,0,,
26/09/2024 14:27,22.75,3345,5190,106,3.59,0,,
26/09/2024 14:28,22.75,3370,5250,109,3.59,0,,
26/09/2024 14:28,22.75,3368,5236,108,3.59,0,,
26/09/2024 14:28,22.78,3384,5259,108,3.59,0,,
26/09/2024 14:28,22.77,3442,5370,112,3.59,0,,
26/09/2024 14:29,22.8,3426,5338,111,3.59,0,,
26/09/2024 14:29,22.8,3419,5332,111,3.59,0,,
26/09/2024 14:29,22.77,3423,5329,110,3.59,0,,
26/09/2024 14:29,22.79,3378,5220,105,3.59,0,,
26/09/2024 14:30,22.81,3367,5202,105,3.59,0,,
26/09/2024 14:30,22.79,3379,5230,106,3.59,0,,
26/09/2024 14:30,22.8,3349,5154,102,3.59,0,,
26/09/2024 14:30,22.8,3322,5095,100,3.59,0,,
26/09/2024 14:31,22.81,3320,5091,100,3.59,0,,
26/09/2024 14:31,22.8,3334,5123,101,3.59,0,,
26/09/2024 14:31,22.8,3335,5128,101,3.59,0,,
26/09/2024 14:31,22.81,3325,5098,100,3.59,0,,
26/09/2024 14:31,22.81,3284,5024,97,3.59,0,,
26/09/2024 14:32,22.81,3343,5138,101,3.59,0,,
26/09/2024 14:32,22.81,3298,5052,98,3.59,0,,
26/09/2024 14:32,22.81,3254,4967,96,3.59,0,,
26/09/2024 14:32,22.81,3302,5054,98,3.59,0,,
26/09/2024 14:33,22.81,3299,5044,98,3.59,0,,
26/09/2024 14:33,22.81,3323,5086,99,3.59,0,,
