Time,Temp,IR,Vis,Lux,Accel_X,Accel_Y,Accel_Z,Tilt,Mag_X,Mag_Y,Mag_Z,H.Angle,Direction
2024/11/02 17:43:00,21.12,3718,5035,56,-1.53,9.75,-0.21,8,356.77,380.25,0.37,6,N
2024/11/02 17:43:01,21.12,3715,5027,55,-2.07,9.47,-0.61,12,358.40,380.11,2.33,13,N
2024/11/02 17:43:01,21.12,3711,5020,55,-2.05,9.81,-0.47,12,357.06,377.29,1.76,10,N
2024/11/02 17:43:02,21.12,3705,5009,55,3.44,9.41,2.89,25,353.10,359.28,-8.45,250,W
2024/11/02 17:43:02,21.12,3703,5006,55,2.49,9.37,2.00,18,354.26,360.24,-8.08,238,SW
2024/11/02 17:43:03,21.12,3703,5005,55,2.71,9.25,2.21,20,353.92,359.06,-8.46,241,SW
2024/11/02 17:43:03,21.12,3704,5004,55,1.26,9.62,1.34,10,352.84,364.95,-4.90,238,SW
2024/11/02 17:43:04,21.12,3704,5004,55,0.87,9.91,0.35,5,354.00,366.94,-1.13,205,SW
2024/11/02 17:43:04,21.12,3703,5003,55,0.62,9.80,-0.45,4,356.93,366.87,2.25,140,SE
2024/11/02 17:43:05,21.12,3702,5002,55,2.31,9.64,0.32,13,356.20,360.06,-0.15,191,S
2024/11/02 17:43:05,21.12,3701,5001,55,2.80,9.32,0.99,17,356.52,359.28,-2.84,210,SW
2024/11/02 17:43:06,21.12,3701,5000,55,2.86,9.41,1.07,17,356.01,357.60,-4.46,212,SW
2024/11/02 17:43:06,21.12,3702,5001,55,2.81,9.28,1.63,19,354.69,356.39,-5.37,227,SW
2024/11/02 17:43:07,21.12,3701,5000,55,2.86,9.34,1.55,19,355.02,356.61,-5.81,225,SW
2024/11/02 17:43:07,21.12,3703,5001,54,0.98,9.63,1.74,11,354.00,366.12,-5.16,253,W
2024/11/02 17:43:08,21.12,3706,5005,55,-1.75,9.69,0.97,11,355.45,378.97,-2.59,336,NW
2024/11/02 17:43:08,21.12,3708,5006,54,-2.47,9.89,-0.69,14,357.26,380.46,-0.52,12,N
2024/11/02 17:43:09,21.19,3709,5008,54,-1.64,9.79,0.23,9,355.77,378.55,-1.62,354,N
2024/11/02 17:43:09,21.19,3709,5009,55,-1.81,10.07,0.02,10,355.12,378.30,-1.62,0,N
2024/11/02 17:43:10,21.19,3710,5009,54,-1.39,9.69,0.31,8,355.29,379.02,-1.07,349,N
2024/11/02 17:43:16,21.19,3820,5152,56,-1.69,9.76,0.21,9,358.35,388.72,-3.72,355,N
2024/11/02 17:43:16,21.19,3815,5140,55,-0.48,10.04,2.95,16,353.76,385.65,-10.36,295,NW
2024/11/02 17:43:17,21.19,3814,5137,55,-1.30,8.99,4.35,26,353.87,381.73,-9.69,307,NW
2024/11/02 17:43:17,21.19,3811,5131,55,0.41,9.66,1.64,9,354.03,381.55,-8.18,267,W
2024/11/02 17:43:18,21.31,3810,5130,55,-0.60,9.65,1.73,10,353.54,381.29,-8.98,299,NW
2024/11/02 17:43:18,21.31,3807,5125,55,0.07,9.73,2.11,12,352.02,376.80,-10.82,281,W
2024/11/02 17:43:19,21.31,3808,5125,55,-0.10,9.90,0.99,5,352.21,379.16,-9.54,283,W
2024/11/02 17:43:19,21.31,3808,5125,55,-0.59,9.89,0.76,5,353.86,380.86,-7.92,313,NW
2024/11/02 17:43:20,21.31,3808,5125,55,-0.39,9.71,1.53,9,353.69,380.41,-7.57,294,NW
2024/11/02 17:43:20,21.31,3809,5126,55,-2.04,9.87,1.08,13,353.50,378.85,-5.27,338,N
2024/11/02 17:43:21,21.31,3810,5127,55,-2.36,9.57,0.49,14,355.40,375.35,0.22,351,N
2024/11/02 17:43:21,21.38,3810,5127,55,-2.97,9.76,-1.13,18,356.19,373.09,1.35,16,N
2024/11/02 17:43:22,21.38,3810,5126,55,-3.35,9.25,0.01,19,354.79,378.08,-1.09,0,N
2024/11/02 17:43:22,21.38,3805,5119,55,-0.04,9.97,-0.77,4,354.16,379.38,-3.66,83,E
2024/11/02 17:43:23,21.38,3806,5119,54,-0.44,9.88,0.40,3,353.49,378.17,-4.92,321,NW
2024/11/02 17:43:23,21.38,3804,5117,54,0.67,9.52,1.17,8,353.76,373.28,-5.69,249,W
2024/11/02 17:43:24,21.38,3804,5117,54,0.76,9.72,1.42,9,352.95,373.97,-5.42,252,W
2024/11/02 17:43:24,21.38,3804,5117,54,0.76,9.57,2.16,13,352.88,367.40,-8.00,266,W
2024/11/02 17:43:25,21.44,3805,5118,54,1.69,9.67,1.27,12,353.10,372.54,-6.95,228,SW
2024/11/02 17:43:25,21.44,3805,5118,54,1.59,9.82,0.77,10,353.29,374.63,-6.75,213,SW
2024/11/02 17:43:31,21.44,3824,5154,56,-0.43,9.93,0.46,3,353.68,380.26,-4.80,317,NW
2024/11/02 17:43:32,21.44,3820,5144,55,-1.83,10.06,0.24,10,355.36,383.77,-4.76,355,N
2024/11/02 17:43:32,21.44,3817,5139,55,-1.83,9.89,-0.20,10,355.84,383.78,-4.67,5,N
