Time,Temp,IR,Vis,Lux,Accel_X,Accel_Y,Accel_Z,Tilt,VBAT
2023/09/07 08:38:16,25.47,3934,5544,75,0.36,8.72,0.60,4,3.72
2023/09/07 08:38:30,25.66,3903,5477,73,-0.21,7.30,1.57,12,3.72
2023/09/07 08:38:45,25.92,3903,5483,73,0.23,10.00,0.18,1,3.72
2023/09/07 08:38:59,26.12,3897,5473,73,0.23,10.01,0.19,1,3.72
2023/09/07 08:39:14,26.30,3880,5440,72,0.23,10.02,0.18,1,3.72
2023/09/07 08:39:29,26.48,3888,5456,73,0.23,10.01,0.19,1,3.72
2023/09/07 08:39:43,26.60,3891,5461,73,0.23,10.00,0.20,1,3.72
2023/09/07 08:39:58,26.69,3942,5496,71,-0.92,-7.55,4.96,33,3.76
2023/09/07 09:00:08,25.94,3971,5629,79,0.23,10.00,0.32,2,3.73
2023/09/07 09:00:22,26.16,3954,5594,78,0.23,10.01,0.31,2,3.73
2023/09/07 09:00:37,26.39,3949,5586,78,0.23,10.00,0.31,2,3.73
2023/09/07 09:00:52,26.59,3957,5604,78,0.23,9.99,0.31,2,3.73
2023/09/07 09:01:06,26.74,3984,5661,80,0.22,10.01,0.30,2,3.73
2023/09/07 09:01:21,26.92,3996,5686,81,0.22,10.00,0.30,2,3.73
2023/09/07 09:01:35,27.00,3976,5646,80,0.22,10.00,0.31,2,3.73
2023/09/07 09:01:50,27.12,3968,5629,79,0.24,10.00,0.32,2,3.73
2023/09/07 09:02:05,27.19,3984,5662,80,0.23,9.99,0.31,2,3.73
2023/09/07 09:02:19,27.26,3993,5683,81,0.23,10.00,0.31,2,3.73
2023/09/07 09:02:34,27.34,4000,5698,82,0.22,10.00,0.30,2,3.73
2023/09/07 09:02:48,27.38,4001,5700,82,0.22,10.00,0.31,2,3.73
2023/09/07 09:03:03,27.43,4000,5698,82,0.20,9.98,0.31,2,3.73
2023/09/07 09:03:18,27.46,3998,5693,81,0.22,10.01,0.30,2,3.73
2023/09/07 09:03:32,27.50,3997,5692,81,0.21,9.99,0.31,2,3.73
2023/09/07 09:03:47,27.50,3996,5690,81,0.23,10.00,0.31,2,3.73
2023/09/07 09:04:01,27.56,3992,5681,81,0.22,10.00,0.31,2,3.73
2023/09/07 09:04:16,27.56,3970,5637,79,0.22,10.00,0.32,2,3.73
2023/09/07 09:04:31,27.56,3955,5604,78,0.23,10.00,0.30,2,3.73
2023/09/07 09:04:45,27.56,3941,5576,77,0.23,10.01,0.32,2,3.73
2023/09/07 09:05:00,27.62,3924,5540,76,0.22,10.00,0.30,2,3.73
2023/09/07 09:05:14,27.62,3929,5550,76,0.23,10.00,0.31,2,3.73
2023/09/07 09:05:29,27.62,3938,5568,77,0.22,10.00,0.31,2,3.72
2023/09/07 09:05:44,27.62,3945,5583,78,0.22,10.00,0.32,2,3.73
2023/09/07 09:05:58,27.62,3953,5600,78,0.23,10.01,0.31,2,3.72
2023/09/07 09:06:13,27.62,3964,5625,79,0.22,10.00,0.32,2,3.73
2023/09/07 09:06:27,27.62,3973,5642,80,0.22,10.00,0.31,2,3.73
2023/09/07 09:06:42,27.62,3980,5657,80,0.23,10.00,0.31,2,3.73
2023/09/07 09:06:57,27.62,3971,5639,80,0.23,10.00,0.31,2,3.72
2023/09/07 09:07:11,27.62,3970,5634,79,0.23,10.00,0.32,2,3.72
2023/09/07 09:07:26,27.62,3967,5629,79,0.23,10.00,0.31,2,3.72
2023/09/07 09:07:40,27.62,3966,5629,79,0.23,10.00,0.32,2,3.73
2023/09/07 09:07:55,27.62,3947,5590,78,0.22,10.01,0.31,2,3.73
2023/09/07 09:08:10,27.62,3934,5563,77,0.23,10.00,0.31,2,3.72
2023/09/07 09:08:24,27.62,3932,5558,77,0.22,9.99,0.32,2,3.73
2023/09/07 09:08:39,27.62,3946,5585,78,0.22,10.00,0.32,2,3.73
2023/09/07 09:08:53,27.62,3944,5582,78,0.25,10.00,0.31,2,3.72
2023/09/07 09:09:08,27.62,3937,5569,77,0.23,10.00,0.32,2,3.73
2023/09/07 09:09:23,27.62,3943,5580,78,0.22,10.00,0.30,2,3.73
2023/09/07 09:09:37,27.62,3948,5590,78,0.22,10.00,0.30,2,3.73
2023/09/07 09:09:52,27.62,3951,5596,78,0.22,10.00,0.30,2,3.72
2023/09/07 09:10:06,27.62,3950,5596,78,0.22,10.01,0.31,2,3.72
2023/09/07 09:10:21,27.62,3954,5603,78,0.22,10.00,0.31,2,3.72
2023/09/07 09:10:36,27.62,3955,5605,79,0.22,9.99,0.31,2,3.72
2023/09/07 09:10:50,27.62,3947,5589,78,0.21,9.99,0.31,2,3.72
2023/09/07 09:11:05,27.62,3945,5583,78,0.21,10.00,0.31,2,3.72
2023/09/07 09:29:07,26.20,3867,5400,70,0.23,10.00,0.21,1,3.73
2023/09/07 09:29:21,26.42,3864,5396,70,0.21,9.99,0.22,1,3.73
2023/09/07 09:29:36,26.67,3865,5397,70,0.22,10.00,0.24,1,3.73
2023/09/07 09:29:51,26.89,3865,5399,70,0.22,10.00,0.25,1,3.73
2023/09/07 09:30:05,27.08,3873,5416,71,0.22,10.00,0.24,1,3.73
2023/09/07 09:30:20,27.23,3907,5482,73,0.22,10.00,0.23,1,3.73
2023/09/07 09:30:34,27.37,3912,5492,73,0.22,10.00,0.25,1,3.73
2023/09/07 09:30:49,27.48,3926,5518,74,0.25,9.99,0.32,2,3.73
2023/09/07 09:31:04,27.60,3928,5523,74,0.23,10.00,0.24,1,3.73
2023/09/07 09:31:18,27.68,3946,5559,75,0.22,10.00,0.24,1,3.73
