Time,Temp,IR,Vis,Lux,Accel_X,Accel_Y,Accel_Z,Tilt,Mag_X,Mag_Y,Mag_Z,H.Angle,Direction
2024/12/12 07:30:48,20.75,3632,5150,73,4.52,8.53,1.62,29,82.43,-287.33,-275.97,336,NW
2024/12/12 07:30:49,20.75,3619,5125,72,4.51,8.54,1.54,29,83.55,-287.29,-275.79,335,NW
2024/12/12 07:30:49,20.75,3610,5110,71,4.49,8.53,1.62,29,84.67,-287.03,-276.06,336,NW
2024/12/12 07:30:50,20.75,3603,5099,71,4.52,8.49,1.59,29,84.01,-287.75,-275.80,336,NW
2024/12/12 07:30:50,20.75,3598,5092,71,4.47,8.51,1.58,29,84.82,-287.50,-275.98,336,NW
2024/12/12 07:30:51,20.62,3595,5086,71,4.50,8.49,1.59,29,83.86,-287.76,-276.07,336,NW
2024/12/12 07:30:51,20.62,3592,5081,71,4.51,8.50,1.58,29,83.23,-287.55,-276.07,336,NW
2024/12/12 07:30:52,20.62,3588,5076,71,4.52,8.53,1.63,29,83.35,-289.18,-275.82,336,NW
2024/12/12 07:30:52,20.62,3586,5072,71,4.50,8.50,1.57,29,83.37,-288.25,-276.17,336,NW
2024/12/12 07:30:53,20.62,3584,5069,70,4.48,8.47,1.59,29,82.88,-288.97,-276.09,336,NW
2024/12/12 07:30:53,20.62,3582,5066,70,4.51,8.52,1.60,29,83.22,-287.78,-276.16,336,NW
2024/12/12 07:30:54,20.62,3582,5065,70,4.45,8.54,1.53,28,83.22,-287.78,-276.16,335,NW
2024/12/12 07:30:54,20.69,3579,5061,70,4.51,8.49,1.55,29,83.37,-288.25,-276.08,335,NW
2024/12/12 07:30:55,20.69,3578,5060,70,4.46,8.50,1.61,29,83.06,-288.01,-275.80,336,NW
2024/12/12 07:30:55,20.69,3577,5057,70,4.48,8.49,1.56,29,84.15,-288.92,-275.91,336,NW
2024/12/12 07:30:56,20.69,3576,5056,70,4.49,8.56,1.60,29,84.14,-289.39,-275.73,336,NW
2024/12/12 07:30:56,20.69,3575,5054,70,4.49,8.56,1.57,29,83.99,-289.17,-276.00,336,NW
2024/12/12 07:30:57,20.69,3573,5052,70,4.50,8.49,1.64,29,85.28,-288.20,-276.26,336,NW
2024/12/12 07:30:57,20.69,3573,5051,70,4.48,8.56,1.62,29,83.69,-288.00,-275.98,336,NW
2024/12/12 07:30:58,20.75,3572,5047,70,4.48,8.53,1.63,29,83.06,-287.78,-275.89,336,NW
2024/12/12 08:00:59,20.75,3619,5135,73,4.53,8.45,1.61,29,83.53,-288.25,-276.26,336,NW
2024/12/12 08:00:59,20.75,3604,5109,72,4.50,8.54,1.62,29,83.87,-287.30,-276.15,336,NW
2024/12/12 08:01:00,20.75,3596,5094,71,4.53,8.49,1.61,29,82.44,-287.12,-276.60,336,NW
2024/12/12 08:01:00,20.75,3590,5084,71,4.50,8.48,1.59,29,82.89,-288.26,-276.08,336,NW
2024/12/12 08:01:01,20.75,3584,5075,71,4.51,8.53,1.60,29,83.21,-288.27,-276.44,336,NW
2024/12/12 08:01:01,20.75,3581,5071,71,4.51,8.49,1.62,29,83.55,-287.34,-276.97,336,NW
2024/12/12 08:01:02,20.00,3580,5067,71,4.50,8.52,1.63,29,83.23,-287.58,-276.88,336,NW
2024/12/12 08:01:02,20.00,3577,5062,71,4.50,8.52,1.60,29,84.01,-288.02,-276.80,336,NW
2024/12/12 08:01:03,20.00,3575,5058,70,4.55,8.52,1.61,29,83.84,-288.71,-276.36,336,NW
2024/12/12 08:01:03,20.00,3573,5056,70,4.48,8.57,1.61,29,83.20,-288.98,-276.63,336,NW
2024/12/12 08:01:04,20.00,3571,5053,70,4.51,8.47,1.64,29,83.71,-287.33,-277.06,336,NW
2024/12/12 08:01:04,20.00,3569,5050,70,4.53,8.46,1.64,29,83.51,-289.44,-276.64,336,NW
2024/12/12 08:01:05,20.00,3568,5048,70,4.56,8.55,1.65,29,83.69,-288.49,-276.62,336,NW
2024/12/12 08:01:05,20.00,3567,5046,70,4.49,8.49,1.58,29,83.54,-288.02,-276.43,336,NW
2024/12/12 08:01:06,20.00,3566,5044,70,4.48,8.51,1.63,29,84.17,-288.01,-276.71,336,NW
2024/12/12 08:01:06,20.00,3564,5043,70,4.54,8.50,1.61,29,84.01,-288.26,-276.80,336,NW
2024/12/12 08:01:07,20.00,3564,5041,70,4.49,8.54,1.61,29,84.66,-287.30,-276.79,336,NW
2024/12/12 08:01:07,20.00,3562,5040,70,4.53,8.50,1.63,29,84.01,-288.25,-276.62,336,NW
2024/12/12 08:01:08,20.00,3561,5038,70,4.52,8.54,1.62,29,83.04,-288.75,-276.62,336,NW
2024/12/12 08:01:08,20.00,3561,5036,70,4.56,8.48,1.65,29,82.71,-289.69,-276.37,336,NW
2024/12/12 08:31:09,20.12,4573,6447,88,4.50,0.80,8.71,85,113.31,-292.59,-314.11,38,NE
2024/12/12 08:31:10,20.12,4556,6415,87,4.47,0.82,8.68,85,114.29,-291.61,-313.83,37,NE
2024/12/12 08:31:10,20.12,4546,6399,87,4.47,0.78,8.74,85,113.61,-294.00,-314.50,39,NE
2024/12/12 08:31:11,20.12,4538,6386,87,4.45,0.81,8.71,85,114.59,-292.55,-314.21,38,NE
2024/12/12 08:31:11,20.12,4532,6375,86,4.50,0.83,8.70,85,113.64,-292.33,-313.75,37,NE
2024/12/12 08:31:12,20.12,4528,6369,86,4.51,0.83,8.70,85,113.46,-293.05,-314.12,37,NE
2024/12/12 08:31:12,20.12,4524,6363,86,4.51,0.82,8.69,85,114.75,-292.30,-314.02,37,NE
2024/12/12 08:31:13,20.00,4521,6357,86,4.48,0.83,8.68,85,114.90,-293.01,-314.21,37,NE
2024/12/12 08:31:13,20.00,4519,6353,86,4.46,0.84,8.70,85,113.95,-292.32,-313.93,38,NE
2024/12/12 08:31:14,20.00,4517,6350,86,4.49,0.81,8.74,85,113.45,-293.77,-314.49,38,NE
2024/12/12 08:31:14,20.00,4514,6345,86,4.48,0.86,8.67,84,113.47,-292.58,-314.11,37,NE
2024/12/12 08:31:15,20.00,4513,6344,86,4.48,0.80,8.68,85,114.10,-293.04,-314.39,38,NE
2024/12/12 08:31:15,20.00,4510,6340,86,4.51,0.80,8.64,85,114.90,-292.54,-314.12,37,NE
2024/12/12 08:31:16,20.00,4508,6337,86,4.46,0.81,8.69,85,113.81,-291.64,-314.28,38,NE
2024/12/12 08:31:16,20.00,4507,6335,86,4.48,0.83,8.69,85,114.26,-293.05,-314.66,37,NE
2024/12/12 08:31:17,20.00,4506,6332,85,4.45,0.80,8.67,85,113.63,-292.59,-314.48,38,NE
2024/12/12 08:31:17,20.00,4505,6332,86,4.43,0.82,8.70,85,115.04,-293.73,-314.77,38,NE
2024/12/12 08:31:18,20.00,4503,6330,86,4.45,0.85,8.58,84,113.92,-293.98,-314.32,37,NE
2024/12/12 08:31:18,20.00,4503,6328,85,4.47,0.82,8.72,85,114.27,-292.33,-314.20,38,NE
2024/12/12 08:31:19,20.00,4501,6326,85,4.50,0.80,8.70,85,114.11,-292.32,-314.02,38,NE
2024/12/12 09:01:20,20.12,4584,6463,89,4.50,0.84,8.72,85,111.19,-286.85,-309.87,37,NE
2024/12/12 09:01:20,20.12,4566,6430,88,4.50,0.85,8.65,84,111.04,-285.90,-309.59,37,NE
2024/12/12 09:01:21,20.12,4555,6412,87,4.51,0.81,8.70,85,110.75,-284.97,-309.66,37,NE
