Time,Temp,IR,Vis,Lux,Accel_X,Accel_Y,Accel_Z,Tilt,Mag_X,Mag_Y,Mag_Z,H.Angle,Direction,VBAT
2024/11/02 20:42:09,19.76,2240,3210,47,-4.78,6.03,-5.27,52,97.34,-320.19,-216.55,208,SW,3.34
2024/11/02 20:42:24,19.96,2265,3227,46,-5.02,7.37,-4.92,43,87.39,-311.20,-220.57,197,S,3.34
2024/11/02 20:42:40,20.17,2271,3244,47,-3.28,7.59,-2.89,39,74.07,-331.09,-237.08,184,S,3.34
2024/11/02 20:42:55,20.34,2242,3202,46,-0.81,9.00,-1.47,15,73.18,-335.67,-234.66,189,S,3.34
2024/11/02 20:43:11,20.52,2833,4087,62,-0.28,9.85,0.03,1,70.85,-321.37,-229.61,135,SE,3.34
2024/11/02 20:43:26,20.68,3346,4853,75,-0.33,9.85,0.00,1,70.83,-321.44,-229.49,143,SE,3.34
2024/11/02 20:43:41,20.79,3348,4856,76,-0.32,9.85,0.00,1,70.78,-321.83,-229.36,143,SE,3.34
2024/11/02 20:43:57,20.88,3344,4849,75,-0.32,9.85,-0.01,1,70.79,-321.67,-229.41,146,SE,3.34
2024/11/02 20:44:12,20.88,3346,4854,76,-0.33,9.84,-0.02,1,70.67,-321.68,-229.39,146,SE,3.34
2024/11/02 20:44:28,20.94,3349,4858,76,-0.32,9.85,0.00,1,70.59,-321.49,-229.29,143,SE,3.34
2024/11/02 20:44:43,20.94,3354,4865,76,-0.32,9.85,0.00,1,70.75,-321.82,-229.35,143,SE,3.34
2024/11/02 20:44:59,20.90,3360,4875,76,-0.32,9.85,-0.00,1,70.80,-321.47,-229.35,144,SE,3.34
2024/11/02 20:45:14,20.90,3369,4888,76,-0.33,9.84,-0.00,1,70.82,-321.37,-229.38,144,SE,3.34
2024/11/02 20:45:29,20.88,3377,4901,77,-0.32,9.85,-0.00,1,70.68,-321.39,-229.46,144,SE,3.34
2024/11/02 20:45:45,20.88,3383,4909,77,-0.33,9.84,-0.02,1,70.79,-321.76,-229.41,146,SE,3.34
2024/11/02 20:46:00,20.88,3376,4899,76,-0.34,9.84,-0.02,1,70.89,-321.71,-229.45,146,SE,3.34
2024/11/02 20:46:16,20.83,3383,4908,77,-0.32,9.84,-0.01,1,70.58,-321.75,-229.40,144,SE,3.34
2024/11/02 20:46:31,20.81,3346,4850,75,-0.33,9.85,-0.01,1,70.84,-321.51,-229.37,146,SE,3.34
2024/11/02 20:46:47,20.81,3335,4831,75,-0.34,9.83,-0.00,1,70.83,-321.57,-229.37,144,SE,3.34
2024/11/02 20:47:02,20.77,3348,4851,75,-0.32,9.85,-0.01,1,70.71,-321.80,-229.49,145,SE,3.34
2024/11/02 20:47:17,20.77,3346,4846,75,-0.33,9.85,-0.01,1,70.77,-321.81,-229.50,144,SE,3.34
2024/11/02 20:47:33,20.75,3362,4871,76,-0.32,9.84,-0.00,1,70.86,-321.77,-229.45,144,SE,3.34
2024/11/02 20:47:48,20.71,3373,4888,76,-0.33,9.85,-0.01,1,70.83,-321.51,-229.45,146,SE,3.34
2024/11/02 20:48:04,20.71,3419,4961,77,-0.32,9.85,-0.02,1,70.69,-321.90,-229.61,146,SE,3.34
2024/11/02 20:48:19,20.69,3442,4995,78,-0.32,9.84,-0.00,1,70.95,-321.66,-229.49,144,SE,3.34
2024/11/02 20:48:35,20.69,3454,5014,78,-0.33,9.85,-0.01,1,70.83,-321.75,-229.48,144,SE,3.34
2024/11/02 20:48:50,20.65,3467,5035,79,-0.33,9.84,-0.02,1,70.88,-321.52,-229.57,146,SE,3.34
2024/11/02 20:49:06,20.62,3485,5063,79,-0.32,9.86,-0.01,1,70.87,-321.53,-229.62,145,SE,3.34
2024/11/02 20:49:21,20.62,3501,5086,80,-0.33,9.85,-0.01,1,70.90,-321.66,-229.51,145,SE,3.34
2024/11/02 20:49:36,20.58,3512,5104,80,-0.33,9.85,-0.01,1,70.74,-321.92,-229.49,146,SE,3.33
2024/11/02 20:49:52,20.58,3519,5114,80,-0.32,9.85,-0.00,1,70.94,-321.47,-229.49,144,SE,3.34
2024/11/02 20:50:07,20.58,3512,5103,80,-0.32,9.84,-0.01,1,70.98,-321.90,-229.49,145,SE,3.33
2024/11/02 20:50:23,20.56,3508,5094,80,-0.32,9.85,0.00,1,70.82,-321.39,-229.57,143,SE,3.34
2024/11/02 20:50:38,20.56,3497,5075,79,-0.32,9.85,-0.02,1,70.95,-321.48,-229.57,146,SE,3.33
2024/11/02 20:50:54,20.52,3489,5061,79,-0.32,9.84,-0.01,1,70.97,-321.59,-229.63,145,SE,3.34
2024/11/02 20:51:09,20.50,3478,5045,79,-0.32,9.85,-0.01,1,71.02,-321.60,-229.57,145,SE,3.34
2024/11/02 20:51:24,20.50,3336,4828,74,-0.33,9.84,-0.01,1,70.90,-321.43,-229.57,145,SE,3.34
2024/11/02 20:51:40,20.50,3319,4801,74,-0.32,9.83,-0.01,1,71.09,-321.91,-229.61,145,SE,3.34
2024/11/02 20:51:55,20.48,3336,4828,74,-0.33,9.85,-0.00,1,71.09,-321.69,-229.70,144,SE,3.34
2024/11/02 20:52:11,20.46,3358,4864,75,-0.33,9.85,-0.02,1,71.22,-321.48,-229.64,147,SE,3.34
2024/11/02 20:52:26,20.46,3372,4887,76,-0.32,9.85,-0.03,1,71.17,-321.57,-229.69,149,SE,3.33
2024/11/02 20:52:42,20.44,3393,4921,77,-0.32,9.84,-0.01,1,71.26,-321.44,-229.72,144,SE,3.33
2024/11/02 20:52:57,20.44,3399,4930,77,-0.33,9.84,-0.01,1,70.97,-321.62,-229.70,146,SE,3.33
2024/11/02 20:53:12,20.44,3404,4938,77,-0.33,9.84,-0.01,1,71.02,-321.45,-229.73,145,SE,3.33
2024/11/02 20:53:28,20.44,3404,4938,77,-0.32,9.84,-0.02,1,71.05,-321.64,-229.54,146,SE,3.33
2024/11/02 20:53:43,20.42,3404,4940,77,-0.33,9.84,-0.01,1,71.04,-321.59,-229.76,145,SE,3.33
2024/11/02 20:53:59,20.40,3401,4937,77,-0.32,9.86,-0.01,1,70.80,-321.61,-229.74,145,SE,3.33
2024/11/02 20:54:14,20.40,3393,4923,77,-0.33,9.84,-0.00,1,71.05,-321.65,-229.65,144,SE,3.33
2024/11/02 20:54:30,20.38,3395,4927,77,-0.33,9.85,-0.02,1,71.02,-321.46,-229.67,146,SE,3.33
2024/11/02 20:54:45,20.38,3389,4918,77,-0.32,9.84,-0.01,1,71.12,-321.39,-229.70,145,SE,3.33
2024/11/02 20:55:00,20.38,3390,4918,77,-0.32,9.84,-0.02,1,70.85,-321.44,-229.67,146,SE,3.33
2024/11/02 20:55:16,20.38,3388,4916,77,-0.32,9.85,-0.02,1,71.28,-321.82,-229.63,146,SE,3.33
2024/11/02 20:55:31,20.38,3384,4910,76,-0.32,9.85,-0.00,1,71.14,-321.35,-229.87,143,SE,3.33
2024/11/02 20:55:47,20.38,3385,4912,77,-0.33,9.84,-0.00,1,70.95,-321.40,-229.82,143,SE,3.33
2024/11/02 20:56:02,20.38,3388,4916,77,-0.32,9.85,-0.01,1,70.88,-321.50,-229.72,145,SE,3.33
2024/11/02 20:56:18,20.38,3387,4913,77,-0.32,9.84,-0.01,1,71.02,-321.80,-229.66,145,SE,3.33
2024/11/02 20:56:33,20.33,3386,4913,76,-0.33,9.84,-0.02,1,70.83,-321.48,-229.78,147,SE,3.33
2024/11/02 20:56:48,20.33,3385,4911,77,-0.32,9.84,-0.02,1,71.31,-321.48,-229.73,146,SE,3.33
2024/11/02 20:57:04,20.35,3386,4912,76,-0.34,9.84,-0.01,1,71.04,-321.37,-229.77,145,SE,3.33
