site,datetime,date,time,temp,lux1,lux2,IR1,IR2,Accel_X,Accel_Y,Accel_Z,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,376.73,107.57,27820,10451,8.649466,3.393101,3.481361,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,376.73,107.57,27820,10451,8.620046,3.589234,3.344068,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,376.73,107.57,27820,10451,8.620046,3.589234,3.344068,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,380.83,107.57,28187,10451,8.571012,3.667687,3.246001,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,380.83,107.74,28187,10497,8.561206,3.77556,3.206774,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,380.83,107.74,28187,10497,8.561206,3.77556,3.206774,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,380.83,107.74,28187,10497,8.580819,3.824593,3.226388,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,380.83,107.74,28187,10497,8.580819,3.824593,3.226388,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,378,107.74,28054,10497,8.580819,3.736334,3.285228,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,378,107.74,28054,10497,8.580819,3.736334,3.285228,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,378,107.22,28054,10461,8.610239,3.579427,3.314648,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,378,107.22,28054,10461,8.639659,3.353874,3.402908,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,378,107.22,28054,10461,8.639659,3.353874,3.402908,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,378,107.22,28054,10461,8.698499,3.138128,3.510781,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,380.43,107.22,28119,10461,8.698499,3.138128,3.510781,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,380.43,106.86,28119,10459,8.757339,2.951802,3.559814,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,380.43,106.86,28119,10459,8.757339,2.951802,3.559814,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,380.43,106.86,28119,10459,8.786758,2.804702,3.599041,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,380.43,106.86,28119,10459,8.845598,2.726249,3.618654,,,,,,,,
6,07/04/2023 15:47,07/04/2023,15:47:00,13.62,382.39,106.86,28134,10459,8.845598,2.726249,3.618654,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,387.33,105.9,28088,10433,9.581098,2.471276,0.853179,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,387.33,105.67,28088,10459,9.581098,2.471276,0.853179,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,387.33,105.67,28088,10459,9.54187,2.490889,0.853179,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,385.23,105.67,27991,10459,9.54187,2.490889,0.853179,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,385.23,105.67,27991,10459,9.532064,2.500696,0.872792,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,385.23,105.67,27991,10459,9.532064,2.520309,0.882599,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,385.23,105.67,27991,10459,9.532064,2.520309,0.882599,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,385.23,105.18,27991,10414,9.532064,2.520309,0.931632,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,385.23,105.18,27991,10414,9.532064,2.520309,0.931632,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,385.76,105.18,27997,10414,9.532064,2.500696,1.000278,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,385.76,105.18,27997,10414,9.532064,2.500696,1.000278,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,385.76,105.18,27997,10414,9.512451,2.520309,1.039505,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,385.76,103.88,27997,10242,9.502644,2.530116,1.078732,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,385.76,103.88,27997,10242,9.502644,2.530116,1.078732,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,387.14,103.88,28049,10242,9.54187,2.500696,1.088538,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,387.14,103.88,28049,10242,9.54187,2.500696,1.088538,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,387.14,103.88,28049,10242,9.532064,2.530116,1.068925,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,387.14,103.88,28049,10242,9.532064,2.530116,1.068925,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,387.14,105.73,28049,10431,9.532064,2.530116,1.068925,,,,,,,,
6,07/04/2023 16:17,07/04/2023,16:17:00,13.62,387.14,105.73,28049,10431,9.473225,2.549729,1.059118,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,384.92,104.96,28061,10424,9.659551,0.509946,2.28495,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,384.92,104.96,28061,10424,9.659551,0.509946,2.28495,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,384.92,104.96,28061,10424,9.620324,0.558979,2.265336,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,384.92,104.96,28061,10424,9.620324,0.558979,2.265336,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,384.92,104.51,28061,10379,9.610518,0.598206,2.314369,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,382.27,104.51,27848,10379,9.639936,0.598206,2.304563,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,382.27,104.51,27848,10379,9.639936,0.598206,2.304563,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,382.27,104.51,27848,10379,9.659551,0.558979,2.304563,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,382.27,104.51,27848,10379,9.659551,0.558979,2.304563,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,382.27,104.51,27848,10379,9.698777,0.490333,2.25553,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,383.57,104.48,28005,10379,9.698777,0.490333,2.25553,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,383.57,104.48,28005,10379,9.71839,0.402073,2.186883,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,383.57,104.48,28005,10379,9.74781,0.343233,2.16727,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,383.57,104.48,28005,10379,9.74781,0.343233,2.16727,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,383.57,104.48,28005,10379,9.738004,0.26478,2.10843,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,383.57,103.89,28005,10350,9.738004,0.26478,2.10843,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,340.81,103.89,25288,10350,9.71839,0.225553,2.02017,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,340.81,103.89,25288,10350,9.71839,0.225553,2.02017,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,340.81,103.89,25288,10350,9.757617,0.17652,2.04959,,,,,,,,
6,07/04/2023 16:47,07/04/2023,16:47:00,10.94,340.81,103.89,25288,10350,9.757617,0.17652,2.04959,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,386.15,103.81,27951,10357,9.83607,-0.382459,1.363124,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,386.15,103.81,27951,10357,9.83607,-0.382459,1.363124,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,388.58,103.81,27899,10357,9.796844,-0.333426,1.529837,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,388.58,103.81,27899,10357,9.757617,-0.284393,1.676937,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,388.58,103.59,27899,10309,9.757617,-0.284393,1.676937,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,388.58,103.59,27899,10309,9.757617,-0.26478,1.75539,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,388.58,103.59,27899,10309,9.757617,-0.26478,1.75539,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,388.58,103.59,27899,10309,9.77723,-0.245166,1.824037,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,388.88,103.59,27815,10309,9.77723,-0.245166,1.824037,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,388.88,103.67,27815,10317,9.708584,-0.186326,1.90249,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,388.88,103.67,27815,10317,9.728197,-0.156906,1.912297,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,388.88,103.67,27815,10317,9.728197,-0.156906,1.912297,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,388.88,103.67,27815,10317,9.698777,-0.17652,1.941717,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,383.84,103.67,27673,10317,9.698777,-0.17652,1.941717,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,383.84,103.67,27673,10317,9.708584,-0.215746,1.922103,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,383.84,103.35,27673,10293,9.708584,-0.215746,1.922103,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,383.84,103.35,27673,10293,9.728197,-0.245166,1.90249,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,383.84,103.35,27673,10293,9.728197,-0.304006,1.863263,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,390.03,103.35,28135,10293,9.728197,-0.304006,1.863263,,,,,,,,
6,07/04/2023 17:17,07/04/2023,17:17:00,10.94,390.03,103.35,28135,10293,9.708584,-0.353039,1.81423,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,369.05,103.55,26714,10320,9.855683,-0.598206,0.382459,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,369.05,103.55,26714,10320,9.855683,-0.598206,0.382459,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,369.05,103.11,26714,10287,9.865491,-0.568786,0.304006,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,365.87,103.11,26549,10287,9.875297,-0.549172,0.284393,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,365.87,103.11,26549,10287,9.875297,-0.549172,0.284393,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,365.87,103.11,26549,10287,9.865491,-0.441299,0.333426,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,365.87,103.11,26549,10287,9.865491,-0.441299,0.333426,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,365.87,102.65,26549,10272,9.845877,-0.372653,0.392266,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,363.45,102.65,26470,10272,9.845877,-0.372653,0.392266,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,363.45,102.65,26470,10272,9.796844,-0.323619,0.490333,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,363.45,102.65,26470,10272,9.83607,-0.26478,0.676659,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,363.45,102.65,26470,10272,9.83607,-0.26478,0.676659,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,363.45,102.65,26470,10272,9.80665,-0.186326,0.833565,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,363.45,102.6,26470,10260,9.80665,-0.186326,0.833565,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,366.59,102.6,26598,10260,9.80665,-0.17652,1.049312,,,,,,,,
6,07/04/2023 17:47,07/04/2023,17:47:00,10.94,366.59,102.6,26598,10260,9.80665,-0.17652,1.049312,,,,,,,,
