Time,Temp,Lux1,Lux2,IR1,IR2,Accel_X,Accel_Y,Accel_Z,VBAT
25/04/2023 07:44,15.12,0,142.55,65535,14374.5,8.501875,-0.994885,2.754688,3.862
25/04/2023 08:14,15.12,0,140.5,65535,14233.65,-1.76961,-9.78949,-0.341271,3.862
25/04/2023 08:44,15.62,0,140.31,65535,14247.5,-1.735286,-9.795374,-0.431493,3.862
25/04/2023 09:14,15.62,0,140.07,65535,14246.7,-1.727932,-9.784586,-0.423157,3.86
25/04/2023 09:44,14.12,0,139.69,65535,14235.25,-1.542096,-9.830187,-0.038246,3.862
25/04/2023 10:14,13.12,0,139.38,65535,14229.75,-1.68135,-9.772818,-0.695291,3.856
25/04/2023 10:44,12.38,0,139.28,65535,14218.45,9.879221,-0.172597,0.760506,3.856
25/04/2023 11:14,12.38,0,139.48,65535,14215,-0.819836,-9.978266,-0.461893,3.858
25/04/2023 11:44,-2048,462.69,126.95,40194.25,14040.25,9.446745,1.487178,2.817451,3.858
25/04/2023 12:14,13.88,462.13,125.32,40284.4,13970.5,9.34868,1.683802,2.5816,3.858
25/04/2023 12:44,13.88,459.4,125.35,40041,13942.1,9.676714,1.701944,0.989981,3.858
25/04/2023 13:14,11.06,458.18,127.37,39857.2,14061.4,9.737514,1.735287,0.232908,3.858
25/04/2023 13:44,10.81,456.06,126.35,39707.15,14088.05,9.862547,0.726182,0.296161,3.854
25/04/2023 14:14,10.81,464.82,125.72,40484.75,14033.25,9.893438,0.489352,-0.038246,3.854
25/04/2023 14:44,10.62,461.39,126.46,40147.65,13990.05,9.679655,1.329291,-0.246147,3.858
25/04/2023 15:14,10.62,455.24,126.05,39787.35,14056.1,9.452628,2.977789,0.901721,3.858
25/04/2023 15:44,10.62,450.05,125.68,39285.95,14016,8.670058,4.130071,2.327608,3.854
25/04/2023 16:14,10.62,454.11,126.06,39582.5,13998.4,8.74459,4.289919,1.43079,3.86
25/04/2023 16:44,10.69,444.17,126.39,38943.35,14010.3,8.983871,3.489697,1.66664,3.856
25/04/2023 17:14,10.69,453.27,125.65,39604.05,14043.15,9.517844,2.664467,1.481294,3.854
25/04/2023 17:44,10.69,462.12,126.22,40148.05,14041.8,9.370743,2.324176,1.221909,3.856
25/04/2023 18:14,10.75,454.87,125.99,39620.55,14052.1,9.466359,1.818643,1.681841,3.854
25/04/2023 18:45,10.75,450.39,126.38,39285.7,14105.4,9.835579,1.1361,0.284883,3.86
25/04/2023 19:15,10.75,441.22,125.17,38607.45,14011,9.797335,0.82523,0.455029,3.854
25/04/2023 19:45,10.75,456.13,125.53,39823.5,14057.4,9.714466,1.160617,1.030188,3.852
25/04/2023 20:15,10.75,454.47,125.13,39709.5,14015.35,10.019945,0.452577,0.301554,3.852
25/04/2023 20:45,10.75,443.75,125.44,38912,14059.9,9.90766,-0.02942,0.92918,3.85
25/04/2023 21:15,10.75,462.98,125.73,40303.55,14102,9.843424,-0.124544,0.731086,3.848
25/04/2023 21:45,10.75,453.49,124.21,39584.75,13911.45,9.857644,0.459442,0.610954,3.854
25/04/2023 22:15,10.75,447.82,125.26,39158.45,14035.9,9.765462,1.360183,-0.127486,3.854
25/04/2023 22:45,10.75,457.5,126.32,39894.05,14137.65,9.532064,1.849044,-1.480804,3.852
25/04/2023 23:15,10.75,443.66,125.74,38874.7,14075.25,9.361917,1.020872,-2.939544,3.85
25/04/2023 23:45,10.75,443.3,126.02,38882.35,14100.7,9.145681,3.507348,0.397169,3.858
26/04/2023 00:15,10.75,441.86,125.62,38775.85,14050.75,9.445765,2.53649,1.270942,3.848
26/04/2023 00:45,10.69,451.26,123.94,39495.9,13865.4,9.76203,1.132178,0.962032,3.848
26/04/2023 01:15,10.69,435.73,124.56,38207.1,13965.75,9.859607,0.385401,0.418744,3.848
26/04/2023 01:45,10.69,448.51,125.34,39194.25,14027.5,9.817927,0.576141,0.67862,3.846
26/04/2023 02:15,10.62,455.55,123.76,39813.75,13872,9.871374,-0.140725,0.581534,3.848
26/04/2023 02:45,10.62,447.24,125.52,39138.55,14058.45,9.802728,-0.867889,1.147378,3.846
26/04/2023 03:15,10.62,444.81,124.64,38973.25,13940.25,9.714959,-0.900251,1.794127,3.848
26/04/2023 03:45,10.62,446.18,123.35,39064,13810.8,9.190302,-2.672312,2.592388,3.846
26/04/2023 04:15,10.62,439.68,122.87,38582.4,13746.95,9.271698,-2.709578,2.276614,3.852
26/04/2023 04:45,10.56,439.1,123.64,38531.05,13812.35,9.125578,-3.628951,1.536212,3.844
26/04/2023 05:15,10.56,443.88,123.13,38891.4,13787.4,9.359958,-3.198439,0.316755,3.846
26/04/2023 05:45,10.62,432.4,122.88,37984.25,13733.5,9.279544,-3.013093,1.882877,3.846
26/04/2023 06:15,10.62,440.52,122.61,38611.95,13710.6,9.389868,-3.105276,1.053234,3.846
26/04/2023 06:45,10.62,442.37,124.5,38715.1,13905.1,9.525198,-2.570813,-0.409428,3.844
26/04/2023 07:15,10.62,440.7,124,38584.4,13850.55,9.610516,-2.339867,0.458951,3.844
26/04/2023 07:45,10.62,439.7,123.44,38588.8,13803.45,9.627678,-2.277594,0.270173,3.848
26/04/2023 08:15,10.62,443.55,124.55,38794.4,13883.05,9.738985,-1.470017,0.976252,3.844
26/04/2023 08:46,10.62,452.41,124.91,39424.65,13895.55,9.844407,-0.983117,0.278019,3.842
26/04/2023 09:16,10.62,446.09,125.61,38978.55,13957.95,9.864511,-0.196133,-0.01422,3.844
26/04/2023 09:46,10.62,438.18,127.12,38382.75,14061.9,9.851761,-0.278999,0.276057,3.848
26/04/2023 10:16,10.62,453,126.15,39423.6,13959.25,9.854701,0.268702,0.027459,3.842
26/04/2023 10:46,10.69,445.13,126.14,38845.5,13976.65,9.749773,0.085318,1.668111,3.842
26/04/2023 11:16,10.69,437.02,127.15,38196.55,14029.15,9.457533,2.647306,0.910057,3.844
26/04/2023 11:46,10.69,439.65,126.08,38421.6,14006.2,9.685537,1.623,0.544269,3.84
26/04/2023 12:16,10.69,440.66,126.08,38436.2,13972.05,9.695835,0.948794,1.481785,3.84
26/04/2023 12:46,10.69,429.02,125.9,37581.1,13946.45,9.667397,1.281729,1.136591,3.844
26/04/2023 13:16,10.75,437.85,126.25,38318.2,14047.55,9.737514,0.495726,1.568084,3.84
26/04/2023 13:46,10.75,426.41,125.11,37406.55,13906.9,9.797826,0.707059,1.051273,3.84
26/04/2023 14:16,10.75,426.5,125.66,37367.25,13962.4,9.815476,-0.842391,1.04735,3.844
26/04/2023 14:46,10.75,420.63,125.77,36863.35,14017.05,9.73212,-1.379305,0.953697,3.838
26/04/2023 15:16,10.75,414.2,126.06,36367.1,14043.7,9.498722,-2.420281,1.570535,3.842
26/04/2023 15:46,10.75,415.56,125.45,36432.85,13993.65,9.508527,-2.533548,1.131197,3.838
26/04/2023 16:16,10.75,418.72,126.43,36763.6,14092.4,9.112831,-3.592176,1.501889,3.838
26/04/2023 16:46,10.75,414.13,125.09,36385.05,13979.45,8.39155,-4.980308,2.206987,3.838
26/04/2023 17:16,10.75,415.12,124.72,36431.95,13954.65,9.171669,-3.677004,0.818365,3.838
26/04/2023 17:46,10.69,415.15,124.33,36486.65,13862.75,9.282975,-3.373488,0.680582,3.838
26/04/2023 18:16,10.69,419.1,123.4,36819.2,13820.85,9.426641,-2.905221,0.411879,3.838
26/04/2023 18:46,10.69,419.46,125.53,36799.55,14029.1,9.684557,-2.055964,0.27998,3.838
26/04/2023 19:16,10.69,418.75,123.88,36824.25,13868.2,9.712506,-1.825998,-0.016671,3.838
26/04/2023 19:46,10.69,420.9,125.92,36885.05,14080.65,9.795371,-1.258684,-0.302535,3.842
26/04/2023 20:16,10.69,410.19,125.4,36010.25,14001.65,9.83656,-0.721279,-0.393737,3.836
26/04/2023 20:46,10.69,422.62,125.16,37037.9,13977.15,9.873335,-0.494746,-0.053937,3.838
26/04/2023 21:16,10.69,423.89,125.51,37206.15,14031.05,9.858133,-0.3246,0.522204,3.836
26/04/2023 21:46,10.69,408.15,127.1,36067.7,14185.45,9.859115,-0.182404,0.127486,3.838
26/04/2023 22:16,10.69,423.04,125.75,37076.6,14039.2,9.810083,0.791397,0.096596,3.836
26/04/2023 22:46,10.69,447.29,127.16,39011.3,14192.5,9.823321,-0.891425,-0.660478,3.838
26/04/2023 23:17,10.69,441.66,125.5,38628.9,14031,9.744867,0.35451,-1.408725,3.836
26/04/2023 23:47,10.69,439.01,124.26,38479.55,13901.9,9.375648,2.246703,-1.883367,3.836
27/04/2023 00:17,10.62,453.63,121.52,39622.85,13612.5,9.307001,2.576697,0.829643,3.836
27/04/2023 00:47,10.62,442.43,123.2,38818.4,13792,9.104984,2.144715,0.672736,3.836
27/04/2023 01:17,10.62,456.07,123.52,39778.8,13816.8,9.855193,1.507282,1.175327,3.836
27/04/2023 01:47,10.62,450.02,123.09,39314,13792.15,9.792921,1.013517,0.455519,3.838
27/04/2023 02:17,10.62,450.78,122.98,39366.85,13786.15,9.545303,0.475623,0.409918,3.836
27/04/2023 02:47,10.62,453.57,123.56,39602.95,13818.45,9.853231,0.154455,0.069627,3.836
27/04/2023 03:17,10.62,454.01,122.97,39619.65,13768.1,9.999351,0.161319,0.463854,3.836
27/04/2023 03:47,10.62,459.21,123.62,40016.4,13833.95,9.747809,0.322639,0.653123,3.836
27/04/2023 04:17,10.62,455.32,122.37,39686.65,13718.75,9.446745,1.160127,1.09148,3.834
27/04/2023 04:47,10.56,454.36,124.12,39689.5,13915.2,8.43421,3.142541,2.511483,3.836
27/04/2023 05:17,10.56,452.83,124.2,39591.15,13899.35,8.591116,3.164116,2.280046,3.836
27/04/2023 05:47,10.56,452.27,123.21,39534.85,13808.4,8.959845,3.86529,1.856889,3.836
27/04/2023 06:17,10.56,449.86,124.18,39335.85,13921.4,9.338382,2.203554,2.033409,3.834
27/04/2023 06:47,10.56,449.11,124.7,39282.75,13944.7,10.055247,1.122862,0.512888,3.836
27/04/2023 07:17,10.56,443.5,124.2,38898.25,13882.35,9.336912,1.461681,1.434713,3.836
27/04/2023 07:47,10.56,450.74,123.16,39388.95,13771.75,9.322692,1.463642,1.104719,3.834
27/04/2023 08:17,10.56,454.19,124.34,39673.8,13898.6,9.913544,0.455029,0.72275,3.836
27/04/2023 08:47,10.56,455.49,124.09,39727.8,13806.75,9.85127,0.875244,0.950755,3.836
27/04/2023 09:17,10.56,464.79,123.5,40429.35,13755.5,9.748791,0.389324,0.041678,3.83
27/04/2023 09:47,10.56,447.54,125.11,39135.55,13962.05,9.877258,-0.579083,0.847295,3.832
27/04/2023 10:17,10.56,451.88,124.77,39434.25,13869.75,9.918935,-0.479545,0.553095,3.836
27/04/2023 10:47,10.56,443.21,125.41,38774.7,13945.55,9.886575,-0.474642,0.242715,3.83
27/04/2023 11:17,10.56,455.73,124.33,39762.75,13856.6,9.433018,-1.115506,0.800713,3.83
27/04/2023 11:47,10.56,452.5,124.86,39500.35,13851.15,9.961105,-0.573199,-0.27998,3.828
27/04/2023 12:17,10.62,454.98,124.37,39603.55,13750.4,9.834108,0.464835,-0.054427,3.83
27/04/2023 12:47,10.62,452.24,123.39,39479.2,13703.6,9.656607,0.447673,-0.630077,3.828
27/04/2023 13:17,10.62,446.45,124.12,39007.3,13731.25,9.843917,0.636942,0.085318,3.83
27/04/2023 13:48,10.62,451.57,122.7,39461.45,13638,10.002292,0.13288,-0.181423,3.83
27/04/2023 14:18,10.62,453.73,122.61,39612.7,13679,9.539419,-0.753641,0.36873,3.828
