Time,Temp,IR,Vis,Lux,Accel_X,Accel_Y,Accel_Z,Tilt,Mag_X,Mag_Y,Mag_Z,H.Angle,Direction,VBAT
2024/10/09 09:49:41,24.76,3500,4980,71,3.36,9.21,-1.09,23,282.30,614.54,134.01,146,SE,3.68
2024/10/09 10:32:42,24.76,3393,4856,71,-0.38,-9.47,0.14,2,366.79,606.66,121.81,212,SW,3.67
2024/10/09 10:32:58,24.94,3417,4894,72,-0.39,-9.47,0.13,2,366.47,606.92,121.69,211,SW,3.68
2024/10/09 10:33:13,25.12,3417,4895,72,-0.38,-9.48,0.13,2,366.59,606.86,121.77,211,SW,3.68
2024/10/09 10:33:29,25.29,3416,4893,72,-0.38,-9.48,0.13,2,366.55,606.86,121.82,212,SW,3.68
2024/10/09 10:33:44,25.42,3415,4892,72,-0.39,-9.49,0.13,2,366.45,606.56,121.86,210,SW,3.68
2024/10/09 10:34:00,25.54,3415,4891,72,-0.39,-9.48,0.14,2,366.35,606.14,121.85,212,SW,3.68
2024/10/09 10:34:15,25.64,3415,4892,72,-0.39,-9.47,0.14,2,366.52,606.16,122.02,212,SW,3.68
2024/10/09 10:34:31,25.73,3415,4891,72,-0.39,-9.48,0.13,2,366.66,606.40,122.01,211,SW,3.68
2024/10/09 10:34:46,25.79,3415,4891,72,-0.39,-9.49,0.15,2,366.69,606.33,122.04,213,SW,3.68
2024/10/09 10:35:02,25.81,3415,4892,72,-0.40,-9.48,0.13,2,366.85,606.33,121.94,211,SW,3.68
2024/10/09 10:35:17,25.88,3415,4892,72,-0.39,-9.50,0.14,2,366.59,606.00,121.96,211,SW,3.68
2024/10/09 10:35:33,25.90,3415,4892,72,-0.40,-9.48,0.13,2,366.77,606.67,122.27,210,SW,3.68
2024/10/09 10:35:48,25.94,3416,4893,72,-0.40,-9.49,0.14,2,366.69,606.42,122.11,211,SW,3.68
2024/10/09 10:36:04,25.94,3416,4893,72,-0.40,-9.49,0.13,2,366.72,606.27,122.05,211,SW,3.68
2024/10/09 10:36:19,25.94,3416,4895,72,-0.39,-9.50,0.14,2,366.59,606.28,122.18,212,SW,3.68
2024/10/09 10:36:35,25.94,3417,4896,72,-0.39,-9.50,0.13,2,366.64,606.24,122.33,210,SW,3.68
2024/10/09 10:36:50,25.98,3416,4895,72,-0.41,-9.50,0.14,2,366.68,606.04,122.29,211,SW,3.68
2024/10/09 10:37:06,25.98,3416,4896,72,-0.40,-9.49,0.13,2,366.70,606.30,122.20,211,SW,3.68
2024/10/09 10:37:21,25.98,3416,4895,72,-0.41,-9.50,0.14,2,366.96,606.55,122.13,211,SW,3.68
2024/10/09 10:37:37,25.96,3413,4890,72,-0.40,-9.49,0.15,2,366.90,606.32,122.20,212,SW,3.68
2024/10/09 10:37:52,25.96,3412,4889,72,-0.41,-9.50,0.12,2,366.92,606.55,122.23,209,SW,3.68
2024/10/09 10:38:08,25.94,3411,4888,72,-0.40,-9.50,0.14,2,366.94,606.77,122.10,212,SW,3.68
2024/10/09 10:38:23,25.94,3410,4887,72,-0.41,-9.49,0.13,2,367.00,606.61,122.12,210,SW,3.68
2024/10/09 10:38:39,25.94,3411,4889,72,-0.41,-9.51,0.13,2,366.88,606.44,122.09,210,SW,3.68
2024/10/09 10:38:54,25.94,3411,4888,72,-0.41,-9.51,0.14,2,366.94,606.37,122.04,210,SW,3.68
2024/10/09 10:39:10,25.94,3411,4888,72,-0.41,-9.50,0.14,2,367.08,606.73,122.13,211,SW,3.68
2024/10/09 10:39:25,25.90,3410,4885,72,-0.42,-9.50,0.13,2,367.13,606.28,122.07,210,SW,3.68
2024/10/09 10:39:41,25.90,3409,4885,72,-0.42,-9.50,0.14,2,366.98,606.35,122.28,210,SW,3.68
2024/10/09 10:39:56,25.90,3410,4887,72,-0.41,-9.51,0.14,2,367.00,606.71,122.23,211,SW,3.67
2024/10/09 10:40:12,25.88,3412,4889,72,-0.41,-9.49,0.13,2,367.30,606.60,122.16,210,SW,3.67
2024/10/09 10:40:27,25.88,3414,4894,72,-0.42,-9.50,0.13,2,366.94,606.62,122.14,209,SW,3.67
2024/10/09 10:40:43,25.86,3414,4894,72,-0.41,-9.50,0.14,2,366.93,606.49,122.17,210,SW,3.67
2024/10/09 10:40:58,25.83,3413,4893,72,-0.41,-9.50,0.14,2,367.15,606.85,122.13,211,SW,3.67
2024/10/09 10:41:14,25.83,3413,4893,72,-0.41,-9.51,0.14,2,367.25,606.70,122.16,211,SW,3.67
2024/10/09 10:41:29,25.81,3413,4893,72,-0.42,-9.51,0.13,2,367.25,606.72,122.24,210,SW,3.67
2024/10/09 10:41:45,25.79,3412,4892,72,-0.42,-9.52,0.13,2,367.06,606.72,122.38,210,SW,3.67
2024/10/09 10:42:01,25.77,3412,4892,72,-0.42,-9.51,0.13,2,367.38,606.74,122.29,209,SW,3.67
2024/10/09 10:42:16,25.75,3411,4889,72,-0.41,-9.50,0.13,2,367.20,606.51,122.32,210,SW,3.68
2024/10/09 10:42:32,25.75,3405,4876,72,-0.42,-9.50,0.14,2,369.31,616.01,118.46,210,SW,3.67
2024/10/09 10:42:47,25.71,3411,4888,72,-0.43,-9.51,0.12,2,369.43,615.99,118.34,208,SW,3.67
2024/10/09 10:43:03,25.71,3411,4888,72,-0.42,-9.52,0.13,2,369.43,615.92,118.54,209,SW,3.67
2024/10/09 10:43:18,25.69,3410,4888,72,-0.43,-9.51,0.14,2,369.35,615.68,118.35,210,SW,3.67
