Time,Temp,IR,Vis,Lux,Accel_X,Accel_Y,Accel_Z,Tilt,Mag_X,Mag_Y,Mag_Z,H.Angle,Direction
2024/10/09 09:49:32,24.75,3353,4802,71,3.17,9.63,2.02,21,290.09,617.34,125.46,208,SW
2024/10/09 09:49:32,24.75,3356,4807,71,3.67,9.25,2.06,24,289.10,615.21,125.15,205,SW
2024/10/09 09:49:33,24.75,3357,4809,71,3.97,9.12,1.91,25,289.07,612.64,125.38,200,S
2024/10/09 09:49:33,24.75,3396,4861,72,4.29,9.22,1.78,26,285.55,611.46,126.61,196,S
2024/10/09 09:49:34,24.75,3491,4966,71,4.44,9.15,1.71,27,284.90,610.51,126.42,194,S
2024/10/09 09:49:34,24.75,3565,5082,73,3.31,9.52,-1.22,20,281.98,616.17,134.89,139,SE
2024/10/09 09:49:35,24.75,3529,5012,71,2.82,9.58,-2.82,22,281.11,620.58,140.45,110,E
2024/10/09 09:49:35,24.75,3525,5006,71,3.05,9.07,-3.08,25,279.47,615.95,142.36,108,E
2024/10/09 09:49:36,24.75,3531,5016,71,3.39,8.85,-3.05,27,279.93,614.78,142.08,110,E
2024/10/09 09:49:36,24.75,3532,5016,71,3.49,8.86,-3.20,28,278.79,612.66,142.13,109,E
2024/10/09 09:49:37,24.75,3532,5014,71,3.47,8.83,-3.23,28,279.45,614.54,142.07,108,E
2024/10/09 09:49:37,24.75,3531,5013,71,3.37,8.87,-3.25,27,279.44,614.07,141.97,108,E
2024/10/09 09:49:38,24.75,3532,5014,71,3.28,8.85,-3.25,27,279.29,614.30,141.89,107,E
2024/10/09 09:49:38,24.75,3531,5011,71,3.16,8.84,-3.43,27,280.07,612.70,142.68,104,E
2024/10/09 09:49:39,24.75,3530,5009,71,3.24,8.79,-3.30,27,279.61,614.33,142.61,106,E
2024/10/09 09:49:39,24.75,3530,5010,71,3.44,8.71,-3.47,29,280.09,614.55,142.16,105,E
2024/10/09 09:49:40,24.75,3545,5038,72,2.47,10.00,0.19,13,280.80,615.11,126.47,171,S
2024/10/09 09:49:40,24.81,3548,5043,72,3.07,9.73,0.38,17,281.25,614.32,123.93,174,S
2024/10/09 09:49:41,24.81,3547,5042,72,3.07,9.63,0.57,17,282.53,614.09,123.48,178,S
2024/10/09 09:49:41,24.81,3548,5042,72,2.95,9.69,0.89,17,283.49,615.45,122.06,187,S
2024/10/09 10:32:33,24.75,3395,4857,71,-0.37,-9.45,0.18,2,365.88,607.31,121.78,218,SW
2024/10/09 10:32:33,24.75,3390,4850,71,-0.34,-9.46,0.15,2,366.81,605.22,121.66,216,SW
2024/10/09 10:32:34,24.75,3390,4844,71,-0.41,-9.46,0.16,2,367.15,606.42,122.31,214,SW
2024/10/09 10:32:34,24.75,3386,4838,71,-0.39,-9.49,0.15,2,366.82,605.67,121.30,213,SW
2024/10/09 10:32:35,24.75,3387,4839,71,-0.34,-9.48,0.14,2,366.99,606.40,121.86,214,SW
2024/10/09 10:32:35,24.75,3396,4861,72,-0.36,-9.50,0.12,2,367.63,606.63,121.59,211,SW
2024/10/09 10:32:36,24.75,3394,4858,72,-0.40,-9.47,0.14,2,366.67,606.62,121.77,212,SW
2024/10/09 10:32:36,24.75,3389,4847,71,-0.37,-9.48,0.16,2,367.48,607.34,121.78,216,SW
2024/10/09 10:32:37,24.75,3378,4827,70,-0.37,-9.48,0.14,2,367.00,607.10,121.78,213,SW
2024/10/09 10:32:37,24.75,3382,4835,71,-0.38,-9.50,0.10,2,366.68,607.32,121.60,207,SW
2024/10/09 10:32:38,24.75,3392,4855,71,-0.38,-9.48,0.14,2,365.88,607.10,122.22,212,SW
2024/10/09 10:32:38,24.75,3396,4862,72,-0.36,-9.45,0.13,2,366.03,606.38,121.85,212,SW
2024/10/09 10:32:39,24.75,3395,4862,72,-0.36,-9.44,0.16,2,367.15,606.64,121.95,216,SW
2024/10/09 10:32:39,24.75,3396,4863,72,-0.36,-9.47,0.12,2,367.13,604.53,121.83,211,SW
2024/10/09 10:32:40,24.75,3400,4873,72,-0.38,-9.48,0.14,2,367.17,607.81,121.88,212,SW
2024/10/09 10:32:40,24.75,3400,4873,72,-0.37,-9.46,0.15,2,367.15,606.41,122.13,214,SW
2024/10/09 10:32:41,24.75,3399,4871,72,-0.38,-9.50,0.12,2,365.88,607.54,121.60,210,SW
2024/10/09 10:32:41,24.75,3400,4872,72,-0.40,-9.46,0.15,2,367.31,606.65,122.13,213,SW
2024/10/09 10:32:42,24.81,3400,4872,72,-0.43,-9.44,0.12,2,366.69,608.03,121.88,208,SW
2024/10/09 10:32:42,24.81,3399,4871,72,-0.37,-9.45,0.11,2,366.34,606.13,121.31,209,SW
2024/10/09 10:32:48,24.81,3424,4912,73,-0.43,-9.46,0.16,2,365.56,606.83,121.68,213,SW
2024/10/09 10:32:49,24.81,3421,4903,73,-0.38,-9.48,0.17,2,366.05,608.24,121.61,216,SW
2024/10/09 10:32:49,24.81,3418,4898,72,-0.37,-9.49,0.11,2,366.20,607.31,121.69,209,SW
2024/10/09 10:32:50,24.81,3416,4894,72,-0.41,-9.50,0.09,2,366.50,605.92,121.67,205,SW
