Time,Temp,IR,Vis,Lux,Accel_X,Accel_Y,Accel_Z,Tilt,Mag_X,Mag_Y,Mag_Z,H.Angle,Direction,VBAT
31/10/2024 08:06,23.79,4555,6535,97,-2.58,8.15,3.75,32,458.36,-27.44,219.98,248,W,4.14
31/10/2024 08:37,22.1,4687,6818,108,-4.01,0.55,-8.7,86,498.3,-34.67,283.92,344,N,4.15
31/10/2024 09:07,20.88,4697,6864,111,-4.02,0.55,-8.69,86,498.5,-34.31,283.26,344,N,4.15
31/10/2024 09:37,20.26,4767,7035,118,-4.03,0.54,-8.69,86,498.72,-35.12,283.37,344,N,4.15
31/10/2024 10:07,19.9,4852,7224,126,-4.03,0.55,-8.69,86,498.61,-35.09,283.17,344,N,4.14
31/10/2024 10:37,19.73,4693,6840,109,7.33,0.44,-5.89,87,496.59,-78.54,245.26,15,N,4.14
31/10/2024 11:07,19.42,5068,7261,107,5.47,7.84,-1.52,35,497.39,-59.91,213.3,26,NE,4.14
31/10/2024 11:38,18.58,5053,7249,108,5.48,7.96,-0.72,34,497.25,-58.25,209.4,29,NE,4.14
31/10/2024 12:08,17.73,5043,7241,108,5.48,7.96,-0.7,34,497.33,-58.22,209.06,29,NE,4.14
31/10/2024 12:38,17.25,5065,7276,109,5.35,8.04,-1.31,34,495.2,-50.53,231.3,29,NE,4.14
31/10/2024 13:08,17.2,5074,7287,109,5.17,8.14,-0.8,32,495.77,-55.27,211.89,29,NE,4.14
31/10/2024 13:38,17.41,5085,7301,109,5.05,8.25,-0.82,31,492.19,-45.28,201.77,30,NE,4.14
31/10/2024 14:08,17.58,5086,7302,109,5.06,8.25,-0.83,31,492.05,-45,201.79,30,NE,4.14
31/10/2024 14:39,17.73,5768,8656,156,4.8,0.1,-8.06,89,513.67,-49.21,269.96,10,N,4.14
31/10/2024 15:09,17.16,4525,6513,98,5.27,0.2,-6.85,79,486.47,-65.71,241.34,11,N,4.14
31/10/2024 15:39,16.42,5937,9674,235,6.44,0.58,6.84,85,509.82,-56.79,198.87,19,N,4.14
31/10/2024 16:09,14.84,3966,5718,87,-8.61,1.96,4.59,78,501.13,-2.75,200.49,340,N,4.13
31/10/2024 16:39,13.83,4446,6418,98,-5.5,0.16,8.15,88,479.19,-17.8,193.87,349,N,4.13
31/10/2024 17:09,14.25,3390,4668,56,-1.74,8.53,4.73,30,470.08,-16.77,201.87,275,W,4.13
31/10/2024 17:40,14.62,3858,5303,63,-0.96,9.81,-0.02,11,456.74,-23.17,219.88,257,W,4.13
31/10/2024 18:10,14.64,3835,5273,63,-1.52,9.81,0.36,9,457.27,-22.62,216.38,278,W,4.13
31/10/2024 18:40,14.64,3837,5276,63,-1.23,9.81,0.23,9,457.27,-21.63,218.11,286,W,4.13
31/10/2024 19:10,14.64,3833,5271,63,-0.85,9.86,1.02,7,457.74,-27.88,213.48,229,SW,4.13
31/10/2024 19:40,14.67,3840,5281,63,-0.81,9.77,1.17,10,458.23,-28.11,212.87,236,SW,4.13
31/10/2024 20:10,14.68,3846,5289,63,-0.84,9.87,0.61,7,457.42,-27.4,214.9,252,W,4.13
31/10/2024 20:41,14.75,3853,5298,63,-0.76,9.86,0.88,6,457.84,-26.46,214.36,237,SW,4.13
31/10/2024 21:11,14.71,3857,5302,64,-0.52,9.91,0.14,5,456.48,-28.99,217.65,265,W,4.13
