Time,Temp,IR,Vis,Lux,Accel_X,Accel_Y,Accel_Z,Tilt,Mag_X,Mag_Y,Mag_Z,H.Angle,Direction
31/10/2024 08:06,23.81,4531,6506,97,2.65,9.45,0.51,15,457.01,-60.11,180.36,51,NE
31/10/2024 08:06,23.81,4545,6523,97,1.5,7.27,5.34,37,479.35,-57.85,176.41,31,NE
31/10/2024 08:06,23.81,4551,6514,96,1.48,8.46,3.8,25,475.78,-35.35,198.59,63,NE
31/10/2024 08:06,23.75,4560,6583,101,0.53,7.82,8.48,47,457.75,-8.9,224.31,7,N
31/10/2024 08:06,23.75,4534,6537,100,-0.84,8.63,4.06,25,455.93,-12.49,226.94,262,W
31/10/2024 08:06,23.75,4537,6544,100,-4.06,7.39,-1.6,30,457.09,-16.11,251.92,322,NW
31/10/2024 08:06,23.75,4543,6565,101,-4.4,10.34,0.29,23,456.77,-15.62,252.3,301,NW
31/10/2024 08:06,23.75,4538,6498,96,-3.51,9.8,2.52,23,451.96,-25.24,242.92,281,W
31/10/2024 08:06,23.75,4551,6513,96,-3.52,12.3,4.63,25,452.72,-21.82,234.76,276,W
31/10/2024 08:06,23.75,4563,6524,96,-2.51,8.46,3.62,27,452.33,-26.44,235.64,282,W
31/10/2024 08:06,23.75,4563,6529,96,-0.72,8.42,2.86,19,453.34,-28.41,227.24,204,SW
31/10/2024 08:06,23.81,4568,6541,97,-3.18,7.94,2.97,28,453.1,-32.41,230.31,292,W
31/10/2024 08:06,23.81,4575,6552,97,-3.01,7.64,4.36,34,456.25,-30.62,218.2,315,NW
31/10/2024 08:06,23.81,4581,6558,97,-4.28,6.36,5.01,45,457.82,-33.77,216.12,331,NW
31/10/2024 08:06,23.81,4568,6547,97,-3.07,7.71,4.76,36,460.21,-26.47,209.51,323,NW
31/10/2024 08:06,23.81,4554,6543,98,-4.67,7.39,4.59,41,461.34,-24.57,209.73,325,NW
31/10/2024 08:06,23.81,4567,6550,97,-5.19,7.2,3.36,40,457.52,-21.73,214.63,320,NW
31/10/2024 08:06,23.81,4570,6556,98,-5.02,7.29,3.75,40,458.3,-23.69,213.13,321,NW
31/10/2024 08:06,23.88,4554,6518,96,-4.57,7.54,4.84,41,457.5,-22.6,215.6,323,NW
31/10/2024 08:06,23.88,4554,6512,96,-5.17,5.68,6.85,56,455.19,-24.61,220.91,338,N
31/10/2024 08:36,23.88,4708,6863,110,-3.99,0.57,-8.73,86,497.93,-33.64,284.21,344,N
31/10/2024 08:36,23.88,4699,6847,109,-3.95,0.6,-8.72,86,498.71,-34.56,284.18,344,N
31/10/2024 08:36,23.88,4696,6835,109,-4.04,0.52,-8.7,86,497.91,-34.8,284.36,344,N
31/10/2024 08:36,23.88,4693,6831,109,-3.97,0.54,-8.69,86,498.4,-34.36,283.73,344,N
31/10/2024 08:36,21.62,4690,6827,109,-4.01,0.55,-8.67,86,497.91,-35.78,283.6,344,N
31/10/2024 08:36,21.62,4689,6824,109,-3.98,0.54,-8.73,86,497.91,-35.28,284.16,344,N
31/10/2024 08:36,21.62,4689,6822,108,-4.02,0.54,-8.68,86,498.39,-35.07,283.71,344,N
31/10/2024 08:36,21.62,4687,6818,108,-4.01,0.55,-8.72,86,498.4,-34.36,283.73,344,N
31/10/2024 08:36,21.62,4687,6816,108,-4.02,0.6,-8.68,86,497.59,-35.31,283.71,344,N
31/10/2024 08:36,21.62,4685,6815,108,-3.98,0.57,-8.84,86,497.91,-35.05,284.08,344,N
31/10/2024 08:36,21.62,4684,6811,108,-4.01,0.52,-8.69,86,498.55,-34.81,283.99,344,N
31/10/2024 08:36,21.62,4684,6811,108,-4.03,0.55,-8.7,86,498.72,-34.34,283.91,344,N
31/10/2024 08:36,21.69,4684,6811,108,-4.06,0.55,-8.72,86,498.57,-33.87,284.01,344,N
31/10/2024 08:36,21.69,4683,6810,108,-3.98,0.58,-8.67,86,498.72,-34.34,284,344,N
31/10/2024 08:36,21.69,4683,6809,108,-4.03,0.55,-8.62,86,497.61,-33.4,284.39,344,N
31/10/2024 08:36,21.69,4682,6807,108,-4.02,0.56,-8.63,86,498.56,-34.83,283.72,344,N
31/10/2024 08:36,21.69,4682,6807,108,-4.04,0.54,-8.68,86,498.87,-34.8,283.99,344,N
31/10/2024 08:36,21.69,4681,6805,108,-4.02,0.54,-8.7,86,498.22,-35.75,283.97,344,N
31/10/2024 08:36,21.69,4682,6805,108,-4.03,0.52,-8.7,86,498.4,-35.1,283.17,344,N
31/10/2024 08:37,21.75,4681,6803,108,-3.99,0.55,-8.71,86,498.73,-33.89,283.74,344,N
31/10/2024 09:07,21.75,4718,6908,113,-4.04,0.57,-8.67,86,498.57,-33.94,283.11,344,N
31/10/2024 09:07,21.75,4710,6891,112,-4.04,0.53,-8.74,86,499.19,-35.3,283.52,344,N
31/10/2024 09:07,21.75,4706,6883,112,-4.02,0.57,-8.69,86,499.22,-32.95,283.67,344,N
31/10/2024 09:07,21.75,4704,6875,111,-4.03,0.57,-8.66,86,498.09,-34.43,282.92,344,N
31/10/2024 09:07,21.75,4700,6870,111,-4.05,0.55,-8.72,86,498.23,-35.33,283.34,344,N
