Time,Temp,IR,Vis,Lux,Accel_X,Accel_Y,Accel_Z,Tilt,Mag_X,Mag_Y,Mag_Z,H.Angle,Direction,VBAT
2024/10/30 10:58:15,24.21,4275,6285,104,-7.37,0.20,-6.25,88,503.95,-12.92,281.62,336,NW,3.88
2024/10/30 10:58:30,24.45,4247,6223,102,-4.42,0.91,-7.64,83,503.78,-25.15,283.55,344,N,3.88
2024/10/30 10:58:45,24.75,4230,6176,99,-4.01,1.02,-7.73,83,505.01,-27.10,280.18,309,NW,3.87
2024/10/30 10:59:01,24.99,4262,6240,101,-7.78,0.21,-5.89,88,508.78,-9.79,274.52,337,NW,3.88
2024/10/30 10:59:16,25.21,4304,6345,106,-7.61,0.32,-6.10,87,508.35,-10.82,274.95,337,NW,3.88
2024/10/30 10:59:32,25.37,4169,6008,91,3.87,6.75,-5.82,46,467.29,-65.26,259.42,43,NE,3.88
2024/10/30 10:59:47,25.54,4177,6029,92,4.56,5.02,-6.29,58,477.49,-67.09,263.58,45,NE,3.87
2024/10/30 11:00:02,25.67,4688,6864,112,2.02,1.33,-1.92,76,472.38,-39.37,249.33,113,SE,3.87
2024/10/30 11:00:18,25.77,4561,6565,99,4.16,1.69,2.60,63,472.38,-51.77,236.88,96,E,3.87
2024/10/30 11:00:33,25.89,4533,6623,107,3.07,-0.27,1.84,77,477.94,-51.87,237.71,116,SE,3.87
2024/10/30 11:00:49,26.02,4475,6702,120,-2.85,-1.37,2.77,77,487.87,-32.19,228.34,210,SW,3.88
2024/10/30 11:01:04,26.10,4531,6973,139,-6.36,1.05,-2.10,82,478.19,-19.63,255.38,288,W,3.87
2024/10/30 11:01:20,26.23,4594,7146,148,-7.31,0.16,-6.49,88,482.60,-16.43,272.18,336,NW,3.88
2024/10/30 11:01:35,26.35,4487,6757,124,-7.46,0.59,-3.30,78,480.46,-12.45,246.58,322,NW,3.87
2024/10/30 11:01:50,26.44,4242,6111,92,4.45,2.52,5.89,71,479.42,-47.87,198.32,23,NE,3.87
2024/10/30 11:02:06,26.54,4224,6082,92,1.22,7.93,-3.66,33,457.10,-54.43,254.89,109,E,3.88
