Time,Temp,IR,Vis,Lux,Accel_X,Accel_Y,Accel_Z,Tilt,Mag_X,Mag_Y,Mag_Z,H.Angle,Direction
2024/10/30 10:58:05,24.19,4272,6289,105,-5.52,0.20,-7.84,88,503.77,-23.34,286.17,341,N
2024/10/30 10:58:06,24.19,4279,6302,105,-6.94,0.19,-6.81,88,504.06,-15.33,283.67,338,N
2024/10/30 10:58:06,24.19,4280,6296,105,-7.24,0.22,-6.51,88,503.94,-13.34,282.19,337,NW
2024/10/30 10:58:07,24.19,4275,6282,104,-7.38,0.23,-6.42,88,503.94,-13.80,282.17,337,NW
2024/10/30 10:58:07,24.19,4278,6291,105,-7.36,0.17,-6.23,89,504.76,-11.98,281.22,337,NW
2024/10/30 10:58:08,24.19,4276,6286,104,-6.94,0.29,-5.18,88,503.81,-11.79,280.96,336,NW
2024/10/30 10:58:08,24.19,4279,6292,105,-7.58,0.21,-6.15,88,503.97,-11.28,281.52,337,NW
2024/10/30 10:58:09,24.19,4280,6298,105,-7.56,0.22,-6.15,88,503.97,-12.02,280.95,337,NW
2024/10/30 10:58:09,24.19,4278,6294,105,-7.57,0.22,-6.16,88,503.17,-12.50,280.94,336,NW
2024/10/30 10:58:10,24.19,4278,6294,105,-7.56,0.20,-6.20,88,503.83,-10.84,281.08,337,NW
2024/10/30 10:58:10,24.19,4278,6292,105,-7.57,0.20,-6.12,88,504.12,-12.74,280.66,336,NW
2024/10/30 10:58:11,24.19,4276,6289,105,-7.63,0.18,-6.15,88,503.33,-12.26,281.04,336,NW
2024/10/30 10:58:11,24.19,4274,6284,104,-7.57,0.24,-6.11,88,504.12,-12.46,281.30,336,NW
2024/10/30 10:58:12,24.25,4270,6272,104,-7.56,0.21,-6.19,88,504.44,-11.96,281.68,337,NW
2024/10/30 10:58:12,24.25,4272,6280,104,-7.60,0.18,-6.14,88,504.45,-11.52,281.33,336,NW
2024/00/30 10:58:13,24.25,4272,6277,104,-7.59,0.20,-6.19,88,503.97,-11.77,281.14,337,NW
2024/10/30 10:58:13,24.25,4271,6275,104,-7.52,0.18,-6.14,88,503.17,-12.03,281.05,337,NW
2024/10/30 10:58:14,24.25,4271,6276,104,-7.58,0.21,-6.15,88,504.91,-12.92,281.10,336,NW
2024/10/30 10:58:14,24.25,4271,6274,104,-7.57,0.23,-6.10,88,503.81,-12.25,281.04,336,NW
2024/10/30 10:58:15,24.25,4270,6273,104,-7.57,0.18,-6.13,88,503.49,-12.25,281.13,336,NW
2024/10/30 10:58:21,24.31,4282,6296,105,-7.58,0.22,-6.13,88,503.96,-12.48,281.03,336,NW
2024/10/30 10:58:21,24.31,4280,6291,104,-7.55,0.17,-6.16,89,503.79,-13.17,281.28,336,NW
2024/10/30 10:58:22,24.31,4278,6287,104,-7.56,0.19,-6.17,88,502.86,-11.79,281.15,336,NW
2024/10/30 10:58:22,24.31,4275,6278,104,-7.58,0.17,-6.15,89,503.81,-11.51,281.60,336,NW
2024/10/30 10:58:22,24.31,4268,6261,103,-7.58,0.17,-6.14,89,503.66,-11.35,280.52,337,NW
2024/10/30 10:58:23,24.31,4268,6263,103,-7.53,0.21,-6.12,88,504.44,-12.45,281.39,336,NW
2024/10/30 10:58:23,24.31,4271,6270,104,-7.58,0.19,-6.15,88,503.63,-13.64,281.18,336,NW
2024/10/30 10:58:24,24.50,4273,6277,104,-7.57,0.20,-6.10,88,504.77,-12.00,280.95,336,NW
2024/10/30 10:58:24,24.50,4274,6280,104,-7.59,0.22,-6.15,88,503.96,-12.94,281.20,336,NW
2024/10/30 10:58:25,24.50,4264,6252,103,-7.64,0.19,-6.09,88,503.53,-9.71,280.65,337,NW
2024/10/30 10:58:25,24.50,4230,6202,102,-2.71,3.16,-7.33,67,493.44,-33.73,287.49,347,N
2024/10/30 10:58:26,24.50,4225,6190,101,-2.29,3.44,-8.74,69,495.04,-33.72,287.12,350,N
2024/10/30 10:58:26,24.50,4227,6193,101,-0.76,2.16,-9.69,77,504.22,-38.07,285.95,354,N
2024/10/30 10:58:27,24.50,4221,6171,100,-0.76,2.40,-9.43,75,501.51,-37.83,286.79,354,N
2024/10/30 10:58:27,24.50,4219,6164,100,-1.79,0.39,-9.58,87,504.26,-35.01,286.31,351,N
2024/10/30 10:58:28,24.56,4218,6160,99,-0.44,0.84,-8.91,84,508.95,-42.03,284.83,354,N
2024/10/30 10:58:28,24.56,4214,6150,99,-1.61,1.04,-9.51,83,506.87,-42.00,285.84,351,N
2024/10/30 10:58:29,24.56,4218,6161,100,-1.04,1.20,-9.15,82,506.78,-37.58,285.59,353,N
2024/10/30 10:58:29,24.56,4219,6164,100,-0.39,0.71,-9.43,85,508.16,-41.56,285.12,355,N
2024/10/30 10:58:30,24.56,4219,6166,100,-0.83,0.97,-9.72,84,508.02,-40.39,285.06,354,N
2024/10/30 10:58:36,24.62,4228,6174,100,-0.89,2.25,-10.07,77,503.38,-41.07,286.69,354,N
2024/10/30 10:58:36,24.62,4227,6174,100,0.25,2.31,-9.07,75,502.53,-45.85,285.39,357,N
2024/10/30 10:58:37,24.62,4224,6170,100,0.04,2.00,-9.84,78,504.49,-41.80,286.03,356,N
