Time,Temp,IR,Vis,Lux,Accel_X,Accel_Y,Accel_Z,Tilt,Mag_X,Mag_Y,Mag_Z,H.Angle,Direction,VBAT
2024/10/18 22:41:34,19.93,3851,5451,76,-0.15,9.68,0.32,1,0.00,0.00,0.00,0,N,4.18
2024/10/18 23:11:44,18.58,3867,5465,75,0.20,9.69,-0.27,1,0.00,0.00,0.00,0,N,4.18
2024/10/18 23:41:54,18.29,3875,5475,75,0.19,9.69,-0.28,1,0.00,0.00,0.00,0,N,4.18
2024/10/19 00:12:05,18.26,3874,5473,75,0.20,9.69,-0.28,1,0.00,0.00,0.00,0,N,4.18
2024/10/19 00:42:15,18.31,3835,5419,75,0.21,9.67,-0.33,2,0.00,0.00,0.00,0,N,4.18
2024/10/19 01:12:25,18.09,3822,5401,74,0.21,9.68,-0.32,1,0.00,0.00,0.00,0,N,4.17
2024/10/19 01:42:35,18.04,3811,5383,74,0.22,9.67,-0.33,2,0.00,0.00,0.00,0,N,4.17
2024/10/19 02:12:46,17.96,3885,5496,76,0.12,9.69,-0.05,0,0.00,0.00,0.00,0,N,4.17
2024/10/19 02:42:56,17.98,3880,5490,76,0.12,9.68,-0.04,0,0.00,0.00,0.00,0,N,4.17
2024/10/19 03:13:07,18.04,3884,5496,76,0.11,9.69,-0.05,0,0.00,0.00,0.00,0,N,4.17
2024/10/19 03:43:17,19.26,3934,5569,77,-2.14,7.59,-5.58,37,0.00,0.00,0.00,0,N,4.17
2024/10/19 04:13:27,20.20,3985,5643,78,-7.73,0.04,-5.62,88,0.00,0.00,0.00,0,N,4.17
2024/10/19 04:43:38,18.77,4145,5843,80,8.86,-0.87,-3.98,84,0.00,0.00,0.00,0,N,4.17
2024/10/19 05:13:48,17.67,4135,5831,80,8.56,-1.20,-4.48,82,0.00,0.00,0.00,0,N,4.17
2024/10/19 05:43:58,17.68,4144,5844,80,8.70,-1.50,-4.30,80,0.00,0.00,0.00,0,N,4.17
2024/10/19 06:14:09,16.33,3684,5219,73,0.75,9.44,3.02,18,0.00,0.00,0.00,0,N,4.17
2024/10/19 06:44:19,15.13,4522,6558,102,9.12,0.99,-3.35,83,0.00,0.00,0.00,0,N,4.17
2024/10/19 07:14:29,14.85,3956,5899,103,-8.59,1.76,4.80,79,0.00,0.00,0.00,0,N,4.17
2024/10/19 07:44:40,14.52,4404,6726,130,-8.59,1.76,4.80,79,0.00,0.00,0.00,0,N,4.17
2024/10/19 08:14:50,14.37,4832,8772,288,-8.57,1.74,4.81,79,0.00,0.00,0.00,0,N,4.17
2024/10/19 08:45:00,14.84,1832,2577,34,2.74,8.81,0.69,22,0.00,0.00,0.00,0,N,4.17
2024/10/19 09:15:11,15.10,1059,1456,17,1.37,9.47,-0.22,10,0.00,0.00,0.00,0,N,4.17
2024/10/19 09:45:21,15.18,882,1199,13,0.45,9.32,0.60,14,0.00,0.00,0.00,0,N,4.17
2024/10/19 10:15:31,15.21,874,1187,13,0.58,9.56,1.10,8,0.00,0.00,0.00,0,N,4.17
2024/10/19 10:45:42,15.25,783,1056,11,0.13,9.44,1.25,11,0.00,0.00,0.00,0,N,4.17
2024/10/19 11:15:52,15.21,862,1171,12,1.19,9.45,1.38,12,0.00,0.00,0.00,0,N,4.17
2024/10/19 11:46:03,15.25,827,1121,11,1.35,8.92,1.76,20,0.00,0.00,0.00,0,N,4.16
2024/10/19 12:16:13,15.33,843,1143,12,0.35,9.47,1.55,11,0.00,0.00,0.00,0,N,4.16
2024/10/19 12:46:23,15.37,829,1124,12,0.70,9.39,1.18,12,0.00,0.00,0.00,0,N,4.16
