VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
Rampion -_11_07-2025, Instant Start, NA,Disabled, 30.000000 Seconds,NA, NA, 1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 3],Ext Power      ,06/03/2023
COEFFS, -45.999802, 5.4883012e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 11/07/2025 10:42:33
STOP TIME, 11/07/2025 15:38:25
HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,11/07/2025 10:43:35,0,9129909,4.105138,8388488,0.038747,11708700,23.974043,3193693,1.042031,0.054000,2686.899902,2358.040270,,0.521066,,4716.080566,
Sample,11/07/2025 10:44:05,0,9129816,4.104627,8388486,0.038736,11699869,24.080458,3194342,1.042244,45.027996,3206.800049,2797.491018,,0.524591,,5594.981934,
Sample,11/07/2025 10:44:35,0,9130511,4.108448,8388486,0.038736,11698298,24.099403,3194153,1.042182,195.720001,3441.500000,2995.873477,,0.523565,,5991.747070,
Sample,11/07/2025 10:45:05,0,9130303,4.107304,8388483,0.038720,11698218,24.100368,3194226,1.042206,0.065500,2748.300049,2409.939352,,0.523962,,4819.878906,
Sample,11/07/2025 10:45:35,0,9129634,4.103626,8388484,0.038725,11693595,24.156147,3193653,1.042018,51.390003,2999.800049,2622.522218,,0.520849,,5245.044434,
Sample,11/07/2025 10:46:05,0,9129615,4.103521,8388485,0.038731,11691506,24.181364,3193968,1.042121,0.096200,2573.500000,2262.187879,,0.522560,,4524.375977,
Sample,11/07/2025 10:46:35,0,9130236,4.106936,8388484,0.038725,11687534,24.229335,3193965,1.042120,0.179400,997.000000,0.135999,,0.522544,,0.271997,
Sample,11/07/2025 10:47:05,0,9129570,4.103274,8388486,0.038736,11682652,24.288336,3192593,1.041669,38.400002,3044.300049,2660.136284,,0.515081,,5320.272461,
Sample,11/07/2025 10:47:35,0,9129697,4.103972,8388483,0.038720,11685339,24.255857,3194127,1.042174,0.000600,2530.899902,2226.179725,,0.523424,,4452.359375,
Sample,11/07/2025 10:48:05,0,9129620,4.103549,8388486,0.038736,11692563,24.168604,3193225,1.041877,0.657800,2518.899902,2216.036606,,0.518521,,4432.073242,
Sample,11/07/2025 10:48:35,0,9130163,4.106534,8388483,0.038720,11713031,23.921905,3193219,1.041875,1.184800,-549.200012,0.962783,,0.518489,,1.925567,
