VERSION,5.2,AQUAtalk:V4.42,OS:V6.2
LOGGER TYPE,AQUAlogger 310TYPT5 max50m 
LOGGER,2554-327
REGIME
REGIME TITLE, Logging Mode, Start At, Burst Mode, Interval, Samples Per Burst, Within Burst Sample Rate, Samples Per Average, Intermittent Logging, Hours per Day, Days per Month, Months per Year
Pilot 25 April 2023 site 5, Triggered Logging, NA, Disabled, 1.000000 Seconds,NA, NA, 1, Disabled, NA, NA, NA, NA
[LOGGER CHANNEL 0],Disabled


[LOGGER CHANNEL 1],Disabled


[LOGGER CHANNEL 2],Battery        ,06/03/2023
COEFFS, -46.089977, 5.4978768e-06, 0, 0, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x20
[LOGGER CHANNEL 3],Disabled


[LOGGER CHANNEL 4],Temperature    ,13/03/2023
COEFFS, 967.58575, -0.00022002781, 1.9068084e-11, -7.0580938e-19, 8.0592888e-27
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 5],Pressure       ,09/03/2023
COEFFS, -0.0026125142, 3.2540086e-07, 5.6441919e-16, -1.0555092e-23, 0
Channel Setup, Not Averaged, Gain x1, Interval Multiplier x1
[LOGGER CHANNEL 6],Turbidity,09/03/2023
COEFFS Raw1, -0.011529949, 0.82234406, 0, 0, 0,COEFFS Raw2, 86.911514, 0.8452599, 0, 0, 0,Transition Raw2,1080.2458
Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1
[LOGGER CHANNEL 7],Disabled


[LOGGER CHANNEL 8],Depth       ,Not Calibrated
COEFFS, 51.507366, 1.0135, 1, 0, 0
Channel Setup, Not Averaged, Gain x5
[LOGGER CHANNEL 9],SSC         ,User Cal Req'd
COEFFS, 0, 2, 0, 0, 0
Channel Setup, Not Averaged, Gain x1
START TIME, 25/04/2023 13:59:32
STOP TIME, 25/04/2023 14:23:03
HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,25/04/2023 14:11:07,23,,,12633969,13.352454,3201666,1.044652,0.090300,3168.600098,2765.202131,,0.564084,,5530.404297,
Sample,25/04/2023 14:11:08,23,,,12633929,13.352901,3200082,1.044131,0.072700,3166.399902,2763.342394,,0.555587,,5526.684570,
Sample,25/04/2023 14:11:09,23,,,12633989,13.352230,3201654,1.044648,0.072100,3170.699951,2766.977053,,0.564020,,5533.954102,
Sample,25/04/2023 14:11:10,23,,,12633958,13.352577,3201917,1.044734,0.018100,3173.600098,2769.428431,,0.565428,,5538.856934,
Sample,25/04/2023 14:11:11,23,,,12634273,13.349054,3201675,1.044655,0.048200,3167.500000,2764.272263,,0.564132,,5528.544434,
Sample,25/04/2023 14:11:12,23,,,12634818,13.342958,3201468,1.044587,0.059700,3162.800049,2760.299583,,0.563023,,5520.599121,
Sample,25/04/2023 14:11:13,23,,,12635473,13.335631,3201229,1.044508,0.058500,3151.100098,2750.410083,,0.561742,,5500.820312,
Sample,25/04/2023 14:11:14,23,,,12636976,13.318820,3200941,1.044413,0.056400,3149.899902,2749.395606,,0.560198,,5498.791016,
Sample,25/04/2023 14:11:15,23,,,12638419,13.302681,3201705,1.044664,0.053200,3150.699951,2750.071855,,0.564293,,5500.143555,
Sample,25/04/2023 14:11:16,23,,,12639724,13.288084,3201340,1.044544,1.112400,3173.899902,2769.681844,,0.562337,,5539.363770,
Sample,25/04/2023 14:11:17,23,,,12640162,13.283185,3201358,1.044550,9.631000,3295.199951,2872.211912,,0.562434,,5744.423828,
Sample,25/04/2023 14:11:18,23,,,12640044,13.284505,3201568,1.044619,9.605200,3295.199951,2872.211912,,0.563559,,5744.423828,
Sample,25/04/2023 14:11:19,23,,,12639511,13.290467,3201598,1.044629,9.616200,3291.600098,2869.169100,,0.563720,,5738.338379,
Sample,25/04/2023 14:11:20,23,,,12638993,13.296260,3201407,1.044566,9.677000,3295.199951,2872.211912,,0.562696,,5744.423828,
Sample,25/04/2023 14:11:21,23,,,12638548,13.301238,3201600,1.044630,9.574100,3290.300049,2868.070221,,0.563730,,5736.140625,
Sample,25/04/2023 14:11:22,23,,,12638133,13.305879,3201452,1.044581,9.631701,3291.500000,2869.084491,,0.562937,,5738.168945,
Sample,25/04/2023 14:11:23,23,,,12637781,13.309817,3201484,1.044592,9.576700,3290.500000,2868.239231,,0.563109,,5736.478516,
Sample,25/04/2023 14:11:24,23,,,12637353,13.314604,3201564,1.044618,9.612901,3289.500000,2867.393971,,0.563538,,5734.788086,
Sample,25/04/2023 14:11:25,23,9423482,5.719166,12636996,13.318597,3201484,1.044592,9.597200,3287.100098,2865.365430,,0.563109,,5730.730957,
Sample,25/04/2023 14:11:26,23,,,12636505,13.324089,3201300,1.044531,9.634001,3290.100098,2867.901210,,0.562123,,5735.802246,
Sample,25/04/2023 14:11:27,23,,,12636001,13.329726,3201473,1.044588,9.600700,3289.500000,2867.393971,,0.563050,,5734.788086,
Sample,25/04/2023 14:11:28,23,,,12635614,13.334054,3201525,1.044605,9.581200,3287.699951,2865.872462,,0.563329,,5731.745117,
Sample,25/04/2023 14:11:29,23,,,12635260,13.338014,3201593,1.044628,9.584300,3284.899902,2863.505693,,0.563693,,5727.011230,
Sample,25/04/2023 14:11:30,23,,,12634930,13.341705,3201531,1.044607,9.547400,3283.399902,2862.237803,,0.563361,,5724.475586,
Sample,25/04/2023 14:11:31,23,,,12634647,13.344870,3201556,1.044615,9.597401,3285.600098,2864.097540,,0.563495,,5728.195312,
Sample,25/04/2023 14:11:32,23,,,12634369,13.347980,3201488,1.044593,9.556800,3285.199951,2863.759312,,0.563130,,5727.518555,
Sample,25/04/2023 14:11:33,23,,,12634193,13.349948,3201382,1.044558,9.564200,3284.100098,2862.829650,,0.562562,,5725.659180,
Sample,25/04/2023 14:11:34,23,,,12634096,13.351033,3201343,1.044545,9.549400,3282.800049,2861.730771,,0.562353,,5723.461426,
Sample,25/04/2023 14:11:35,23,,,12633939,13.352789,3201508,1.044600,9.541901,3280.899902,2860.124654,,0.563237,,5720.249512,
Sample,25/04/2023 14:11:36,23,,,12633632,13.356223,3201527,1.044606,9.528800,3277.699951,2857.419863,,0.563339,,5714.839844,
Sample,25/04/2023 14:11:37,23,,,12633392,13.358908,3201460,1.044584,9.530200,3278.600098,2858.180721,,0.562980,,5716.361328,
Sample,25/04/2023 14:11:38,23,,,12633487,13.357845,3201525,1.044605,9.531301,3278.500000,2858.096112,,0.563329,,5716.192383,
Sample,25/04/2023 14:11:39,23,,,12633563,13.356995,3201578,1.044623,9.546400,3279.300049,2858.772362,,0.563613,,5717.544922,
Sample,25/04/2023 14:11:40,23,,,12633424,13.358550,3201589,1.044626,9.544600,3278.600098,2858.180721,,0.563671,,5716.361328,
Sample,25/04/2023 14:11:41,23,,,12633215,13.360887,3201388,1.044560,9.546400,3277.600098,2857.335461,,0.562594,,5714.670898,
Sample,25/04/2023 14:11:42,23,,,12633076,13.362442,3201471,1.044588,9.541600,3279.000000,2858.518742,,0.563039,,5717.037598,
Sample,25/04/2023 14:11:43,23,,,12632820,13.365306,3201469,1.044587,9.553099,3282.800049,2861.730771,,0.563028,,5723.461426,
Sample,25/04/2023 14:11:44,23,,,12632404,13.369959,3201392,1.044562,9.608600,3289.399902,2867.309363,,0.562616,,5734.618652,
