HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,10/08/2023 09:40,23,,,11997784,20.560615,3196083,1.042817,0.0947,3544.300049,3082.766236,,0.534027,,6165.532715,
Sample,10/08/2023 09:40,23,,,11997877,20.559536,3199240,1.043854,0.0942,3458.600098,3010.327504,,0.551061,,6020.654785,
Sample,10/08/2023 09:40,23,,,11998324,20.554351,3195409,1.042595,0.0793,3293.5,2870.775011,,0.530378,,5741.549805,
Sample,10/08/2023 09:40,23,,,11998781,20.54905,3194098,1.042164,0.1099,2440.199951,2149.514693,,0.523266,,4299.029297,
Sample,10/08/2023 09:40,23,,,11999530,20.540362,3193923,1.042107,0.1171,2026.5,1799.830711,,0.522316,,3599.661377,
Sample,10/08/2023 09:40,23,,,12000099,20.533763,3194025,1.04214,0.0966,3306.800049,2882.017009,,0.52287,,5764.03418,
Sample,10/08/2023 09:40,23,,,12000948,20.523917,3194026,1.04214,0.0292,2449.699951,2157.544662,,0.522875,,4315.089355,
Sample,10/08/2023 09:40,23,,,12001623,20.51609,3194049,1.042148,0.0354,2454.5,2161.601951,,0.523,,4323.204102,
Sample,10/08/2023 09:40,23,,,12002235,20.508994,3193926,1.042108,0.0561,2909.899902,2546.533229,,0.522332,,5093.066406,
Sample,10/08/2023 09:40,23,,,12002534,20.505527,3193998,1.042131,0.3474,3509,3052.92852,,0.522723,,6105.856934,
Sample,10/08/2023 09:40,23,,,12002976,20.500402,3194035,1.042143,1.3887,3545.300049,3083.611496,,0.522924,,6167.223145,
Sample,10/08/2023 09:40,23,,,12003501,20.494316,3194067,1.042154,0.0514,2511.399902,2209.697157,,0.523098,,4419.394531,
Sample,10/08/2023 09:40,23,,,12004160,20.486676,3194194,1.042196,0.0236,2721.600098,2387.370954,,0.523788,,4774.741699,
Sample,10/08/2023 09:40,23,,,12004848,20.478701,3194083,1.042159,0.0326,2664.300049,2338.93752,,0.523185,,4677.875,
Sample,10/08/2023 09:40,23,,,12005325,20.473172,3193953,1.042116,0.0231,3245.600098,2830.287144,,0.522479,,5660.574219,
Sample,10/08/2023 09:41,23,,,12005636,20.469567,3193796,1.042065,0.0112,3423.300049,2980.489788,,0.521626,,5960.979492,
Sample,10/08/2023 09:41,23,,,12006076,20.464467,3193732,1.042044,0.0181,3465.100098,3015.821693,,0.521278,,6031.643555,
Sample,10/08/2023 09:41,23,,,12007029,20.453422,3193818,1.042072,0.0239,3513.699951,3056.901201,,0.521745,,6113.802246,
Sample,10/08/2023 09:41,23,,,12007842,20.444001,3193872,1.04209,0.0322,3551.600098,3088.936675,,0.522039,,6177.873535,
Sample,10/08/2023 09:41,23,,,12008847,20.432356,3193728,1.042043,0.016,3625.399902,3151.316691,,0.521256,,6302.633301,
Sample,10/08/2023 09:41,23,,,12010002,20.418974,3193850,1.042083,0.0322,3623.399902,3149.626171,,0.521919,,6299.252441,
Sample,10/08/2023 09:41,23,,,12010772,20.410053,3193752,1.04205,0.0251,3673.699951,3192.142785,,0.521387,,6384.285645,
Sample,10/08/2023 09:41,23,,,12011301,20.403925,3193817,1.042072,0.018,3693.5,3208.878973,,0.52174,,6417.757812,
Sample,10/08/2023 09:41,23,,,12011550,20.401041,3193818,1.042072,0.0234,3682.5,3199.581114,,0.521745,,6399.162109,
Sample,10/08/2023 09:41,23,,,12011786,20.398308,3193886,1.042094,0.0248,3709.699951,3222.572142,,0.522115,,6445.144043,
Sample,10/08/2023 09:41,23,,,12013436,20.379197,3193890,1.042096,0.0133,3680.300049,3197.721583,,0.522137,,6395.443359,
Sample,10/08/2023 09:41,23,,,12014830,20.363054,3193700,1.042033,0.0308,3671.300049,3190.114244,,0.521104,,6380.228516,
Sample,10/08/2023 09:41,23,,,12015497,20.355331,3193772,1.042057,0.0129,3678.800049,3196.453694,,0.521495,,6392.907227,
Sample,10/08/2023 09:41,23,,,12015360,20.356917,3193761,1.042053,0.0284,3690.699951,3206.512204,,0.521436,,6413.024414,
Sample,10/08/2023 09:41,23,,,12015567,20.35452,3193728,1.042043,0.0336,3679.699951,3197.214345,,0.521256,,6394.428711,
Sample,10/08/2023 09:41,23,,,12016237,20.346763,3193515,1.041972,0.0288,3677.300049,3195.185804,,0.520098,,6390.371582,
Sample,10/08/2023 09:41,23,,,12016195,20.347249,3193658,1.04202,0.0398,3704.899902,3218.514853,,0.520876,,6437.029785,
Sample,10/08/2023 09:41,23,,,12015534,20.354903,3193610,1.042004,0.0206,3682.5,3199.581114,,0.520615,,6399.162109,
Sample,10/08/2023 09:41,23,,,12014827,20.363089,3193654,1.042018,0.0223,3650.899902,3172.870818,,0.520854,,6345.741699,
Sample,10/08/2023 09:41,23,,,12014791,20.363506,3193756,1.042052,0.0256,3679.600098,3197.129943,,0.521408,,6394.259766,
Sample,10/08/2023 09:41,23,,,12014996,20.361132,3193692,1.042031,0.0355,3627.399902,3153.007211,,0.521061,,6306.014648,
Sample,10/08/2023 09:41,23,,,12015096,20.359974,3193654,1.042018,0.014,3656.100098,3177.266335,,0.520854,,6354.532715,
Sample,10/08/2023 09:41,23,,,12014958,20.361572,3193753,1.042051,0.0108,3633.399902,3158.07877,,0.521392,,6316.157715,
Sample,10/08/2023 09:41,23,9332371,5.218249,12015008,20.360993,3193536,1.041979,0.0145,3607.300049,3136.01761,,0.520213,,6272.035156,
Sample,10/08/2023 09:41,23,,,12015283,20.357809,3193866,1.042088,0.008,3393.300049,2955.131991,,0.522006,,5910.26416,
Sample,10/08/2023 09:41,23,,,12015383,20.356651,3193730,1.042043,0.0338,3648.600098,3170.926886,,0.521267,,6341.854004,
Sample,10/08/2023 09:41,23,,,12014995,20.361144,3193686,1.042029,0.0074,3538.199951,3077.610068,,0.521028,,6155.220215,
Sample,10/08/2023 09:41,23,,,12014293,20.369272,3193566,1.041989,0.0013,3222.800049,2811.015177,,0.520376,,5622.030273,
Sample,10/08/2023 09:41,23,,,12014552,20.366273,3193649,1.042017,0.0175,3155.899902,2754.467165,,0.520827,,5508.93457,
Sample,10/08/2023 09:41,23,,,12015366,20.356848,3193818,1.042072,0.014,3608.100098,3136.69386,,0.521745,,6273.387695,
Sample,10/08/2023 09:41,23,,,12016320,20.345802,3193679,1.042026,0.0201,3644.800049,3167.714857,,0.52099,,6335.429688,
Sample,10/08/2023 09:41,23,,,12017653,20.33037,3193637,1.042013,0.0045,3678.699951,3196.369085,,0.520762,,6392.738281,
Sample,10/08/2023 09:41,23,,,12018889,20.316063,3193525,1.041976,0.0212,3672.5,3191.128515,,0.520153,,6382.256836,
Sample,10/08/2023 09:41,23,,,12020061,20.302499,3193778,1.042059,0.0331,3669.899902,3188.930757,,0.521528,,6377.861328,
Sample,10/08/2023 09:41,23,,,12020772,20.294271,3193786,1.042062,0.0224,3673,3191.551145,,0.521572,,6383.102051,
Sample,10/08/2023 09:41,23,,,12021878,20.281473,3193740,1.042046,0.0186,3650.699951,3172.701808,,0.521322,,6345.403809,
Sample,10/08/2023 09:41,23,,,12023055,20.267855,3193595,1.041999,0.0271,3607.899902,3136.524642,,0.520533,,6273.049316,
Sample,10/08/2023 09:41,23,,,12023540,20.262243,3193572,1.041991,0.0165,3667.800049,3187.155835,,0.520408,,6374.311523,
Sample,10/08/2023 09:41,23,,,12023001,20.268479,3193493,1.041965,0.0258,3653.600098,3175.153185,,0.519979,,6350.306152,
Sample,10/08/2023 09:41,23,,,12021987,20.280211,3193554,1.041985,0.0232,3631.800049,3156.726478,,0.520311,,6313.453125,
Sample,10/08/2023 09:41,23,,,12021083,20.290672,3193611,1.042004,0.0185,3664.800049,3184.620055,,0.52062,,6369.240234,
Sample,10/08/2023 09:41,23,,,12020220,20.300659,3193417,1.04194,0.0114,3634.600098,3159.093247,,0.519566,,6318.186523,
Sample,10/08/2023 09:41,23,,,12019925,20.304073,3193684,1.042028,0.0149,3683.800049,3200.679993,,0.521017,,6401.359863,
Sample,10/08/2023 09:41,23,,,12019700,20.306677,3193508,1.04197,0.0054,3710.899902,3223.586413,,0.52006,,6447.172852,
Sample,10/08/2023 09:41,23,,,12019680,20.306908,3193695,1.042032,0.0148,3717.800049,3229.41883,,0.521077,,6458.837891,
Sample,10/08/2023 09:41,23,,,12019604,20.307788,3193457,1.041953,0.0069,3712.5,3224.938911,,0.519783,,6449.87793,
