HEADING, Timecode,,Battery        , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,24/08/2023 10:22,23,,,11996243,20.578493,3171224,1.034646,634.539978,5706.200195,4910.133748,,0.396223,,9820.267578,
Sample,24/08/2023 10:22,23,,,11996704,20.573144,3171213,1.034642,606.320007,5162.399902,4450.481165,,0.39616,,8900.961914,
Sample,24/08/2023 10:22,23,,,11996628,20.574026,3171345,1.034686,282.75,4034.399902,3497.027992,,0.396911,,6994.056152,
Sample,24/08/2023 10:22,23,,,11995850,20.583052,3172546,1.035081,0.7131,3164.300049,2761.567473,,0.403728,,5523.134766,
Sample,24/08/2023 10:22,23,,,11994894,20.594145,3171949,1.034884,0.0154,3186.100098,2779.99418,,0.400341,,5559.988281,
Sample,24/08/2023 10:22,23,,,11993025,20.615835,3171084,1.0346,0.1059,2183.199951,1932.282897,,0.395427,,3864.565674,
Sample,24/08/2023 10:22,23,,,11993089,20.615093,3169943,1.034225,0.0963,3125.699951,2728.940358,,0.388931,,5457.880859,
Sample,24/08/2023 10:22,23,,,11994244,20.601688,3169712,1.034149,0.0928,3115.5,2720.318748,,0.387614,,5440.637695,
Sample,24/08/2023 10:22,23,,,11995524,20.586835,3169359,1.034033,0.0851,3100.399902,2707.555241,,0.3856,,5415.110352,
Sample,24/08/2023 10:22,23,,,11996762,20.572471,3169281,1.034007,0.0754,3089.899902,2698.680012,,0.385154,,5397.359863,
Sample,24/08/2023 10:22,23,,,11997929,20.558933,3169235,1.033992,0.0816,3094.199951,2702.314671,,0.384892,,5404.629395,
Sample,24/08/2023 10:22,23,,,11999042,20.546023,3168885,1.033877,0.0831,3088.699951,2697.665741,,0.382893,,5395.331543,
Sample,24/08/2023 10:22,23,,,12000061,20.534204,3169004,1.033916,0.0898,3087.600098,2696.736079,,0.383573,,5393.472168,
Sample,24/08/2023 10:22,23,,,12000742,20.526306,3168878,1.033875,0.0867,3087.100098,2696.313449,,0.382853,,5392.626953,
Sample,24/08/2023 10:22,23,,,12001400,20.518676,3169018,1.033921,0.1016,3083.300049,2693.10142,,0.383653,,5386.202637,
Sample,24/08/2023 10:22,23,,,12001999,20.51173,3169052,1.033932,0.1162,3082.399902,2692.340562,,0.383847,,5384.681152,
Sample,24/08/2023 10:22,23,,,12002444,20.506571,3169146,1.033963,0.1121,3082.300049,2692.25616,,0.384384,,5384.512207,
Sample,24/08/2023 10:22,23,,,12002947,20.500739,3168949,1.033898,0.1989,3086.199951,2695.552591,,0.383259,,5391.10498,
Sample,24/08/2023 10:22,23,,,12003530,20.49398,3169013,1.033919,0.2081,3079.600098,2689.974,,0.383624,,5379.948242,
Sample,24/08/2023 10:22,23,,,12004529,20.482398,3169074,1.033939,0.1738,3083.399902,2693.185822,,0.383973,,5386.371582,
Sample,24/08/2023 10:22,23,,,12005475,20.471433,3169233,1.033992,0.1131,3085.800049,2695.21457,,0.38488,,5390.429199,
Sample,24/08/2023 10:22,23,,,12006120,20.463957,3169476,1.034072,0.0891,3075.300049,2686.339341,,0.386267,,5372.678711,
Sample,24/08/2023 10:22,23,,,12006514,20.459391,3169368,1.034036,0.0861,3075.300049,2686.339341,,0.385651,,5372.678711,
Sample,24/08/2023 10:22,23,,,12006930,20.45457,3169298,1.034013,0.0891,3073.600098,2684.90244,,0.385251,,5369.804688,
Sample,24/08/2023 10:22,23,,,12007254,20.450815,3169415,1.034052,0.0746,3072,2683.549942,,0.385919,,5367.100098,
Sample,24/08/2023 10:22,23,,,12007504,20.447918,3169273,1.034005,0.1,3071.600098,2683.211921,,0.385109,,5366.423828,
Sample,24/08/2023 10:22,23,,,12007732,20.445276,3169267,1.034003,0.0905,3075.5,2686.508352,,0.385075,,5373.016602,
Sample,24/08/2023 10:22,23,,,12007822,20.444233,3169287,1.034009,0.0918,3082.199951,2692.171552,,0.385189,,5384.343262,
Sample,24/08/2023 10:23,23,,,12007874,20.44363,3169421,1.034053,0.1036,3076,2686.930982,,0.385954,,5373.861816,
Sample,24/08/2023 10:23,23,,,12008021,20.441927,3169337,1.034026,0.0923,3079.699951,2690.058402,,0.385474,,5380.116699,
Sample,24/08/2023 10:23,23,,,12008283,20.438891,3169023,1.033923,0.0775,3078.300049,2688.875121,,0.383681,,5377.75,
Sample,24/08/2023 10:23,23,,,12008555,20.435739,3169211,1.033984,0.0665,3087.399902,2696.566862,,0.384755,,5393.133789,
Sample,24/08/2023 10:23,23,,,12008944,20.431232,3169141,1.033961,19.775999,3140.5,2741.450245,,0.384355,,5482.900391,
Sample,24/08/2023 10:23,23,,,12009698,20.422496,3169287,1.034009,0.0751,3075.399902,2686.423743,,0.385189,,5372.847656,
Sample,24/08/2023 10:23,23,,,12011200,20.405095,3168966,1.033904,0.0707,3077.699951,2688.367882,,0.383356,,5376.73584,
Sample,24/08/2023 10:23,23,,,12012897,20.385439,3169500,1.034079,0.0772,3071,2682.704682,,0.386404,,5365.40918,
Sample,24/08/2023 10:23,23,,,12013731,20.375781,3179612,1.037403,16.301998,1410.400024,1279.066105,,0.443489,,2558.132324,
Sample,24/08/2023 10:23,23,,,12049747,19.959464,3233508,1.055118,0.8337,-84.360001,0.674058,,0.730157,,1.348117,
Sample,24/08/2023 10:23,23,9324514,5.175052,12083505,19.570603,3263226,1.064888,0.5872,-83.75,0.471351,,0.878135,,0.942701,
Sample,24/08/2023 10:23,23,,,12099452,19.387343,3304278,1.078384,0.6598,-84.580002,0.531053,,1.073687,,1.062105,
Sample,24/08/2023 10:23,23,,,12107434,19.295717,3301165,1.077361,1.1266,-85.779999,0.914923,,1.05917,,1.829846,
Sample,24/08/2023 10:23,23,,,12111506,19.248999,3328871,1.08647,1.3846,-84.759995,1.127088,,1.186805,,2.254175,
Sample,24/08/2023 10:23,23,,,12114336,19.216541,3322565,1.084397,0.6199,-85.57,0.498241,,1.158055,,0.996482,
Sample,24/08/2023 10:23,23,,,12115766,19.200143,3336140,1.08886,0.5494,-83.849998,0.440266,,1.21974,,0.880532,
Sample,24/08/2023 10:23,23,,,12117012,19.185857,3343472,1.091271,0.5559,-84.020004,0.445611,,1.252747,,0.891222,
Sample,24/08/2023 10:23,23,,,12118434,19.169555,3372888,1.100944,0.6681,-86.720001,0.537878,,1.383177,,1.075756,
Sample,24/08/2023 10:23,23,,,12119466,19.157725,3366888,1.098971,0.5786,-85.009995,0.464278,,1.356818,,0.928557,
Sample,24/08/2023 10:23,23,,,12119979,19.151844,3363625,1.097898,0.6563,-85.330002,0.528174,,1.342432,,1.056349,
Sample,24/08/2023 10:23,23,,,12120101,19.150446,3368022,1.099344,0.7268,-85.75,0.58615,,1.361809,,1.1723,
Sample,24/08/2023 10:23,23,,,12120208,19.14922,3367810,1.099274,0.563,-84.990005,0.45145,,1.360876,,0.9029,
Sample,24/08/2023 10:23,23,,,12120553,19.145265,3379489,1.103115,0.573,-85.080002,0.459673,,1.41204,,0.919346,
Sample,24/08/2023 10:23,23,,,12120870,19.141632,3393756,1.107807,0.605,-84.540001,0.485988,,1.473959,,0.971976,
Sample,24/08/2023 10:23,23,,,12121523,19.134148,3434930,1.121348,0.5906,-84.709999,0.474146,,1.649443,,0.948293,
Sample,24/08/2023 10:23,23,,,12122167,19.126768,3426913,1.118712,0.7154,-86.669998,0.576775,,1.61562,,1.15355,
Sample,24/08/2023 10:23,23,,,12122650,19.121233,3444461,1.124483,0.5467,-86.740005,0.438046,,1.689454,,0.876091,
Sample,24/08/2023 10:23,23,,,12122971,19.117554,3480539,1.13635,0.6606,-87.82,0.531711,,1.839095,,1.063421,
Sample,24/08/2023 10:23,23,,,12123258,19.114266,3482218,1.136903,0.7302,-86.440002,0.588946,,1.845994,,1.177891,
Sample,24/08/2023 10:23,23,,,12123339,19.113338,3512646,1.146912,0.5468,-85.190002,0.438128,,1.970119,,0.876256,
Sample,24/08/2023 10:23,23,,,12123479,19.111733,3527416,1.151771,0.4697,-87.25,0.374725,,2.029793,,0.74945,
Sample,24/08/2023 10:23,23,,,12124095,19.104675,3567886,1.165086,0.5776,-85.059998,0.463456,,2.191583,,0.926912,
Sample,24/08/2023 10:23,23,,,12124231,19.103117,3579823,1.169014,0.5386,-85.25,0.431385,,2.238866,,0.862769,
Sample,24/08/2023 10:23,23,,,12124305,19.102269,3592448,1.173168,0.5731,-86.449997,0.459755,,2.288674,,0.919511,
