instrument_type,Instrument_id,file_name,directory,length,last_write_time,Site_code,timezone,site_code,date_time_deployment_start,date_time_deployment_end
AQUAlogger 310TYPT5 2554-327,AQL,02_jun_23 23-06-02 10-01-35 2nd June.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,366419,22/01/2024 16:19,,,,02/06/2023 10:04,02/06/2023 14:24
,,070723 23-07-07 09-06-59 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,19894,07/07/2023 09:14,,,,,
,,100723_AQL 23-07-07 09-16-34 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1808862,10/07/2023 14:51,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,11_9_23 23-05-24 09-18-12 Pilot 24 May 23 Bogn.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,122561,11/09/2023 19:15,,,,24/05/2023 10:12,24/05/2023 11:32
AQUAlogger 310TYPT5 2554-327,AQL,11_9_23 23-06-02 10-01-35 2nd June.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,383573,11/09/2023 19:15,,,, 02/06/2023 10:01:35, 02/06/2023 14:24:58
AQUAlogger 310TYPT5 2554-327,AQL,11_9_23 23-07-07 09-06-59 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,19894,11/09/2023 19:15,,,, 04/07/2023 21:27:31, 07/07/2023 09:06:42
AQUAlogger 310TYPT5 2554-327,AQL,11_9_23 23-07-07 09-16-34 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1808862,11/09/2023 19:15,,,, 07/07/2023 09:16:34, 10/07/2023 14:48:15
AQUAlogger 310TYPT5 2554-327,AQL,11_9_23 23-07-10 14-52-11 15th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2092449,11/09/2023 19:15,,,, 10/07/2023 14:52:11, 18/07/2023 14:44:01
AQUAlogger 310TYPT5 2554-327,AQL,11_9_23 23-07-18 14-44-44 19th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2523717,11/09/2023 19:15,,,, 18/07/2023 14:44:44, 20/07/2023 16:38:11
AQUAlogger 310TYPT5 2554-327,AQL,11_9_23 23-07-20 16-38-53 21st July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2370472,11/09/2023 19:15,,,, 20/07/2023 16:38:53, 21/07/2023 15:13:59
AQUAlogger 310TYPT5 2554-327,AQL,11_9_23 23-07-21 15-14-46 24th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2273505,11/09/2023 19:15,,,, 21/07/2023 15:14:46, 09/08/2023 14:49:16
AQUAlogger 310TYPT5 2554-327,AQL,11_9_23 23-08-09 14-50-21 10_August_2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2543959,23/01/2024 14:43,,,, 09/08/2023 14:50:21, 10/08/2023 15:37:55
AQUAlogger 310TYPT5 2554-327,AQL,11_9_23 23-08-10 15-39-11 August_2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2235483,11/09/2023 19:15,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,11_9_23 23-08-24 15-21-37 August_2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2789108,11/09/2023 19:15,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,11_9_23 23-08-28 17-15-58 September_2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,4226050,11/09/2023 19:15,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,18_07_2023_data 23-07-10 14-52-11 15th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2089894,18/07/2023 14:44,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,2024_Calibration_30_09_2024 24-09-30 19-05-47 Calibration_30_09_20.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,329890,30/09/2024 20:18,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,2024_Calibration_30_09_2024_IMPORT.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,319737,30/09/2024 20:24,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,2024_Calibration_30_09_2024_RAW.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,319737,30/09/2024 20:24,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,2024_Calibration_AQL_IMPORT.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,124667,30/09/2024 20:44,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,2024_Calibration_SPM16_10_24 24-10-16 16-17-17 SPM_stock_calibratio.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,409355,16/10/2024 17:03,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,2024_Calibration_SPM_16_10_24_v2 24-10-16 16-17-17 SPM_stock_calibratio.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,409355,16/10/2024 17:06,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,2024_Oct_09_calibration_SPM_Stock_Soln 24-10-09 10-57-40 SPM_stock_calibratio.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,182967,09/10/2024 11:18,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,2024_Oct_09_calibration_SPM_Stock_Soln.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,175853,09/10/2024 11:22,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,20_07_2023 23-07-18 14-44-44 19th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2418195,22/01/2024 07:56,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-04-05 14-47-56 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1951,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-04-05 14-51-06 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,15361,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-04-05 15-22-45 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,19021,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-04-07 10-35-20 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,509075,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-04-07 17-20-51 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1797,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-04-25 11-10-08 Pilot 25 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,43644,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-04-25 11-43-36 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,15440,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-04-25 12-04-56 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,72092,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-04-25 13-00-18 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,147846,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-04-25 13-25-26 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,52387,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-04-25 13-59-32 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,90022,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-04-25 14-26-18 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,121164,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-04-25 14-51-49 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,144966,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-05-24 05-41-01 Pilot 22 May 23 Bogn.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1814,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-05-24 09-18-12 Pilot 24 May 23 Bogn.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,122561,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-06-02 10-01-35 2nd June.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,383573,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-07-04 21-25-10 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1795,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-07-04 21-27-31 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1795,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-07-07 09-06-59 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,19894,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-07-07 09-16-34 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1808862,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-07-10 14-50-52 10th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1795,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-07-10 14-52-11 15th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2092449,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-07-18 14-44-44 19th July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2523717,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,21_07-2023_all_data 23-07-20 16-38-53 21st July.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2361664,21/07/2023 15:14,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-05 14-47-56 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1951,25/04/2023 15:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-05 14-51-06 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,15313,08/05/2023 14:00,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-05 15-22-45 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,18721,08/05/2023 16:19,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-07 10-35-20 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,486854,08/05/2023 16:20,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-07 17-20-51 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1797,25/04/2023 15:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-25 11-10-08 Pilot 25 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,43644,25/04/2023 15:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-25 11-43-36 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,15440,25/04/2023 15:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-25 12-04-56 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,72092,25/04/2023 15:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-25 13-00-18 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,147846,25/04/2023 15:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-25 13-25-26 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,52387,25/04/2023 15:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-25 13-59-32 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,90022,25/04/2023 15:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-25 14-26-18 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,121164,25/04/2023 15:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-25 14-51-49 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,138737,08/05/2023 13:57,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24APR2023FINAL 23-04-25 14-51-49 Play data.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,22325,27/04/2023 07:59,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,24_Aug_2023 23-08-24 15-21-37 August_2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,2789108,28/01/2024 12:26,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,25APR2023 23-04-25 11-10-08 Pilot 25 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,43644,25/04/2023 12:08,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,25APR2023 23-04-25 11-43-36 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,15440,25/04/2023 12:08,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,25APR2023 23-04-25 12-04-56 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1823,25/04/2023 12:08,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,25APR2023.bin site 4 23-04-25 13-25-26 Pilot 25 April 2023 .csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1812,25/04/2023 13:27,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,25APR20231425PM 23-04-05 14-47-56 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1951,25/04/2023 14:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,25APR20231425PM 23-04-05 14-51-06 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,15361,25/04/2023 14:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,25APR20231425PM 23-04-05 15-22-45 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,19021,25/04/2023 14:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,25APR20231425PM 23-04-07 10-35-20 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,509075,25/04/2023 14:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,25APR20231425PM 23-04-07 17-20-51 Pilot 7 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,1797,25/04/2023 14:25,,,,,
AQUAlogger 310TYPT5 2554-327,AQL,25APR20231425PM 23-04-25 11-10-08 Pilot 25 April 2023.csv,C:\SPM_Analysis\data_raw\turbidity_loggers,43644,25/04/2023 14:25,,,,,
