ntu,ntu_f,n_rows,n_cultures,n_wells,n_videos,total_mobile_cells,total_stationary_cells,total_cells,mean_motility_ratio,sd_motility_ratio,min_motility_ratio,max_motility_ratio
0,0 NTU,9,1,9,9,120149,691588,811737,0.30761788262803613,0.10922595985635022,0.0564262520539811,0.40221729490022173
5,5 NTU,3,1,3,3,43743,71267,115010,0.2838722771108611,0.12090262113767831,0.1504890895410083,0.38625893712685194
25,25 NTU,3,1,3,3,117169,183338,300507,0.3904579729060646,0.010392446457309525,0.3792392938686863,0.39975633314308295
125,125 NTU,3,1,3,3,128507,197247,325754,0.3953034171490852,0.009507472867502744,0.3843821927805535,0.40173211199792225
250,250 NTU,3,1,3,3,79837,120976,200813,0.39773110032027426,0.0030541783522338756,0.39443666634107166,0.4004682870226477
460,460 NTU,3,1,3,3,1264,3153,4417,0.28434964317604655,0.01766892147858377,0.2719298245614035,0.3045774647887324
500,500 NTU,3,1,3,3,92327,147352,239679,0.37307593113164905,0.03086310013590255,0.3384115690975176,0.3975717322931492
1381,1381 NTU,3,1,3,3,1247,2901,4148,0.29212450638493237,0.04955763231888507,0.2622658340767172,0.34933035714285715
2763,2763 NTU,3,1,3,3,1402,3158,4560,0.29479482941914736,0.04327753395949513,0.2619961612284069,0.34384581690757776
4144,4144 NTU,3,1,3,3,1606,4025,5631,0.28365741527200583,0.031333745940815234,0.258252427184466,0.31867007672634273
