experiment,experiment_num,experiment_label,analysis_branch,model,response,contrast_label,reference_condition,treatment_condition,fit_control,fit_treatment,percent_change,conf_low_percent,conf_high_percent,absolute_change,fit_response,conf_low_response,conf_high_response,source_file,particle_type_model,particle_type_plot,ntu,ntu_f,particle_size_class,particle_size_plot,bw_ug_l,bw_load_f,log10_ntu_plus1,absolute_percent_change,direction,ci_crosses_zero,absolute_rank
Experiment 4,8.2,Field-derived SPM gradient,day4,nonlinear_betabinomial,motile_fraction,100 NTU vs Lowest observed NTU: 0,Lowest observed NTU: 0,100 NTU,0.2834319955404656,0.3719424706447976,31.228116972311028,15.277153912434382,48.01096114127492,0.08851047510433196,0.3719424706447976,0.3267323377362667,0.4195104207813386,C:/SPM_Analysis/outputs/tables/day4/09b_exp4_field_spm_day4_relative_effects.csv,NA,NA,100,NA,NA,NA,NA,NA,2.004321373782642,31.228116972311028,positive,FALSE,1
Experiment 4,8.2,Field-derived SPM gradient,day4,nonlinear_betabinomial,motile_fraction,25 NTU vs Lowest observed NTU: 0,Lowest observed NTU: 0,25 NTU,0.2834319955404656,0.3688719233537026,30.14477164101212,13.678397520373764,47.52490669316701,0.085439927813237,0.3688719233537026,0.32220095059041853,0.4181327869596532,C:/SPM_Analysis/outputs/tables/day4/09b_exp4_field_spm_day4_relative_effects.csv,NA,NA,25,NA,NA,NA,NA,NA,1.414973347970818,30.14477164101212,positive,FALSE,2
Experiment 4,8.2,Field-derived SPM gradient,day4,nonlinear_betabinomial,motile_fraction,400 NTU vs Lowest observed NTU: 0,Lowest observed NTU: 0,400 NTU,0.2834319955404656,0.35422098612174024,24.97565260629444,12.192085338538424,38.37816768099292,0.07078899058127464,0.35422098612174024,0.3179882663134816,0.3922080020505699,C:/SPM_Analysis/outputs/tables/day4/09b_exp4_field_spm_day4_relative_effects.csv,NA,NA,400,NA,NA,NA,NA,NA,2.603144372620182,24.97565260629444,positive,FALSE,3
Experiment 3,11.2,Brake-wear size comparison,day4,interaction_betabinomial,motile_fraction,Fine at 450 ug/L vs BWC at 4.5 ug/L,BWC at 4.5 ug/L,Fine at 450 ug/L,0.44106683206953173,0.33201183200098966,-24.725277925987907,-38.925557487525694,-9.036392427275738,-0.10905500006854207,0.33201183200098966,0.26937910879389776,0.4012103022571756,C:/SPM_Analysis/outputs/tables/day4/08b_exp3_brake_size_day4_relative_effects.csv,NA,NA,NA,NA,BWF,Fine,450,450 ug/L,NA,24.725277925987907,negative,FALSE,4
Experiment 4,8.2,Field-derived SPM gradient,day4,nonlinear_betabinomial,motile_fraction,500 NTU vs Lowest observed NTU: 0,Lowest observed NTU: 0,500 NTU,0.2834319955404656,0.34945829020569436,23.29528624294012,10.921589873632325,36.27170820708757,0.06602629466522875,0.34945829020569436,0.3143872756640471,0.3862376219284287,C:/SPM_Analysis/outputs/tables/day4/09b_exp4_field_spm_day4_relative_effects.csv,NA,NA,500,NA,NA,NA,NA,NA,2.699837725867246,23.29528624294012,positive,FALSE,5
Experiment 2,10.2,Defined particle concentration series,day4,particle_only_betabinomial,motile_fraction,Kaolinite at 25 NTU vs Sand at 25 NTU,Sand at 25 NTU,Kaolinite at 25 NTU,0.3704826719264675,0.4107164621034308,10.859830492949149,5.721141770131207,16.07172592282962,0.04023379017696327,0.4107164621034308,0.3916785108211508,0.4300256315500654,C:/SPM_Analysis/outputs/tables/day4/07b_exp2_defined_particles_day4_relative_effects.csv,KAOLINITE,Kaolinite,25,25 NTU,NA,NA,NA,NA,NA,10.859830492949149,positive,FALSE,6
Experiment 2,10.2,Defined particle concentration series,day4,particle_only_betabinomial,motile_fraction,Kaolinite at 100 NTU vs Sand at 25 NTU,Sand at 25 NTU,Kaolinite at 100 NTU,0.3704826719264675,0.4107164621034308,10.859830492949149,5.721141770131207,16.07172592282962,0.04023379017696327,0.4107164621034308,0.3916785108211508,0.4300256315500654,C:/SPM_Analysis/outputs/tables/day4/07b_exp2_defined_particles_day4_relative_effects.csv,KAOLINITE,Kaolinite,100,100 NTU,NA,NA,NA,NA,NA,10.859830492949149,positive,FALSE,7
Experiment 2,10.2,Defined particle concentration series,day4,particle_only_betabinomial,motile_fraction,Kaolinite at 400 NTU vs Sand at 25 NTU,Sand at 25 NTU,Kaolinite at 400 NTU,0.3704826719264675,0.4107164621034308,10.859830492949149,5.721141770131207,16.07172592282962,0.04023379017696327,0.4107164621034308,0.3916785108211508,0.4300256315500654,C:/SPM_Analysis/outputs/tables/day4/07b_exp2_defined_particles_day4_relative_effects.csv,KAOLINITE,Kaolinite,400,400 NTU,NA,NA,NA,NA,NA,10.859830492949149,positive,FALSE,8
Experiment 3,11.2,Brake-wear size comparison,day4,interaction_betabinomial,motile_fraction,Fine at 4.5 ug/L vs BWC at 4.5 ug/L,BWC at 4.5 ug/L,Fine at 4.5 ug/L,0.44106683206953173,0.4789608979318764,8.591456692524748,-8.130222586408543,25.52370070173983,0.03789406586234467,0.4789608979318764,0.405207116867458,0.5536434101816045,C:/SPM_Analysis/outputs/tables/day4/08b_exp3_brake_size_day4_relative_effects.csv,NA,NA,NA,NA,BWF,Fine,4.5,4.5 ug/L,NA,8.591456692524748,positive,TRUE,9
Experiment 1,9.2,Light-only gradient,day4,factor_betabinomial,motile_fraction,70 lux vs 117 lux,117 lux,70 lux,0.387145339677204,0.35511182150943926,-8.274287427681243,-14.181755699661124,-2.190765973340046,-0.03203351816776473,0.35511182150943926,0.3322413334015597,0.37866389130818406,C:/SPM_Analysis/outputs/tables/day4/06b_exp1_light_day4_relative_effects.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.274287427681243,negative,FALSE,10
Experiment 3,11.2,Brake-wear size comparison,day4,interaction_betabinomial,motile_fraction,Fine at 45 ug/L vs BWC at 4.5 ug/L,BWC at 4.5 ug/L,Fine at 45 ug/L,0.44106683206953173,0.4059907248034253,-7.952560636111704,-18.31382376360573,2.7915071411665218,-0.03507610726610649,0.4059907248034253,0.36029062976459886,0.45337924418406966,C:/SPM_Analysis/outputs/tables/day4/08b_exp3_brake_size_day4_relative_effects.csv,NA,NA,NA,NA,BWF,Fine,45,45 ug/L,NA,7.952560636111704,negative,TRUE,11
